order_id,customer_po_number,quotation_id,customer_id,order_date,grand_total,currency,order_status,primary_warehouse_id,promised_delivery_date,logistics_partner
ORD-0001,PO-MUM-2026-0001,QT-MUM-0002,CUST-002,2026-02-27,7400960.00,INR,CONFIRMED,WH-001,2026-03-10,Bluedart Express
ORD-0002,PO-MUM-2026-0002,QT-MUM-0003,CUST-003,2026-02-25,7344320.00,INR,CONFIRMED,WH-001,2026-03-10,Bluedart Express
ORD-0003,PO-MUM-2026-0003,QT-MUM-0004,CUST-004,2026-02-24,10895530.00,INR,CONFIRMED,WH-001,2026-03-10,Bluedart Express
ORD-0004,PO-MUM-2026-0004,QT-MUM-0005,CUST-005,2026-02-22,4630320.00,INR,CONFIRMED,WH-001,2026-03-10,Bluedart Express
ORD-0005,PO-MUM-2026-0005,QT-MUM-0007,CUST-007,2026-02-26,3009141.60,INR,CONFIRMED,WH-001,2026-03-10,Bluedart Express
ORD-0006,PO-MUM-2026-0006,QT-MUM-0008,CUST-008,2026-02-19,5447765.00,INR,CONFIRMED,WH-001,2026-03-10,Bluedart Express
ORD-0007,PO-MUM-2026-0007,QT-MUM-0011,CUST-011,2026-01-06,29983628.90,INR,CONFIRMED,WH-001,2026-03-10,Bluedart Express
ORD-0008,PO-MUM-2026-0008,QT-MUM-0012,CUST-012,2026-01-09,27549513.10,INR,CONFIRMED,WH-001,2026-03-10,Bluedart Express
ORD-0009,PO-MUM-2026-0009,QT-MUM-0013,CUST-013,2026-01-12,2933179.28,INR,CONFIRMED,WH-001,2026-03-10,Bluedart Express
ORD-0010,PO-MUM-2026-0010,QT-MUM-0014,CUST-014,2026-01-15,30869744.00,INR,CONFIRMED,WH-001,2026-03-10,Bluedart Express
ORD-0011,PO-MUM-2026-0011,QT-MUM-0015,CUST-015,2026-01-18,20177808.25,INR,CONFIRMED,WH-001,2026-03-10,Bluedart Express
ORD-0012,PO-MUM-2026-0012,QT-MUM-0016,CUST-016,2026-01-21,41230632.52,INR,CONFIRMED,WH-001,2026-03-10,Bluedart Express
ORD-0013,PO-MUM-2026-0013,QT-MUM-0017,CUST-017,2026-01-24,34059874.00,INR,CONFIRMED,WH-001,2026-03-10,Bluedart Express
ORD-0014,PO-MUM-2026-0014,QT-MUM-0018,CUST-018,2026-01-27,118848420.00,INR,CONFIRMED,WH-001,2026-03-10,Bluedart Express
