quotation_id,quotation_number,customer_id,quotation_date,valid_until,currency,subtotal,discount_total,tax_total,grand_total,status,approval_status,deal_health,created_by,notes
QT-MUM-0001,QT-MUM-2026-0001,CUST-001,2026-02-28,2026-03-30,INR,4140000.00,764280.00,607629.60,3983349.60,Pending Approval,Pending L2 Finance & L3 Commercial Review,Critical,Vikramaditya Singhania,Demo Flow 1: Discount Governance. 22.0% laptop discount requested by Meridian Capital breaches 16.0% category ceiling. High Risk status triggers L2/L3 dual signoff.
QT-MUM-0002,QT-MUM-2026-0002,CUST-002,2026-02-27,2026-03-29,INR,6820000.00,548000.00,1128960.00,7400960.00,Approved,Approved,Healthy,Vikramaditya Singhania,"Demo Flow 2: Intelligent Upsell. Core laptop proposal expanded with Thunderbolt 4 dock, 120Hz IPS Black display, ANC headset, and 24x7 4-Hour AMC subscription."
QT-MUM-0003,QT-MUM-2026-0003,CUST-003,2026-02-25,2026-03-27,INR,6992000.00,768000.00,1120320.00,7344320.00,Confirmed,Approved,Healthy,Vikramaditya Singhania,Demo Flow 3: Multi-Warehouse Split. 80 units procured: 50 fulfilled from Mumbai primary distribution center (MUM-DC-01) and 30 fulfilled from Bangalore hub (BLR-DC-01).
QT-MUM-0004,QT-MUM-2026-0004,CUST-004,2026-02-24,2026-03-26,INR,10250000.00,1016500.00,1662030.00,10895530.00,Confirmed,Approved,Watch,Vikramaditya Singhania,Demo Flow 4: Backorder Management. Order for 20x PowerEdge R760. 12 units fulfilled from Mumbai Central inventory; 8 units placed on OEM factory backorder.
QT-MUM-0005,QT-MUM-2026-0005,CUST-005,2026-02-22,2026-03-24,INR,4300000.00,376000.00,706320.00,4630320.00,Approved,Approved,Healthy,Vikramaditya Singhania,"Demo Flow 5: Hybrid Billing. Combines hardware CAPEX (50 laptops), professional services (imaging), and recurring annual OPEX (MDM software subscription)."
QT-MUM-0006,QT-MUM-2026-0006,CUST-006,2026-02-20,2026-03-12,INR,2821000.00,338072.00,446927.04,2929855.04,Under Negotiation,Pending Commercial Approval,Watch,Vikramaditya Singhania,"Demo Flow 6: Customer Negotiation in progress. Client submitted counter-offer of ₹25,00,000 (requesting 12.0% concession on Apple hardware). Approval workflow re-evaluating risk."
QT-MUM-0007,QT-MUM-2026-0007,CUST-007,2026-02-26,2026-03-28,INR,2706000.00,155880.00,459021.60,3009141.60,Approved,Approved,Healthy,Vikramaditya Singhania,Demo Scenario: Corporate Smartphone Split. 20 executive smartphones split between Mumbai (12) and Navi Mumbai staging hub (8).
QT-MUM-0008,QT-MUM-2026-0008,CUST-008,2026-02-19,2026-03-21,INR,5125000.00,508250.00,831015.00,5447765.00,Confirmed,Approved,Healthy,Vikramaditya Singhania,"Demo Scenario: Tri-Warehouse Server Allocation. 10 servers split across Mumbai (4), Bangalore (3), and Delhi (3)."
QT-MUM-0009,QT-MUM-2026-0009,CUST-015,2026-01-08,2026-02-07,INR,2143500.00,107175.00,366538.50,2402863.50,Sent,Not Required,At Risk,Vikramaditya Singhania,Demo Scenario: Inactive Stalled Quotation. Proposal transmitted 52 days ago with zero client engagement since delivery.
QT-MUM-0010,QT-MUM-2026-0010,CUST-018,2026-02-28,2026-03-30,INR,4635000.00,1223820.00,614012.40,4025192.40,Pending Approval,Flagged - Critical Discount Anomaly,Critical,Vikramaditya Singhania,Demo Scenario: Critical Discount Anomaly. 26.5% discount requested on Cisco Catalyst 9300 exceeds category ceiling (14.0%) by 12.5%.
QT-MUM-0011,QT-MUM-2026-0011,CUST-011,2026-01-06,2026-02-05,INR,28007800.00,2597945.00,4573773.90,29983628.90,Confirmed,Approved,Healthy,Vikramaditya Singhania,"Mumbai commercial proposal for Vanguard TradeFin Solutions Ltd covering enterprise IT hardware procurement, integration and SLA services."
