audit_id,entity_type,entity_id,action,old_value,new_value,performed_by,reason,timestamp
AUD-00001,Quotation,QT-MUM-0001,Quote confirmed,Approved,Confirmed,Vikramaditya Singhania,Customer issued formal Purchase Order,2026-02-28T16:00:00Z
AUD-00002,Quotation,QT-MUM-0001,Backorder created,0,8 Units,Vikramaditya Singhania,Factory backorder registered directly with OEM manufacturing supply chain,2026-02-28T16:00:00Z
AUD-00003,Quotation,QT-MUM-0001,Discount changed,8.0%,22.0%,Vikramaditya Singhania,Account Director applied special competitive concession,2026-02-28T16:00:00Z
AUD-00004,Quotation,QT-MUM-0001,Quote created,,Draft,Vikramaditya Singhania,Sales Rep created initial commercial draft proposal,2026-02-28T16:00:00Z
AUD-00005,Quotation,QT-MUM-0002,Backorder created,0,8 Units,Vikramaditya Singhania,Factory backorder registered directly with OEM manufacturing supply chain,2026-02-28T16:00:00Z
AUD-00006,Quotation,QT-MUM-0002,Quote confirmed,Approved,Confirmed,Vikramaditya Singhania,Customer issued formal Purchase Order,2026-02-28T16:00:00Z
AUD-00007,Quotation,QT-MUM-0003,Backorder created,0,8 Units,Vikramaditya Singhania,Factory backorder registered directly with OEM manufacturing supply chain,2026-02-28T16:00:00Z
AUD-00008,Quotation,QT-MUM-0003,Approval requested,Draft,Pending Approval,Vikramaditya Singhania,Concession exceeded standard rule threshold; escalated to L2 Finance,2026-02-28T16:00:00Z
AUD-00009,Quotation,QT-MUM-0003,Approval approved,Pending Approval,Approved,Vikramaditya Singhania,Commercial approval granted after executive review,2026-02-28T16:00:00Z
AUD-00010,Quotation,QT-MUM-0003,Customer counter-offer submitted,Approved,Under Negotiation,Vikramaditya Singhania,Customer requested 3.5% additional volume discount,2026-02-28T16:00:00Z
AUD-00011,Invoice,QT-MUM-0004,Invoice generated,None,INV-MUM-2026-0001,Vikramaditya Singhania,Finance generated tax invoice against confirmed deal,2026-02-28T16:00:00Z
AUD-00012,Quotation,QT-MUM-0004,Quote confirmed,Approved,Confirmed,Vikramaditya Singhania,Customer issued formal Purchase Order,2026-02-28T16:00:00Z
