invoice_id,invoice_number,quotation_id,customer_id,invoice_date,due_date,currency,subtotal,discount_total,tax_total,grand_total,billing_type,status
INV-BILL-0001,INV-2026-0001,QT-0002,CUST-002,2026-02-26,2026-03-28,INR,4419900.00,355990.00,731503.80,4795413.80,HYBRID,PAID
INV-BILL-0002,INV-2026-0002,QT-0003,CUST-003,2026-02-22,2026-03-24,INR,5706000.00,678420.00,904964.40,5932544.40,ONE_TIME,ISSUED
INV-BILL-0003,INV-2026-0003,QT-0004,CUST-004,2026-02-25,2026-03-27,INR,12030000.00,1321500.00,1927530.00,12636030.00,ONE_TIME,PAID
INV-BILL-0004,INV-2026-0004,QT-0008,CUST-008,2026-01-25,2026-02-24,INR,10207000.00,743880.00,1703361.60,11166481.60,HYBRID,ISSUED
INV-BILL-0005,INV-2026-0005,QT-0009,CUST-009,2026-01-28,2026-02-27,INR,11936500.00,583985.00,2043452.70,13395967.70,ONE_TIME,PAID
INV-BILL-0006,INV-2026-0006,QT-0010,CUST-010,2026-01-03,2026-02-02,INR,1425000.00,11250.00,254475.00,1668225.00,ONE_TIME,ISSUED
INV-BILL-0007,INV-2026-0007,QT-0011,CUST-011,2026-01-06,2026-02-05,INR,8043300.00,507725.00,1356403.50,8891978.50,ONE_TIME,PAID
INV-BILL-0008,INV-2026-0008,QT-0012,CUST-012,2026-01-09,2026-02-08,INR,20971450.00,1138175.00,3569989.50,23403264.50,HYBRID,ISSUED
INV-BILL-0009,INV-2026-0009,QT-0013,CUST-013,2026-01-12,2026-02-11,INR,17258500.00,1449600.00,2845602.00,18654502.00,ONE_TIME,PAID
INV-BILL-0010,INV-2026-0010,QT-0014,CUST-014,2026-01-15,2026-02-14,INR,13079900.00,395995.00,2283102.90,14967007.90,ONE_TIME,ISSUED
INV-BILL-0011,INV-2026-0011,QT-0015,CUST-015,2026-01-18,2026-02-17,INR,32118500.00,1730700.00,5469804.00,35857604.00,ONE_TIME,PAID
INV-BILL-0012,INV-2026-0012,QT-0016,CUST-016,2026-01-21,2026-02-20,INR,51658500.00,1986000.00,8941050.00,58613550.00,HYBRID,ISSUED
INV-BILL-0013,INV-2026-0013,QT-0017,CUST-017,2026-01-24,2026-02-23,INR,2212500.00,115812.50,377403.75,2474091.25,ONE_TIME,ISSUED
INV-BILL-0014,INV-2026-0014,QT-0018,CUST-018,2026-01-27,2026-02-26,INR,18891600.00,2088162.00,3024618.84,19828056.84,ONE_TIME,PAID
INV-BILL-0015,INV-2026-0015,QT-0019,CUST-019,2026-01-02,2026-02-01,INR,4013750.00,460500.00,639585.00,4192835.00,ONE_TIME,ISSUED
INV-BILL-0016,INV-2026-0016,QT-0020,CUST-020,2026-01-05,2026-02-04,INR,35500800.00,4256040.00,5624056.80,36868816.80,HYBRID,PAID
INV-BILL-0017,INV-2026-0017,QT-0021,CUST-021,2026-01-08,2026-02-07,INR,12156000.00,1394825.00,1937011.50,12698186.50,ONE_TIME,ISSUED
INV-BILL-0018,INV-2026-0018,QT-0022,CUST-022,2026-01-11,2026-02-10,INR,2055000.00,154125.00,342157.50,2243032.50,ONE_TIME,PAID
INV-BILL-0019,INV-2026-0019,QT-0023,CUST-023,2026-01-14,2026-02-13,INR,1446495.00,44874.75,252291.65,1653911.90,ONE_TIME,ISSUED
INV-BILL-0020,INV-2026-0020,QT-0024,CUST-024,2026-01-17,2026-02-16,INR,18507675.00,733375.63,3199373.89,20973673.26,HYBRID,PAID
INV-BILL-0021,INV-2026-0021,QT-0025,CUST-025,2026-01-20,2026-02-19,INR,167000.00,4700.00,29214.00,191514.00,ONE_TIME,PAID
INV-BILL-0022,INV-2026-0022,QT-0026,CUST-026,2026-01-23,2026-02-22,INR,12746000.00,1520880.00,2020521.60,13245641.60,ONE_TIME,PAID
INV-BILL-0023,INV-2026-0023,QT-0027,CUST-027,2026-01-26,2026-02-25,INR,25484000.00,2182350.00,4194297.00,27495947.00,ONE_TIME,PAID
INV-BILL-0024,INV-2026-0024,QT-0028,CUST-028,2026-01-01,2026-01-31,INR,8688000.00,984950.00,1386549.00,9089599.00,HYBRID,PAID
INV-BILL-0025,INV-2026-0025,QT-0029,CUST-029,2026-01-04,2026-02-03,INR,37835000.00,3913700.00,6105834.00,40027134.00,ONE_TIME,PAID
INV-BILL-0026,INV-2026-0026,QT-0030,CUST-030,2026-01-07,2026-02-06,INR,3249500.00,125287.50,562358.25,3686570.75,ONE_TIME,PAID
INV-BILL-0027,INV-2026-0027,QT-0031,CUST-031,2026-01-10,2026-02-09,INR,2876164.60,307616.46,462338.67,3030886.81,ONE_TIME,ISSUED
INV-BILL-0028,INV-2026-0028,QT-0032,CUST-032,2026-01-13,2026-02-12,INR,10188470.00,1011997.75,1651765.00,10828237.25,HYBRID,PAID
INV-BILL-0029,INV-2026-0029,QT-0033,CUST-033,2026-01-16,2026-02-15,INR,7787750.00,656581.25,1283610.38,8414779.13,ONE_TIME,PAID
INV-BILL-0030,INV-2026-0030,QT-0034,CUST-034,2026-01-19,2026-02-18,INR,1610500.00,49912.50,280905.75,1841493.25,ONE_TIME,ISSUED
INV-BILL-0031,INV-2026-0031,QT-0035,CUST-035,2026-02-22,2026-03-24,INR,8880990.00,1065718.80,1406748.82,9222020.02,ONE_TIME,ISSUED
INV-BILL-0032,INV-2026-0032,QT-0036,CUST-036,2026-02-25,2026-03-27,INR,1190600.00,103117.50,195746.85,1283229.35,HYBRID,ISSUED
INV-BILL-0033,INV-2026-0033,QT-0037,CUST-037,2026-02-28,2026-03-30,INR,2573000.00,129390.00,439849.80,2883459.80,ONE_TIME,PAID
INV-BILL-0034,INV-2026-0034,QT-0038,CUST-038,2026-02-03,2026-03-05,INR,17519000.00,1340100.00,2912202.00,19091102.00,ONE_TIME,ISSUED
INV-BILL-0035,INV-2026-0035,QT-0039,CUST-039,2026-02-06,2026-03-08,INR,13880750.00,488150.00,2410668.00,15803268.00,ONE_TIME,PAID
INV-BILL-0036,INV-2026-0036,QT-0040,CUST-040,2026-02-09,2026-03-11,INR,66969300.00,3638812.50,11399487.75,74729975.25,HYBRID,PAID
INV-BILL-0037,INV-2026-0037,QT-0041,CUST-041,2026-02-12,2026-03-14,INR,3119000.00,295270.00,508271.40,3332001.40,ONE_TIME,ISSUED
INV-BILL-0038,INV-2026-0038,QT-0042,CUST-042,2026-02-15,2026-03-17,INR,7911500.00,394975.00,1352974.50,8869499.50,ONE_TIME,PAID
INV-BILL-0039,INV-2026-0039,QT-0043,CUST-043,2026-02-18,2026-03-20,INR,675490.00,64468.80,109983.82,721005.02,ONE_TIME,PAID
INV-BILL-0040,INV-2026-0040,QT-0044,CUST-044,2026-02-21,2026-03-23,INR,6563923.00,224459.80,1141103.38,7480566.58,HYBRID,PAID
INV-BILL-0041,INV-2026-0041,QT-0045,CUST-045,2026-02-24,2026-03-26,INR,581990.00,36449.50,98197.29,643737.79,ONE_TIME,ISSUED
INV-BILL-0042,INV-2026-0042,QT-0046,CUST-046,2026-02-27,2026-03-29,INR,18814950.00,1729447.50,3075390.45,20160892.95,ONE_TIME,ISSUED
INV-BILL-0043,INV-2026-0043,QT-0047,CUST-047,2026-02-02,2026-03-04,INR,16335000.00,34350.00,2934117.00,19234767.00,ONE_TIME,ISSUED
INV-BILL-0044,INV-2026-0044,QT-0048,CUST-048,2026-02-05,2026-03-07,INR,12344500.00,1158750.00,2013435.00,13199185.00,HYBRID,PAID
