customer_price_id,customer_id,price_list_id,effective_from,effective_to,status
CPL-0001,CUST-001,PL-ENT,2026-01-01,2026-12-31,ACTIVE
CPL-0002,CUST-002,PL-ENT,2026-01-01,2026-12-31,ACTIVE
CPL-0003,CUST-003,PL-ENT,2026-01-01,2026-12-31,ACTIVE
CPL-0004,CUST-004,PL-STRAT,2026-01-01,2026-12-31,ACTIVE
CPL-0005,CUST-005,PL-STRAT,2026-01-01,2026-12-31,ACTIVE
CPL-0006,CUST-006,PL-ENT,2026-01-01,2026-12-31,ACTIVE
CPL-0007,CUST-007,PL-ENT,2026-01-01,2026-12-31,ACTIVE
CPL-0008,CUST-008,PL-SMB,2026-01-01,2026-12-31,ACTIVE
CPL-0009,CUST-009,PL-ENT,2026-01-01,2026-12-31,ACTIVE
CPL-0010,CUST-010,PL-STRAT,2026-01-01,2026-12-31,ACTIVE
CPL-0011,CUST-011,PL-ENT,2026-01-01,2026-12-31,ACTIVE
CPL-0012,CUST-012,PL-ENT,2026-01-01,2026-12-31,ACTIVE
CPL-0013,CUST-013,PL-SMB,2026-01-01,2026-12-31,ACTIVE
CPL-0014,CUST-014,PL-SMB,2026-01-01,2026-12-31,ACTIVE
CPL-0015,CUST-015,PL-STRAT,2026-01-01,2026-12-31,ACTIVE
CPL-0016,CUST-016,PL-ENT,2026-01-01,2026-12-31,ACTIVE
CPL-0017,CUST-017,PL-SMB,2026-01-01,2026-12-31,ACTIVE
CPL-0018,CUST-018,PL-ENT,2026-01-01,2026-12-31,ACTIVE
CPL-0019,CUST-019,PL-SMB,2026-01-01,2026-12-31,ACTIVE
CPL-0020,CUST-020,PL-SMB,2026-01-01,2026-12-31,ACTIVE
CPL-0021,CUST-021,PL-ENT,2026-01-01,2026-12-31,ACTIVE
CPL-0022,CUST-022,PL-ENT,2026-01-01,2026-12-31,ACTIVE
CPL-0023,CUST-023,PL-SMB,2026-01-01,2026-12-31,ACTIVE
CPL-0024,CUST-024,PL-SMB,2026-01-01,2026-12-31,ACTIVE
CPL-0025,CUST-025,PL-ENT,2026-01-01,2026-12-31,ACTIVE
CPL-0026,CUST-026,PL-SMB,2026-01-01,2026-12-31,ACTIVE
CPL-0027,CUST-027,PL-ENT,2026-01-01,2026-12-31,ACTIVE
CPL-0028,CUST-028,PL-ENT,2026-01-01,2026-12-31,ACTIVE
CPL-0029,CUST-029,PL-SMB,2026-01-01,2026-12-31,ACTIVE
CPL-0030,CUST-030,PL-STRAT,2026-01-01,2026-12-31,ACTIVE
CPL-0031,CUST-031,PL-SMB,2026-01-01,2026-12-31,ACTIVE
CPL-0032,CUST-032,PL-ENT,2026-01-01,2026-12-31,ACTIVE
CPL-0033,CUST-033,PL-ENT,2026-01-01,2026-12-31,ACTIVE
CPL-0034,CUST-034,PL-STRAT,2026-01-01,2026-12-31,ACTIVE
CPL-0035,CUST-035,PL-SMB,2026-01-01,2026-12-31,ACTIVE
CPL-0036,CUST-036,PL-ENT,2026-01-01,2026-12-31,ACTIVE
CPL-0037,CUST-037,PL-ENT,2026-01-01,2026-12-31,ACTIVE
CPL-0038,CUST-038,PL-ENT,2026-01-01,2026-12-31,ACTIVE
CPL-0039,CUST-039,PL-SMB,2026-01-01,2026-12-31,ACTIVE
CPL-0040,CUST-040,PL-ENT,2026-01-01,2026-12-31,ACTIVE
