audit_id,entity_type,entity_id,action,old_value,new_value,performed_by,reason,timestamp
AUD-00001,Quotation,QT-0001,Quote created,,Draft,Kavita Sharma,Sales Rep created initial commercial draft proposal,2026-02-28T16:00:00Z
AUD-00002,Quotation,QT-0001,Approval approved,Pending Approval,Approved,Kavita Sharma,Commercial approval granted after executive review,2026-02-28T16:00:00Z
AUD-00003,Quotation,QT-0002,Quote confirmed,Approved,Confirmed,Kavita Sharma,Customer issued formal Purchase Order,2026-02-28T16:00:00Z
AUD-00004,Quotation,QT-0002,Discount changed,10.0%,24.0%,Kavita Sharma,Sales Lead applied competitive strategic discount,2026-02-28T16:00:00Z
AUD-00005,Quotation,QT-0002,Approval approved,Pending Approval,Approved,Kavita Sharma,Commercial approval granted after executive review,2026-02-28T16:00:00Z
AUD-00006,Quotation,QT-0002,Warehouse allocation changed,WH-001 (Bangalore),WH-001 + WH-003 Split,Kavita Sharma,Multi-warehouse split allocated due to local inventory balance,2026-02-28T16:00:00Z
AUD-00007,Quotation,QT-0003,Warehouse allocation changed,WH-001 (Bangalore),WH-001 + WH-003 Split,Kavita Sharma,Multi-warehouse split allocated due to local inventory balance,2026-02-28T16:00:00Z
AUD-00008,Quotation,QT-0003,Backorder created,0,2 Units,Kavita Sharma,Factory backorder created with OEM supply chain,2026-02-28T16:00:00Z
AUD-00009,Quotation,QT-0004,Quote created,,Draft,Kavita Sharma,Sales Rep created initial commercial draft proposal,2026-02-28T16:00:00Z
AUD-00010,Quotation,QT-0004,Customer counter-offer submitted,Approved,Under Negotiation,Kavita Sharma,Customer requested 3% additional concession,2026-02-28T16:00:00Z
AUD-00011,Quotation,QT-0004,Quote confirmed,Approved,Confirmed,Kavita Sharma,Customer issued formal Purchase Order,2026-02-28T16:00:00Z
AUD-00012,Quotation,QT-0005,Discount changed,10.0%,24.0%,Kavita Sharma,Sales Lead applied competitive strategic discount,2026-02-28T16:00:00Z
AUD-00013,Quotation,QT-0005,Customer counter-offer submitted,Approved,Under Negotiation,Kavita Sharma,Customer requested 3% additional concession,2026-02-28T16:00:00Z
AUD-00014,Quotation,QT-0006,Approval approved,Pending Approval,Approved,Kavita Sharma,Commercial approval granted after executive review,2026-02-28T16:00:00Z
AUD-00015,Quotation,QT-0006,Discount changed,10.0%,24.0%,Kavita Sharma,Sales Lead applied competitive strategic discount,2026-02-28T16:00:00Z
AUD-00016,Quotation,QT-0007,Approval approved,Pending Approval,Approved,Kavita Sharma,Commercial approval granted after executive review,2026-02-28T16:00:00Z
AUD-00017,Quotation,QT-0007,Backorder created,0,2 Units,Kavita Sharma,Factory backorder created with OEM supply chain,2026-02-28T16:00:00Z
AUD-00018,Quotation,QT-0008,Approval approved,Pending Approval,Approved,Kavita Sharma,Commercial approval granted after executive review,2026-02-28T16:00:00Z
AUD-00019,Invoice,QT-0008,Invoice generated,None,INV-2026-0001,Kavita Sharma,Finance generated tax invoice against confirmed deal,2026-02-28T16:00:00Z
AUD-00020,Quotation,QT-0009,Approval requested,Draft,Pending Approval,Kavita Sharma,Discount exceeded category limit; routed to L2 Sales Director,2026-02-28T16:00:00Z
AUD-00021,Quotation,QT-0009,Backorder created,0,2 Units,Kavita Sharma,Factory backorder created with OEM supply chain,2026-02-28T16:00:00Z
AUD-00022,Quotation,QT-0009,Warehouse allocation changed,WH-001 (Bangalore),WH-001 + WH-003 Split,Kavita Sharma,Multi-warehouse split allocated due to local inventory balance,2026-02-28T16:00:00Z
AUD-00023,Quotation,QT-0009,Quote created,,Draft,Kavita Sharma,Sales Rep created initial commercial draft proposal,2026-02-28T16:00:00Z
AUD-00024,Quotation,QT-0010,Warehouse allocation changed,WH-001 (Bangalore),WH-001 + WH-003 Split,Kavita Sharma,Multi-warehouse split allocated due to local inventory balance,2026-02-28T16:00:00Z
AUD-00025,Quotation,QT-0010,Quote confirmed,Approved,Confirmed,Kavita Sharma,Customer issued formal Purchase Order,2026-02-28T16:00:00Z
AUD-00026,Invoice,QT-0010,Invoice generated,None,INV-2026-0001,Kavita Sharma,Finance generated tax invoice against confirmed deal,2026-02-28T16:00:00Z
AUD-00027,Quotation,QT-0010,Backorder created,0,2 Units,Kavita Sharma,Factory backorder created with OEM supply chain,2026-02-28T16:00:00Z
AUD-00028,Quotation,QT-0011,Discount changed,10.0%,24.0%,Kavita Sharma,Sales Lead applied competitive strategic discount,2026-02-28T16:00:00Z
AUD-00029,Quotation,QT-0011,Approval requested,Draft,Pending Approval,Kavita Sharma,Discount exceeded category limit; routed to L2 Sales Director,2026-02-28T16:00:00Z
AUD-00030,Quotation,QT-0011,Backorder created,0,2 Units,Kavita Sharma,Factory backorder created with OEM supply chain,2026-02-28T16:00:00Z
AUD-00031,Invoice,QT-0012,Invoice generated,None,INV-2026-0001,Kavita Sharma,Finance generated tax invoice against confirmed deal,2026-02-28T16:00:00Z
