deal_health_id,quotation_id,days_inactive,discount_anomaly_score,delivery_risk_score,approval_delay_score,inventory_risk_score,overall_health_score,health_status,recommended_action,last_evaluated_at
DH-0001,QT-MUM-0001,16,0.8,0.76,0.73,0.75,0.26,Critical,Escalate immediately to Commercial VP; schedule pricing governance review with Finance,2026-03-01T12:00:00Z
DH-0002,QT-MUM-0002,3,0.1,0.07,0.12,0.05,0.84,Healthy,Proceed with standard order processing and warehouse dispatch scheduling,2026-03-01T12:00:00Z
DH-0003,QT-MUM-0003,5,0.03,0.13,0.16,0.13,0.91,Healthy,Proceed with standard order processing and warehouse dispatch scheduling,2026-03-01T12:00:00Z
DH-0004,QT-MUM-0004,7,0.24,0.33,0.28,0.38,0.68,Watch,Follow up with account manager regarding expected Purchase Order release date,2026-03-01T12:00:00Z
DH-0005,QT-MUM-0005,3,0.03,0.09,0.17,0.14,0.81,Healthy,Proceed with standard order processing and warehouse dispatch scheduling,2026-03-01T12:00:00Z
DH-0006,QT-MUM-0006,5,0.11,0.33,0.33,0.38,0.65,Watch,Follow up with account manager regarding expected Purchase Order release date,2026-03-01T12:00:00Z
DH-0007,QT-MUM-0007,1,0.0,0.18,0.15,0.08,0.87,Healthy,Proceed with standard order processing and warehouse dispatch scheduling,2026-03-01T12:00:00Z
DH-0008,QT-MUM-0008,1,0.14,0.12,0.14,0.06,0.84,Healthy,Proceed with standard order processing and warehouse dispatch scheduling,2026-03-01T12:00:00Z
DH-0009,QT-MUM-0009,50,0.29,0.59,0.3,0.35,0.48,At Risk,Re-engage executive sponsor; schedule in-person review at client Mumbai HQ,2026-03-01T12:00:00Z
DH-0010,QT-MUM-0010,25,0.85,0.79,0.7,0.71,0.27,Critical,Escalate immediately to Commercial VP; schedule pricing governance review with Finance,2026-03-01T12:00:00Z
DH-0011,QT-MUM-0011,3,0.04,0.2,0.13,0.17,0.91,Healthy,Proceed with standard order processing and warehouse dispatch scheduling,2026-03-01T12:00:00Z
DH-0012,QT-MUM-0012,4,0.13,0.17,0.05,0.13,0.85,Healthy,Proceed with standard order processing and warehouse dispatch scheduling,2026-03-01T12:00:00Z
DH-0013,QT-MUM-0013,2,0.05,0.11,0.07,0.16,0.89,Healthy,Proceed with standard order processing and warehouse dispatch scheduling,2026-03-01T12:00:00Z
