deal_health_id,quotation_id,days_inactive,discount_anomaly_score,delivery_risk_score,approval_delay_score,inventory_risk_score,overall_health_score,health_status,recommended_action,last_evaluated_at
DH-0001,QT-0001,34,0.84,0.62,0.74,0.52,0.21,Critical,Escalate immediately to Commercial Director; review requested margins with Finance,2026-03-01T12:00:00Z
DH-0002,QT-0002,4,0.14,0.11,0.15,0.09,0.97,Healthy,Proceed with standard order processing and warehouse dispatch scheduling,2026-03-01T12:00:00Z
DH-0003,QT-0003,5,0.29,0.36,0.33,0.29,0.63,Watch,Follow up with account manager regarding expected PO release date,2026-03-01T12:00:00Z
DH-0004,QT-0004,5,0.04,0.06,0.14,0.13,0.84,Healthy,Proceed with standard order processing and warehouse dispatch scheduling,2026-03-01T12:00:00Z
DH-0005,QT-0005,7,0.23,0.27,0.33,0.4,0.61,Watch,Follow up with account manager regarding expected PO release date,2026-03-01T12:00:00Z
DH-0006,QT-0006,28,0.36,0.47,0.38,0.42,0.48,At Risk,Schedule executive sponsor review with customer procurement team,2026-03-01T12:00:00Z
DH-0007,QT-0007,17,0.93,0.74,0.85,0.67,0.32,Critical,Escalate immediately to Commercial Director; review requested margins with Finance,2026-03-01T12:00:00Z
DH-0008,QT-0008,3,0.14,0.09,0.14,0.08,0.97,Healthy,Proceed with standard order processing and warehouse dispatch scheduling,2026-03-01T12:00:00Z
DH-0009,QT-0009,5,0.0,0.08,0.13,0.13,0.89,Healthy,Proceed with standard order processing and warehouse dispatch scheduling,2026-03-01T12:00:00Z
DH-0010,QT-0010,3,0.14,0.17,0.19,0.18,0.95,Healthy,Proceed with standard order processing and warehouse dispatch scheduling,2026-03-01T12:00:00Z
DH-0011,QT-0011,5,0.04,0.12,0.11,0.12,0.84,Healthy,Proceed with standard order processing and warehouse dispatch scheduling,2026-03-01T12:00:00Z
DH-0012,QT-0012,3,0.14,0.12,0.12,0.14,0.8,Healthy,Proceed with standard order processing and warehouse dispatch scheduling,2026-03-01T12:00:00Z
DH-0013,QT-0013,1,0.04,0.11,0.17,0.08,0.93,Healthy,Proceed with standard order processing and warehouse dispatch scheduling,2026-03-01T12:00:00Z
DH-0014,QT-0014,3,0.06,0.1,0.13,0.16,0.85,Healthy,Proceed with standard order processing and warehouse dispatch scheduling,2026-03-01T12:00:00Z
DH-0015,QT-0015,3,0.01,0.15,0.17,0.06,0.97,Healthy,Proceed with standard order processing and warehouse dispatch scheduling,2026-03-01T12:00:00Z
DH-0016,QT-0016,4,0.05,0.08,0.14,0.08,0.93,Healthy,Proceed with standard order processing and warehouse dispatch scheduling,2026-03-01T12:00:00Z
DH-0017,QT-0017,2,0.07,0.08,0.16,0.18,0.84,Healthy,Proceed with standard order processing and warehouse dispatch scheduling,2026-03-01T12:00:00Z
DH-0018,QT-0018,2,0.13,0.18,0.1,0.17,0.82,Healthy,Proceed with standard order processing and warehouse dispatch scheduling,2026-03-01T12:00:00Z
DH-0019,QT-0019,1,0.1,0.15,0.14,0.16,0.9,Healthy,Proceed with standard order processing and warehouse dispatch scheduling,2026-03-01T12:00:00Z
DH-0020,QT-0020,1,0.13,0.11,0.1,0.18,0.96,Healthy,Proceed with standard order processing and warehouse dispatch scheduling,2026-03-01T12:00:00Z
DH-0021,QT-0021,5,0.13,0.12,0.2,0.19,0.85,Healthy,Proceed with standard order processing and warehouse dispatch scheduling,2026-03-01T12:00:00Z
DH-0022,QT-0022,2,0.11,0.07,0.13,0.11,0.97,Healthy,Proceed with standard order processing and warehouse dispatch scheduling,2026-03-01T12:00:00Z
DH-0023,QT-0023,1,0.08,0.11,0.15,0.08,0.98,Healthy,Proceed with standard order processing and warehouse dispatch scheduling,2026-03-01T12:00:00Z
DH-0024,QT-0024,5,0.07,0.15,0.05,0.08,0.9,Healthy,Proceed with standard order processing and warehouse dispatch scheduling,2026-03-01T12:00:00Z
DH-0025,QT-0025,3,0.05,0.18,0.08,0.09,0.85,Healthy,Proceed with standard order processing and warehouse dispatch scheduling,2026-03-01T12:00:00Z
DH-0026,QT-0026,5,0.05,0.08,0.11,0.11,0.94,Healthy,Proceed with standard order processing and warehouse dispatch scheduling,2026-03-01T12:00:00Z
DH-0027,QT-0027,3,0.13,0.09,0.08,0.07,0.9,Healthy,Proceed with standard order processing and warehouse dispatch scheduling,2026-03-01T12:00:00Z
DH-0028,QT-0028,2,0.12,0.16,0.17,0.13,0.95,Healthy,Proceed with standard order processing and warehouse dispatch scheduling,2026-03-01T12:00:00Z
DH-0029,QT-0029,2,0.02,0.19,0.07,0.17,0.83,Healthy,Proceed with standard order processing and warehouse dispatch scheduling,2026-03-01T12:00:00Z
DH-0030,QT-0030,4,0.02,0.18,0.14,0.13,0.86,Healthy,Proceed with standard order processing and warehouse dispatch scheduling,2026-03-01T12:00:00Z
DH-0031,QT-0031,4,0.05,0.13,0.14,0.11,0.92,Healthy,Proceed with standard order processing and warehouse dispatch scheduling,2026-03-01T12:00:00Z
DH-0032,QT-0032,1,0.03,0.09,0.18,0.06,0.93,Healthy,Proceed with standard order processing and warehouse dispatch scheduling,2026-03-01T12:00:00Z
DH-0033,QT-0033,3,0.05,0.13,0.19,0.09,0.8,Healthy,Proceed with standard order processing and warehouse dispatch scheduling,2026-03-01T12:00:00Z
DH-0034,QT-0034,1,0.05,0.15,0.14,0.14,0.92,Healthy,Proceed with standard order processing and warehouse dispatch scheduling,2026-03-01T12:00:00Z
DH-0035,QT-0035,5,0.03,0.17,0.1,0.15,0.89,Healthy,Proceed with standard order processing and warehouse dispatch scheduling,2026-03-01T12:00:00Z
DH-0036,QT-0036,4,0.13,0.11,0.09,0.14,0.83,Healthy,Proceed with standard order processing and warehouse dispatch scheduling,2026-03-01T12:00:00Z
DH-0037,QT-0037,2,0.1,0.19,0.11,0.14,0.87,Healthy,Proceed with standard order processing and warehouse dispatch scheduling,2026-03-01T12:00:00Z
DH-0038,QT-0038,1,0.01,0.1,0.1,0.15,0.93,Healthy,Proceed with standard order processing and warehouse dispatch scheduling,2026-03-01T12:00:00Z
DH-0039,QT-0039,5,0.1,0.09,0.12,0.18,0.87,Healthy,Proceed with standard order processing and warehouse dispatch scheduling,2026-03-01T12:00:00Z
DH-0040,QT-0040,5,0.08,0.12,0.08,0.18,0.82,Healthy,Proceed with standard order processing and warehouse dispatch scheduling,2026-03-01T12:00:00Z
DH-0041,QT-0041,2,0.1,0.19,0.16,0.06,0.83,Healthy,Proceed with standard order processing and warehouse dispatch scheduling,2026-03-01T12:00:00Z
DH-0042,QT-0042,1,0.01,0.19,0.12,0.06,0.94,Healthy,Proceed with standard order processing and warehouse dispatch scheduling,2026-03-01T12:00:00Z
DH-0043,QT-0043,5,0.11,0.06,0.09,0.07,0.92,Healthy,Proceed with standard order processing and warehouse dispatch scheduling,2026-03-01T12:00:00Z
DH-0044,QT-0044,4,0.05,0.09,0.09,0.14,0.82,Healthy,Proceed with standard order processing and warehouse dispatch scheduling,2026-03-01T12:00:00Z
DH-0045,QT-0045,2,0.0,0.15,0.18,0.1,0.89,Healthy,Proceed with standard order processing and warehouse dispatch scheduling,2026-03-01T12:00:00Z
DH-0046,QT-0046,5,0.14,0.13,0.07,0.19,0.9,Healthy,Proceed with standard order processing and warehouse dispatch scheduling,2026-03-01T12:00:00Z
DH-0047,QT-0047,5,0.09,0.14,0.15,0.13,0.89,Healthy,Proceed with standard order processing and warehouse dispatch scheduling,2026-03-01T12:00:00Z
DH-0048,QT-0048,5,0.05,0.1,0.13,0.17,0.88,Healthy,Proceed with standard order processing and warehouse dispatch scheduling,2026-03-01T12:00:00Z
DH-0049,QT-0049,10,0.18,0.23,0.2,0.3,0.71,Watch,Follow up with account manager regarding expected PO release date,2026-03-01T12:00:00Z
DH-0050,QT-0050,7,0.17,0.29,0.2,0.38,0.74,Watch,Follow up with account manager regarding expected PO release date,2026-03-01T12:00:00Z
DH-0051,QT-0051,12,0.16,0.35,0.36,0.32,0.72,Watch,Follow up with account manager regarding expected PO release date,2026-03-01T12:00:00Z
DH-0052,QT-0052,13,0.17,0.28,0.31,0.28,0.62,Watch,Follow up with account manager regarding expected PO release date,2026-03-01T12:00:00Z
DH-0053,QT-0053,11,0.27,0.24,0.22,0.33,0.68,Watch,Follow up with account manager regarding expected PO release date,2026-03-01T12:00:00Z
DH-0054,QT-0054,14,0.26,0.34,0.26,0.35,0.72,Watch,Follow up with account manager regarding expected PO release date,2026-03-01T12:00:00Z
DH-0055,QT-0055,11,0.14,0.21,0.23,0.22,0.67,Watch,Follow up with account manager regarding expected PO release date,2026-03-01T12:00:00Z
DH-0056,QT-0056,12,0.15,0.32,0.24,0.2,0.61,Watch,Follow up with account manager regarding expected PO release date,2026-03-01T12:00:00Z
DH-0057,QT-0057,13,0.1,0.39,0.26,0.23,0.67,Watch,Follow up with account manager regarding expected PO release date,2026-03-01T12:00:00Z
DH-0058,QT-0058,5,0.15,0.23,0.3,0.27,0.65,Watch,Follow up with account manager regarding expected PO release date,2026-03-01T12:00:00Z
DH-0059,QT-0059,12,0.3,0.29,0.36,0.27,0.73,Watch,Follow up with account manager regarding expected PO release date,2026-03-01T12:00:00Z
DH-0060,QT-0060,7,0.11,0.36,0.21,0.29,0.63,Watch,Follow up with account manager regarding expected PO release date,2026-03-01T12:00:00Z
DH-0061,QT-0061,9,0.26,0.37,0.22,0.35,0.64,Watch,Follow up with account manager regarding expected PO release date,2026-03-01T12:00:00Z
DH-0062,QT-0062,12,0.15,0.4,0.24,0.35,0.61,Watch,Follow up with account manager regarding expected PO release date,2026-03-01T12:00:00Z
DH-0063,QT-0063,8,0.19,0.34,0.26,0.26,0.69,Watch,Follow up with account manager regarding expected PO release date,2026-03-01T12:00:00Z
DH-0064,QT-0064,5,0.25,0.31,0.22,0.3,0.64,Watch,Follow up with account manager regarding expected PO release date,2026-03-01T12:00:00Z
DH-0065,QT-0065,10,0.28,0.37,0.24,0.22,0.69,Watch,Follow up with account manager regarding expected PO release date,2026-03-01T12:00:00Z
DH-0066,QT-0066,10,0.1,0.36,0.32,0.28,0.64,Watch,Follow up with account manager regarding expected PO release date,2026-03-01T12:00:00Z
DH-0067,QT-0067,5,0.22,0.34,0.34,0.23,0.72,Watch,Follow up with account manager regarding expected PO release date,2026-03-01T12:00:00Z
DH-0068,QT-0068,8,0.13,0.22,0.32,0.39,0.75,Watch,Follow up with account manager regarding expected PO release date,2026-03-01T12:00:00Z
DH-0069,QT-0069,5,0.11,0.33,0.34,0.36,0.62,Watch,Follow up with account manager regarding expected PO release date,2026-03-01T12:00:00Z
DH-0070,QT-0070,8,0.16,0.31,0.33,0.27,0.73,Watch,Follow up with account manager regarding expected PO release date,2026-03-01T12:00:00Z
DH-0071,QT-0071,8,0.1,0.28,0.34,0.25,0.61,Watch,Follow up with account manager regarding expected PO release date,2026-03-01T12:00:00Z
DH-0072,QT-0072,12,0.21,0.31,0.3,0.31,0.68,Watch,Follow up with account manager regarding expected PO release date,2026-03-01T12:00:00Z
DH-0073,QT-0073,10,0.25,0.26,0.37,0.38,0.68,Watch,Follow up with account manager regarding expected PO release date,2026-03-01T12:00:00Z
DH-0074,QT-0074,6,0.21,0.29,0.36,0.31,0.67,Watch,Follow up with account manager regarding expected PO release date,2026-03-01T12:00:00Z
DH-0075,QT-0075,13,0.18,0.24,0.2,0.37,0.72,Watch,Follow up with account manager regarding expected PO release date,2026-03-01T12:00:00Z
DH-0076,QT-0076,8,0.16,0.21,0.39,0.36,0.63,Watch,Follow up with account manager regarding expected PO release date,2026-03-01T12:00:00Z
DH-0077,QT-0077,12,0.25,0.23,0.26,0.28,0.65,Watch,Follow up with account manager regarding expected PO release date,2026-03-01T12:00:00Z
DH-0078,QT-0078,23,0.3,0.41,0.47,0.33,0.53,At Risk,Schedule executive sponsor review with customer procurement team,2026-03-01T12:00:00Z
DH-0079,QT-0079,26,0.22,0.44,0.31,0.43,0.46,At Risk,Schedule executive sponsor review with customer procurement team,2026-03-01T12:00:00Z
DH-0080,QT-0080,30,0.86,0.78,0.75,0.61,0.32,Critical,Escalate immediately to Commercial Director; review requested margins with Finance,2026-03-01T12:00:00Z
