inventory_id,warehouse_id,variant_id,available_quantity,reserved_quantity,allocated_quantity,backorder_quantity,reorder_level,reorder_quantity,safety_stock,incoming_quantity,average_daily_demand,inventory_status,last_restocked_at,next_expected_restock
INV-00001,WH-001,VAR-0001,250,200,200,0,50,200,30,100,15.0,IN_STOCK,2026-02-15T09:30:00Z,2026-03-20T14:00:00Z
INV-00002,WH-001,VAR-0002,106,8,8,0,30,60,15,20,9.9,IN_STOCK,2026-02-15T09:30:00Z,2026-03-20T14:00:00Z
INV-00003,WH-001,VAR-0003,56,12,12,0,30,60,15,20,9.9,IN_STOCK,2026-02-15T09:30:00Z,2026-03-20T14:00:00Z
INV-00004,WH-001,VAR-0004,111,28,28,0,30,60,15,60,4.7,IN_STOCK,2026-02-15T09:30:00Z,2026-03-20T14:00:00Z
INV-00005,WH-001,VAR-0005,79,6,6,0,30,60,15,20,4.7,IN_STOCK,2026-02-15T09:30:00Z,2026-03-20T14:00:00Z
INV-00006,WH-001,VAR-0006,54,21,21,0,30,60,15,60,4.2,IN_STOCK,2026-02-15T09:30:00Z,2026-03-20T14:00:00Z
INV-00007,WH-001,VAR-0007,50,27,27,0,30,60,15,60,9.6,IN_STOCK,2026-02-15T09:30:00Z,2026-03-20T14:00:00Z
INV-00008,WH-001,VAR-0008,78,12,12,0,30,60,15,40,8.7,IN_STOCK,2026-02-15T09:30:00Z,2026-03-20T14:00:00Z
INV-00009,WH-001,VAR-0009,100,100,100,0,40,120,25,50,8.0,IN_STOCK,2026-02-15T09:30:00Z,2026-03-20T14:00:00Z
INV-00010,WH-001,VAR-0010,128,5,5,0,30,60,15,20,9.6,IN_STOCK,2026-02-15T09:30:00Z,2026-03-20T14:00:00Z
INV-00011,WH-001,VAR-0011,68,13,13,0,30,60,15,20,5.7,IN_STOCK,2026-02-15T09:30:00Z,2026-03-20T14:00:00Z
INV-00012,WH-001,VAR-0012,122,15,15,0,30,60,15,20,4.7,IN_STOCK,2026-02-15T09:30:00Z,2026-03-20T14:00:00Z
INV-00013,WH-001,VAR-0013,37,16,16,0,30,60,15,40,8.8,IN_STOCK,2026-02-15T09:30:00Z,2026-03-20T14:00:00Z
INV-00014,WH-001,VAR-0014,128,6,6,0,30,60,15,60,7.7,IN_STOCK,2026-02-15T09:30:00Z,2026-03-20T14:00:00Z
INV-00015,WH-001,VAR-0015,40,17,17,0,30,60,15,20,8.4,IN_STOCK,2026-02-15T09:30:00Z,2026-03-20T14:00:00Z
INV-00016,WH-001,VAR-0016,131,25,25,0,30,60,15,60,11.1,IN_STOCK,2026-02-15T09:30:00Z,2026-03-20T14:00:00Z
INV-00017,WH-001,VAR-0017,71,23,23,0,30,60,15,20,9.6,IN_STOCK,2026-02-15T09:30:00Z,2026-03-20T14:00:00Z
INV-00018,WH-001,VAR-0018,30,26,26,0,30,60,15,20,10.2,IN_STOCK,2026-02-15T09:30:00Z,2026-03-20T14:00:00Z
INV-00019,WH-001,VAR-0019,0,12,12,0,30,60,15,20,7.0,OUT_OF_STOCK,2026-02-15T09:30:00Z,2026-03-20T14:00:00Z
INV-00020,WH-001,VAR-0020,83,25,25,0,30,60,15,40,5.3,IN_STOCK,2026-02-15T09:30:00Z,2026-03-20T14:00:00Z
INV-00021,WH-001,VAR-0021,70,11,11,0,30,60,15,60,6.1,IN_STOCK,2026-02-15T09:30:00Z,2026-03-20T14:00:00Z
INV-00022,WH-001,VAR-0022,144,26,26,0,30,60,15,60,4.6,IN_STOCK,2026-02-15T09:30:00Z,2026-03-20T14:00:00Z
INV-00023,WH-001,VAR-0023,106,10,10,0,30,60,15,60,9.8,IN_STOCK,2026-02-15T09:30:00Z,2026-03-20T14:00:00Z
INV-00024,WH-001,VAR-0024,45,19,19,0,30,60,15,40,6.2,IN_STOCK,2026-02-15T09:30:00Z,2026-03-20T14:00:00Z
