product_id,product_code,product_name,brand,category_id,subcategory_id,product_type,description,manufacturer_part_number,unit,base_cost,base_price,tax_rate,warranty_months,status,is_serialized,is_recurring,created_at,updated_at
PROD-0001,LAP-DEL-LAT5440,Dell Latitude 5440 14-inch Business Laptop,Dell Technologies,CAT-COMP,CAT-LAP,HARDWARE,"Mainstream enterprise business laptop built with recycled materials, Intel 13th Gen, Wi-Fi 6E",DEL-LAT-5440-BASE,EACH,62000.00,74500.00,18.0,36,ACTIVE,true,false,2026-01-10T08:00:00Z,2026-03-01T10:00:00Z
PROD-0002,LAP-DEL-LAT7440,Dell Latitude 7440 Ultralight 14-inch Executive Ultrabook,Dell Technologies,CAT-COMP,CAT-LAP,HARDWARE,Executive magnesium chassis ultralight notebook with 16:10 display and enterprise security,DEL-LAT-7440-BASE,EACH,88000.00,105000.00,18.0,36,ACTIVE,true,false,2026-01-10T08:00:00Z,2026-03-01T10:00:00Z
PROD-0003,LAP-DEL-LAT3540,Dell Latitude 3540 15.6-inch Commercial Notebook,Dell Technologies,CAT-COMP,CAT-LAP,HARDWARE,"Cost-effective productivity laptop with numeric keypad for finance, ops and development teams",DEL-LAT-3540-BASE,EACH,44000.00,52000.00,18.0,12,ACTIVE,true,false,2026-01-10T08:00:00Z,2026-03-01T10:00:00Z
PROD-0004,LAP-DEL-XPS14,Dell XPS 14 Developer Edition Ultrabook,Dell Technologies,CAT-COMP,CAT-LAP,HARDWARE,"High-performance developer ultrabook with Intel Core Ultra 7, discrete RTX 4050, OLED display",DEL-XPS-14-DEV,EACH,155000.00,186000.00,18.0,36,ACTIVE,true,false,2026-01-10T08:00:00Z,2026-03-01T10:00:00Z
PROD-0005,LAP-LEN-TPT14G4,Lenovo ThinkPad T14 Gen 4 14-inch Enterprise Laptop,Lenovo Group Ltd,CAT-COMP,CAT-LAP,HARDWARE,The global corporate standard workhorse laptop with MIL-SPEC durability and TrackPoint,21HD000VIN,EACH,66000.00,79000.00,18.0,36,ACTIVE,true,false,2026-01-10T08:00:00Z,2026-03-01T10:00:00Z
PROD-0006,LAP-LEN-X1CG11,Lenovo ThinkPad X1 Carbon Gen 11 Executive Flagship,Lenovo Group Ltd,CAT-COMP,CAT-LAP,HARDWARE,Featherlight carbon fiber executive flagship with Intel Evo platform and OLED display option,21HM001MIN,EACH,128000.00,154000.00,18.0,36,ACTIVE,true,false,2026-01-10T08:00:00Z,2026-03-01T10:00:00Z
PROD-0007,LAP-LEN-P1G6,Lenovo ThinkPad P1 Gen 6 16-inch Engineering Laptop,Lenovo Group Ltd,CAT-COMP,CAT-LAP,HARDWARE,"Thin & light power workstation for software architects, ML engineers and simulation developers",21FV000VIN,EACH,185000.00,222000.00,18.0,36,ACTIVE,true,false,2026-01-10T08:00:00Z,2026-03-01T10:00:00Z
PROD-0008,LAP-HP-EB840G10,HP EliteBook 840 G10 14-inch Commercial Ultrabook,HP Inc.,CAT-COMP,CAT-LAP,HARDWARE,Premium aluminium enterprise laptop with HP Wolf Security and 5MP camera with auto-framing,7N064AV,EACH,72000.00,86500.00,18.0,36,ACTIVE,true,false,2026-01-10T08:00:00Z,2026-03-01T10:00:00Z
PROD-0009,LAP-HP-PB440G10,HP ProBook 440 G10 14-inch Mainstream Laptop,HP Inc.,CAT-COMP,CAT-LAP,HARDWARE,Essential enterprise durability and commercial performance for expanding tech startups,7N072AV,EACH,48000.00,57500.00,18.0,12,ACTIVE,true,false,2026-01-10T08:00:00Z,2026-03-01T10:00:00Z
PROD-0010,LAP-HP-ZBKPOWG10,HP ZBook Power G10 15.6-inch Mobile Workstation,HP Inc.,CAT-COMP,CAT-LAP,HARDWARE,Pro-grade workstation performance with NVIDIA RTX Ada graphics for 3D modelling and CAD,8D0M2PA,EACH,122000.00,146000.00,18.0,36,ACTIVE,true,false,2026-01-10T08:00:00Z,2026-03-01T10:00:00Z
PROD-0011,LAP-APL-MBP14M3P,Apple MacBook Pro 14-inch M3 Pro (18GB / 512GB),Apple Inc.,CAT-COMP,CAT-LAP,HARDWARE,"Industry-defining Apple Silicon laptop for software development, iOS dev, and creative pros",MRX33HN/A,EACH,168000.00,199900.00,18.0,12,ACTIVE,true,false,2026-01-10T08:00:00Z,2026-03-01T10:00:00Z
PROD-0012,LAP-APL-MBP16M3M,Apple MacBook Pro 16-inch M3 Max (36GB / 1TB),Apple Inc.,CAT-COMP,CAT-LAP,HARDWARE,"Extreme performance Apple Silicon mobile workstation for AI models, compilation, and video production",MUW63HN/A,EACH,295000.00,349900.00,18.0,12,ACTIVE,true,false,2026-01-10T08:00:00Z,2026-03-01T10:00:00Z
PROD-0013,LAP-APL-MBA13M3,Apple MacBook Air 13-inch M3 Enterprise Fleet Edition,Apple Inc.,CAT-COMP,CAT-LAP,HARDWARE,Fanless ultra-portable corporate laptop with 18-hour battery life and dual external display support,MRXN3HN/A,EACH,96000.00,114900.00,18.0,12,ACTIVE,true,false,2026-01-10T08:00:00Z,2026-03-01T10:00:00Z
PROD-0014,LAP-ASU-EXPB9,ASUS ExpertBook B9 OLED 14-inch Executive Notebook,ASUS Commercial,CAT-COMP,CAT-LAP,HARDWARE,World's lightest 14-inch OLED business laptop weighing only 990g with magnesium-lithium alloy body,B9403CVA,EACH,118000.00,142000.00,18.0,36,ACTIVE,true,false,2026-01-10T08:00:00Z,2026-03-01T10:00:00Z
PROD-0015,LAP-ACE-TMP614,Acer TravelMate P6 14-inch Commercial Ultrabook,Acer Commercial,CAT-COMP,CAT-LAP,HARDWARE,Sub-1kg enterprise laptop certified for MIL-STD 810H with Corning Gorilla Glass touchpad,TMP614-53,EACH,64000.00,77000.00,18.0,36,ACTIVE,true,false,2026-01-10T08:00:00Z,2026-03-01T10:00:00Z
PROD-0016,DSK-DEL-OPT7010M,Dell OptiPlex 7010 Micro Ultra-Compact Desktop,Dell Technologies,CAT-COMP,CAT-DSK,HARDWARE,Ultra-compact 1-liter desktop engineered for space-constrained corporate desks and call centers,DEL-OPT-7010-MCR,EACH,42000.00,51000.00,18.0,36,ACTIVE,true,false,2026-01-10T08:00:00Z,2026-03-01T10:00:00Z
PROD-0017,DSK-DEL-OPT7010SFF,Dell OptiPlex 7010 Small Form Factor Desktop,Dell Technologies,CAT-COMP,CAT-DSK,HARDWARE,Mainstream small-form-factor desktop combining balance of compact footprint and expansion slots,DEL-OPT-7010-SFF,EACH,46000.00,55500.00,18.0,36,ACTIVE,true,false,2026-01-10T08:00:00Z,2026-03-01T10:00:00Z
PROD-0018,DSK-DEL-OPT7410AIO,Dell OptiPlex 7410 23.8-inch All-in-One Desktop,Dell Technologies,CAT-COMP,CAT-DSK,HARDWARE,Sleek commercial all-in-one with pop-up privacy webcam and height-adjustable stand,DEL-OPT-7410-AIO,EACH,68000.00,82000.00,18.0,36,ACTIVE,true,false,2026-01-10T08:00:00Z,2026-03-01T10:00:00Z
PROD-0019,DSK-LEN-M70QG4,Lenovo ThinkCentre M70q Gen 4 Tiny Desktop,Lenovo Group Ltd,CAT-COMP,CAT-DSK,HARDWARE,"1-liter enterprise desktop built for deployment flexibility, MIL-SPEC tested with ThinkShield",12E3000LIN,EACH,43000.00,52500.00,18.0,36,ACTIVE,true,false,2026-01-10T08:00:00Z,2026-03-01T10:00:00Z
PROD-0020,DSK-HP-PRO400G9,HP Pro SFF 400 G9 Commercial Desktop,HP Inc.,CAT-COMP,CAT-DSK,HARDWARE,Commercial desktop providing everyday performance and expansion flexibility in compact SFF chassis,722K7PA,EACH,45000.00,54000.00,18.0,36,ACTIVE,true,false,2026-01-10T08:00:00Z,2026-03-01T10:00:00Z
PROD-0021,DSK-APL-MACSTDM2M,Apple Mac Studio M2 Max Compact Desktop,Apple Inc.,CAT-COMP,CAT-DSK,HARDWARE,High-performance desktop powerhouse in 3.7-inch square form factor for developers and data scientists,MQH73HN/A,EACH,175000.00,209900.00,18.0,12,ACTIVE,true,false,2026-01-10T08:00:00Z,2026-03-01T10:00:00Z
PROD-0022,WKS-DEL-PR3660,Dell Precision 3660 Tower CAD Workstation,Dell Technologies,CAT-COMP,CAT-WKS,HARDWARE,"Entry-level enterprise tower workstation certified for ISV applications (AutoCAD, SolidWorks, Revit)",DEL-PREC-3660-BASE,EACH,115000.00,138000.00,18.0,36,ACTIVE,true,false,2026-01-10T08:00:00Z,2026-03-01T10:00:00Z
PROD-0023,WKS-DEL-PR5860,Dell Precision 5860 Tower AI & Simulation Workstation,Dell Technologies,CAT-COMP,CAT-WKS,HARDWARE,"Intel Xeon W-series scalable workstation for deep learning, AI inferencing, and complex FEA simulations",DEL-PREC-5860-BASE,EACH,240000.00,288000.00,18.0,36,ACTIVE,true,false,2026-01-10T08:00:00Z,2026-03-01T10:00:00Z
PROD-0024,WKS-DEL-PR7960,Dell Precision 7960 Tower Extreme AI Workstation,Dell Technologies,CAT-COMP,CAT-WKS,HARDWARE,Ultimate multi-GPU workstation with Intel Xeon w9 and dual NVIDIA RTX 6000 Ada GPUs for LLM training,DEL-PREC-7960-BASE,EACH,520000.00,624000.00,18.0,36,ACTIVE,true,false,2026-01-10T08:00:00Z,2026-03-01T10:00:00Z
PROD-0025,WKS-HP-Z4G5,HP Z4 G5 Single-Processor Engineering Workstation,HP Inc.,CAT-COMP,CAT-WKS,HARDWARE,"High-reliability commercial workstation built for 24/7 CAD, BIM visualization and data engineering",5F0F5AV,EACH,195000.00,234000.00,18.0,36,ACTIVE,true,false,2026-01-10T08:00:00Z,2026-03-01T10:00:00Z
