line_id,quotation_id,line_number,item_type,product_variant_id,service_id,subscription_plan_id,description,quantity,unit_price,discount_percent,discount_amount,tax_rate,tax_amount,line_total,billing_type,fulfillment_warehouse_id,fulfillment_status
QL-00001,QT-0001,1,PRODUCT,VAR-0001,,,Dell Latitude 5440 Core i5 / 16GB / 512GB SSD / Win 11 Pro,100,74500.00,22.00,1639000.00,18.0,1045980.00,6856980.00,ONE_TIME,WH-001,ALLOCATED
QL-00002,QT-0001,2,PRODUCT,VAR-0173,,,Dell USB-C Dock WD19S with 130W AC Power Adapter,100,18500.00,18.00,333000.00,18.0,273060.00,1790060.00,ONE_TIME,WH-001,ALLOCATED
QL-00003,QT-0001,3,PRODUCT,VAR-0105,,,"Dell P2422H 23.8"" FHD IPS (HDMI/DP/VGA/USB Hub)",20,14200.00,15.00,42600.00,18.0,43452.00,284852.00,ONE_TIME,WH-001,ALLOCATED
QL-00004,QT-0001,4,SERVICE,,SRV-005,,Enterprise Laptop Zero-Touch Imaging & Domain Join,100,1200.00,10.00,12000.00,18.0,19440.00,127440.00,ONE_TIME,,PENDING
QL-00005,QT-0002,1,PRODUCT,VAR-0009,,,Lenovo ThinkPad T14 Gen 4 i5 / 16GB / 512GB SSD / Thunder Black (Fulfillment: Ahmedabad DC),60,78000.00,12.00,561600.00,18.0,741312.00,4859712.00,ONE_TIME,WH-001,ALLOCATED
QL-00006,QT-0002,2,PRODUCT,VAR-0009,,,Lenovo ThinkPad T14 Gen 4 i5 / 16GB / 512GB SSD / Thunder Black (Fulfillment: Mumbai Hub Split),40,78000.00,12.00,374400.00,18.0,494208.00,3239808.00,ONE_TIME,WH-002,PARTIAL_SPLIT
QL-00007,QT-0003,1,PRODUCT,VAR-0058,,,Dell PowerEdge R760 2x Xeon Gold 6430 / 128GB ECC / 4x 1.92TB SSD / Dual 10GbE,50,525000.00,14.00,3675000.00,18.0,4063500.00,26638500.00,ONE_TIME,WH-001,BACKORDERED
QL-00008,QT-0003,2,SERVICE,,SRV-001,,Enterprise Server & Rack Installation,50,7500.00,10.00,37500.00,18.0,60750.00,398250.00,ONE_TIME,,PENDING
QL-00009,QT-0004,1,PRODUCT,VAR-0016,,,HP EliteBook 840 G10 i5 / 16GB / 512GB SSD / Silver,20,81000.00,10.00,162000.00,18.0,262440.00,1720440.00,ONE_TIME,WH-001,ALLOCATED
QL-00010,QT-0004,2,PRODUCT,VAR-0111,,,"HP E24 G4 23.8"" FHD IPS (VGA/HDMI/DP/4x USB)",20,13800.00,8.00,22080.00,18.0,45705.60,299625.60,ONE_TIME,WH-001,ALLOCATED
QL-00011,QT-0004,3,SERVICE,,SRV-005,,Enterprise Laptop Zero-Touch Imaging,20,1200.00,5.00,1200.00,18.0,4104.00,26904.00,ONE_TIME,,PENDING
QL-00012,QT-0004,4,SUBSCRIPTION,,,SUB-001,Comprehensive Enterprise AMC (4hr SLA) - Annual,1,48000.00,0.00,0.00,18.0,8640.00,56640.00,RECURRING,,PENDING
QL-00013,QT-0004,5,SUBSCRIPTION,,,SUB-004,Managed Cloud Backup BaaS - 1 TB - Monthly,1,1800.00,0.00,0.00,18.0,324.00,2124.00,RECURRING,,PENDING
QL-00014,QT-0005,1,PRODUCT,VAR-0103,,,Samsung Galaxy Tab Active4 Pro 6GB/128GB 5G Rugged Field Tablet,35,60999.00,18.50,394968.53,18.0,313199.36,2053195.83,ONE_TIME,WH-001,ALLOCATED
QL-00015,QT-0005,2,SERVICE,,SRV-005,,Field Tablet MDM Enrollment & Kiosk Mode Lockdown,35,1200.00,10.00,4200.00,18.0,6804.00,44604.00,ONE_TIME,,PENDING
QL-00016,QT-0006,1,PRODUCT,VAR-0026,,,"Apple MacBook Air 13"" M2 / 16GB / 512GB / Silver",15,115900.00,5.00,86925.00,18.0,297283.50,1948858.50,ONE_TIME,WH-001,ALLOCATED
QL-00017,QT-0007,1,PRODUCT,VAR-0120,,,Cisco Catalyst 9200L 48-Port PoE+ (740W) / 4x 10G SFP+ Uplinks,15,285000.00,28.50,1218375.00,18.0,550192.50,3606817.50,ONE_TIME,WH-001,ALLOCATED
QL-00018,QT-0007,2,SERVICE,,SRV-003,,L2/L3 Network & VLAN Setup,1,12000.00,15.00,1800.00,18.0,1836.00,12036.00,ONE_TIME,,PENDING
QL-00019,QT-0008,1,PRODUCT,VAR-0192,,,Belkin USB-C 7-in-1 Multiport Hub Adapter with 4K HDMI,10,4499.00,3.00,1349.70,18.0,7855.25,51495.55,ONE_TIME,WH-001,ALLOCATED
QL-00020,QT-0008,2,PRODUCT,VAR-0121,,,Cisco Catalyst 9300 48-Port UPOE (820W) / Modular Uplink,2,520000.00,5.00,52000.00,18.0,177840.00,1165840.00,ONE_TIME,WH-001,ALLOCATED
QL-00021,QT-0008,3,PRODUCT,VAR-0198,,,Jabra Speak2 75 MS with Link 380 USB-A/C Adapter (32-Hour Battery),2,33500.00,12.00,8040.00,18.0,10612.80,69572.80,ONE_TIME,WH-001,ALLOCATED
QL-00022,QT-0008,4,PRODUCT,VAR-0042,,,Apple Mac Studio M2 Max / 32GB / 512GB SSD,40,209900.00,5.00,419800.00,18.0,1435716.00,9411916.00,ONE_TIME,WH-001,ALLOCATED
QL-00023,QT-0008,5,SUBSCRIPTION,,,SUB-003,24x7 Enterprise Infrastructure NOC Monitoring (Monthly),1,8500.00,0.00,0.00,18.0,1530.00,10030.00,RECURRING,,PENDING
QL-00024,QT-0009,1,PRODUCT,VAR-0020,,,HP ZBook Firefly 14 i7 / 32GB / 1TB / RTX A500 4GB,15,118000.00,12.00,212400.00,18.0,280368.00,1837968.00,ONE_TIME,WH-001,ALLOCATED
QL-00025,QT-0009,2,PRODUCT,VAR-0147,,,"Kingston DC500M 1.92TB Enterprise 2.5"" SATA SSD",5,21800.00,12.00,13080.00,18.0,17265.60,113185.60,ONE_TIME,WH-001,ALLOCATED
QL-00026,QT-0009,3,SERVICE,,SRV-008,,Enterprise Admin Systems Training,1,11000.00,5.00,550.00,18.0,1881.00,12331.00,ONE_TIME,,PENDING
QL-00027,QT-0010,1,PRODUCT,VAR-0003,,,Dell Latitude 7440 i7 / 16GB / 512GB SSD / Titan Grey,5,105000.00,3.00,15750.00,18.0,91665.00,600915.00,ONE_TIME,WH-001,ALLOCATED
QL-00028,QT-0010,2,PRODUCT,VAR-0041,,,Apple Mac Mini M2 Pro (12-core CPU/19-core GPU) / 32GB / 1TB / 10GbE,25,171900.00,12.00,515700.00,18.0,680724.00,4462524.00,ONE_TIME,WH-001,ALLOCATED
QL-00029,QT-0010,3,PRODUCT,VAR-0010,,,Lenovo ThinkPad T14 Gen 4 i7 / 32GB / 1TB SSD / Thunder Black,25,95000.00,10.00,237500.00,18.0,384750.00,2522250.00,ONE_TIME,WH-001,ALLOCATED
