line_id,quotation_id,line_number,item_type,product_variant_id,service_id,subscription_plan_id,description,quantity,unit_price,discount_percent,discount_amount,tax_rate,tax_amount,line_total,billing_type,fulfillment_warehouse_id,fulfillment_status
QL-00001,QT-0001,1,PRODUCT,VAR-0001,,,Dell Latitude 5440 Core i5 / 16GB / 512GB SSD / Win 11 Pro,200,74500.00,24.00,3576000.00,18.0,2038320.00,13362320.00,ONE_TIME,WH-001,ALLOCATED
QL-00002,QT-0001,2,PRODUCT,VAR-0151,,,Dell WD19S 130W USB-C Dock with 90W Power Delivery,200,14500.00,18.00,522000.00,18.0,428040.00,2806040.00,ONE_TIME,WH-001,ALLOCATED
QL-00003,QT-0001,3,PRODUCT,VAR-0136,,,"Dell P2422H 24"" FHD 1920x1080 IPS Height-Adjustable Monitor",200,15200.00,15.00,456000.00,18.0,465120.00,3049120.00,ONE_TIME,WH-001,ALLOCATED
QL-00004,QT-0001,4,PRODUCT,VAR-0097,,,Cisco Catalyst 9200L 24-Port Full PoE+ (370W) 4x1G SFP Uplink Network Essentials,20,175000.00,16.00,560000.00,18.0,529200.00,3469200.00,ONE_TIME,WH-001,ALLOCATED
QL-00005,QT-0001,5,PRODUCT,VAR-0111,,,Aruba AP-515 (RW) Unified Campus AP,10,43500.00,12.00,52200.00,18.0,68904.00,451704.00,ONE_TIME,WH-001,ALLOCATED
QL-00006,QT-0001,6,PRODUCT,VAR-0053,,,Dell PowerEdge R660 1x Xeon Silver 4410Y / 64GB ECC / 2x 960GB SSD / Dual 800W PSU,4,336000.00,14.00,188160.00,18.0,208051.20,1363891.20,ONE_TIME,WH-001,ALLOCATED
QL-00007,QT-0001,7,SERVICE,,SRV-005,,Enterprise Laptop Zero-Touch Imaging & Domain Join,200,1200.00,10.00,24000.00,18.0,38880.00,254880.00,ONE_TIME,,PENDING
QL-00008,QT-0001,8,SUBSCRIPTION,,,SUB-001,Comprehensive Enterprise AMC (4hr SLA) - 3-Year Coverage,3,48000.00,0.00,0.00,18.0,25920.00,169920.00,RECURRING,,PENDING
QL-00009,QT-0002,1,PRODUCT,VAR-0076,,,Samsung Galaxy S24 128GB Onyx Black,50,79999.00,8.00,319996.00,18.0,662391.72,4342345.72,ONE_TIME,WH-001,ALLOCATED
QL-00010,QT-0002,2,PRODUCT,VAR-0164,,,Anker 737 GaNPrime 120W (2x USB-C + 1x USB-A) Black,50,5999.00,12.00,35994.00,18.0,47512.08,311468.08,ONE_TIME,WH-001,ALLOCATED
QL-00011,QT-0002,3,SUBSCRIPTION,,,SUB-006,Cloud Endpoint Mobility Management (Per Seat) - Annual MDM,50,2400.00,0.00,0.00,18.0,21600.00,141600.00,RECURRING,,PENDING
QL-00012,QT-0003,1,PRODUCT,VAR-0055,,,Dell PowerEdge R760 2x Xeon Gold 6426Y / 128GB ECC / 4x 1.92TB SSD / Dual 1400W (Bangalore DC Immediate Stock),7,468000.00,12.00,393120.00,18.0,518918.40,3401798.40,ONE_TIME,WH-001,ALLOCATED
QL-00013,QT-0003,2,PRODUCT,VAR-0055,,,Dell PowerEdge R760 2x Xeon Gold 6426Y / 128GB ECC / 4x 1.92TB SSD / Dual 1400W (Incoming Shipment Allocation - ETA 5 Days),3,468000.00,12.00,168480.00,18.0,222393.60,1457913.60,ONE_TIME,WH-001,INCOMING_ALLOCATION
QL-00014,QT-0003,3,PRODUCT,VAR-0055,,,Dell PowerEdge R760 2x Xeon Gold 6426Y / 128GB ECC / 4x 1.92TB SSD / Dual 1400W (Factory Backorder - Lead Time 3 Weeks),2,468000.00,12.00,112320.00,18.0,148262.40,971942.40,ONE_TIME,WH-001,BACKORDERED
QL-00015,QT-0003,4,SERVICE,,SRV-001,,Enterprise Server & Rack Installation,12,7500.00,5.00,4500.00,18.0,15390.00,100890.00,ONE_TIME,,PENDING
QL-00016,QT-0004,1,PRODUCT,VAR-0009,,,Lenovo ThinkPad T14 Gen 4 i5 / 16GB / 512GB SSD / Thunder Black (Fulfillment: Bangalore Central BLR-DC-01),100,79000.00,11.00,869000.00,18.0,1265580.00,8296580.00,ONE_TIME,WH-001,ALLOCATED
QL-00017,QT-0004,2,PRODUCT,VAR-0009,,,Lenovo ThinkPad T14 Gen 4 i5 / 16GB / 512GB SSD / Thunder Black (Fulfillment: Mumbai Hub Split MUM-DC-01),50,79000.00,11.00,434500.00,18.0,632790.00,4148290.00,ONE_TIME,WH-003,PARTIAL_SPLIT
QL-00018,QT-0004,3,SERVICE,,SRV-005,,Enterprise Laptop Zero-Touch Imaging,150,1200.00,10.00,18000.00,18.0,29160.00,191160.00,ONE_TIME,,PENDING
QL-00019,QT-0005,1,PRODUCT,VAR-0021,,,MacBook Pro 14 M3 Pro Developer Laptops,35,199900.00,19.00,1329335.00,18.0,1020089.70,6687254.70,ONE_TIME,WH-001,ALLOCATED
QL-00020,QT-0005,2,SERVICE,,SRV-005,,Enterprise macOS Gold Master Provisioning,35,1200.00,10.00,4200.00,18.0,6804.00,44604.00,ONE_TIME,,PENDING
QL-00021,QT-0006,1,PRODUCT,VAR-0016,,,HP EliteBook 840 G10 i7 / 32GB / 1TB SSD / Silver,25,104500.00,6.00,156750.00,18.0,442035.00,2897785.00,ONE_TIME,WH-001,ALLOCATED
QL-00022,QT-0007,1,PRODUCT,VAR-0097,,,Cisco Catalyst 9200L 24-Port Full PoE+ (370W) 4x1G SFP Uplink Network Essentials,15,175000.00,27.50,721875.00,18.0,342562.50,2245687.50,ONE_TIME,WH-001,ALLOCATED
QL-00023,QT-0007,2,SERVICE,,SRV-003,,L2/L3 Network & VLAN Setup,1,12000.00,15.00,1800.00,18.0,1836.00,12036.00,ONE_TIME,,PENDING
QL-00024,QT-0008,1,PRODUCT,VAR-0135,,,Vertiv Liebert GXT5 3kVA with RDU101 Communications Card,30,108000.00,10.00,324000.00,18.0,524880.00,3440880.00,ONE_TIME,WH-001,ALLOCATED
QL-00025,QT-0008,2,PRODUCT,VAR-0217,,,HPE DL385 Gen11 2x AMD EPYC 9354 (64C/128T) / 256GB DDR5 / 8x 1.92TB NVMe,5,684000.00,0.00,0.00,18.0,615600.00,4035600.00,ONE_TIME,WH-001,ALLOCATED
QL-00026,QT-0008,3,PRODUCT,VAR-0023,,,MacBook Pro 16 M3 Max (14-CPU / 30-GPU / 36GB / 1TB) Space Black,10,349900.00,12.00,419880.00,18.0,554241.60,3633361.60,ONE_TIME,WH-001,ALLOCATED
QL-00027,QT-0008,4,SUBSCRIPTION,,,SUB-001,Comprehensive Enterprise AMC (4hr SLA) (Annually),1,48000.00,0.00,0.00,18.0,8640.00,56640.00,RECURRING,,PENDING
QL-00028,QT-0009,1,PRODUCT,VAR-0262,,,Poly Voyager Focus 2 UC USB-C with Charging Stand,20,21500.00,7.50,32250.00,18.0,71595.00,469345.00,ONE_TIME,WH-001,ALLOCATED
QL-00029,QT-0009,2,PRODUCT,VAR-0050,,,HP Z4 G5 Xeon w7-2475X / 64GB ECC / 2TB / RTX 4000 Ada 20GB,20,302000.00,0.00,0.00,18.0,1087200.00,7127200.00,ONE_TIME,WH-001,ALLOCATED
QL-00030,QT-0009,3,PRODUCT,VAR-0111,,,Aruba AP-515 (RW) Unified Campus AP,30,43500.00,5.00,65250.00,18.0,223155.00,1462905.00,ONE_TIME,WH-001,ALLOCATED
QL-00031,QT-0009,4,PRODUCT,VAR-0021,,,MacBook Pro 14 M3 Pro (11-CPU / 14-GPU / 18GB / 512GB) Space Black,20,199900.00,12.00,479760.00,18.0,633283.20,4151523.20,ONE_TIME,WH-001,ALLOCATED
QL-00032,QT-0009,5,PRODUCT,VAR-0119,,,"Samsung PM893 1.92TB Enterprise 2.5"" SATA SSD",5,27500.00,3.00,4125.00,18.0,24007.50,157382.50,ONE_TIME,WH-001,ALLOCATED
QL-00033,QT-0009,6,SERVICE,,SRV-012,,Firmware & Security Compliance Audit,1,26000.00,10.00,2600.00,18.0,4212.00,27612.00,ONE_TIME,,PENDING
QL-00034,QT-0010,1,PRODUCT,VAR-0309,,,Enterprise Operational IT Hardware Component Tier-14 (UPS) - Professional High-End Edition,50,26250.00,0.00,0.00,18.0,236250.00,1548750.00,ONE_TIME,WH-001,ALLOCATED
QL-00035,QT-0010,2,PRODUCT,VAR-0431,,,Enterprise Operational IT Hardware Component Tier-75 (ACC) - Professional High-End Edition,50,2250.00,10.00,11250.00,18.0,18225.00,119475.00,ONE_TIME,WH-001,ALLOCATED
QL-00036,QT-0011,1,PRODUCT,VAR-0141,,,"Dell U3223QE 31.5"" 4K UHD IPS Black USB-C Hub Display",50,77500.00,10.00,387500.00,18.0,627750.00,4115250.00,ONE_TIME,WH-001,ALLOCATED
QL-00037,QT-0011,2,PRODUCT,VAR-0429,,,Enterprise Operational IT Hardware Component Tier-74 (UPS) - Professional High-End Edition,2,26250.00,5.00,2625.00,18.0,8977.50,58852.50,ONE_TIME,WH-001,ALLOCATED
QL-00038,QT-0011,3,PRODUCT,VAR-0108,,,FortiGate 60F Appliance with 1-Year Unified Threat Protection (UTP) License,2,97900.00,0.00,0.00,18.0,35244.00,231044.00,ONE_TIME,WH-001,ALLOCATED
QL-00039,QT-0011,4,PRODUCT,VAR-0524,,,Poly Studio X30 Video Bar Appliance (Native Teams bundled with Additional Table Microphone Pod,20,196000.00,3.00,117600.00,18.0,684432.00,4486832.00,ONE_TIME,WH-001,ALLOCATED
QL-00040,QT-0012,1,PRODUCT,VAR-0270,,,Logitech Rally Bar Mini Video Bar Appliance Graphite,50,225000.00,7.50,843750.00,18.0,1873125.00,12279375.00,ONE_TIME,WH-001,ALLOCATED
