quotation_id,quotation_number,customer_id,quotation_date,valid_until,currency,subtotal,discount_total,tax_total,grand_total,status,approval_status,deal_health,created_by,notes
QT-0001,QT-2026-0001,CUST-001,2026-02-28,2026-03-30,INR,9704000.00,2026600.00,1381932.00,9059332.00,Pending Approval,Pending L2_SALES_DIRECTOR Approval,Action Required,Kavita Sharma,Demo A Scenario: Enterprise fleet refresh. 22.0% requested discount on Laptops exceeds 15.0% tier ceiling. Requires Sales Director commercial signoff.
QT-0002,QT-2026-0002,CUST-004,2026-02-25,2026-03-27,INR,7800000.00,936000.00,1235520.00,8099520.00,Approved,Approved,Healthy,Kavita Sharma,Demo C Scenario: Multi-warehouse split allocated. 60 units fulfilled from Ahmedabad Central (AMD-DC-01) and 40 units from Mumbai Hub (BOM-DC-01).
QT-0003,QT-2026-0003,CUST-010,2026-02-20,2026-04-06,INR,26625000.00,3712500.00,4124250.00,27036750.00,Confirmed,Approved,Monitored,Kavita Sharma,"Demo Backorder Scenario: 50x PowerEdge R760. 8 units allocated from stock, 20 from shipment ETA 7 days, 22 on manufacturer factory backorder."
QT-0004,QT-2026-0004,CUST-002,2026-02-22,2026-03-24,INR,1969800.00,185280.00,321213.60,2105733.60,Approved,Approved,Healthy,Kavita Sharma,Demo D Scenario: Hybrid enterprise order combining One-Time hardware & deployment with recurring Annual AMC and Monthly Cloud Backup.
QT-0005,QT-2026-0005,CUST-003,2026-02-18,2026-03-10,INR,2176965.00,399168.53,320003.36,2097799.83,Under Negotiation,Pending Approval,Attention Needed,Kavita Sharma,Demo E Scenario: Customer counter-proposal requested 18.5% discount on field tablets (exceeds 8.0% Mobility ceiling). Approval flow restarted.
QT-0006,QT-2026-0006,CUST-027,2026-01-12,2026-02-11,INR,1738500.00,86925.00,297283.50,1948858.50,Sent,Not Required,At Risk,Kavita Sharma,Demo F Scenario: Deal Health: At Risk. Stalled quotation. No customer engagement recorded for 45+ days following proposal delivery.
QT-0007,QT-2026-0007,CUST-014,2026-02-27,2026-03-29,INR,4287000.00,1220175.00,552028.50,3618853.50,Pending Approval,Flagged - Discount Anomaly,Review Required,Kavita Sharma,Demo G Scenario: Discount Anomaly detected. 28.5% requested discount on Cisco Enterprise Networking exceeds historical peer median (6.5%) by 22.0%.
QT-0008,QT-2026-0008,CUST-009,2026-01-25,2026-02-24,INR,9556490.00,481189.70,1633554.05,10708854.35,Draft,Not Required,Under Review,Kavita Sharma,Commercial proposal for Apex Global BPO Solutions Pvt Ltd covering IT hardware procurement and SLA services.
QT-0009,QT-2026-0009,CUST-010,2026-01-28,2026-02-27,INR,1890000.00,226030.00,299514.60,1963484.60,Sent,Not Required,Under Review,Kavita Sharma,Commercial proposal for Bharat Financial Analytics Ltd covering IT hardware procurement and SLA services.
QT-0010,QT-2026-0010,CUST-011,2026-01-03,2026-02-02,INR,8277500.00,768950.00,1351539.00,8860089.00,Under Negotiation,Not Required,Under Review,Kavita Sharma,Commercial proposal for Deccan Horizon InfoTech Pvt Ltd covering IT hardware procurement and SLA services.
QT-0011,QT-2026-0011,CUST-012,2026-01-06,2026-02-05,INR,9851500.00,766245.00,1635345.90,10720600.90,Pending Approval,Pending Approval,Under Review,Kavita Sharma,Commercial proposal for Sterling Micro-Fintech Corp covering IT hardware procurement and SLA services.
QT-0012,QT-2026-0012,CUST-013,2026-01-09,2026-02-08,INR,13848800.00,1426460.00,2236021.20,14658361.20,Approved,Approved,Healthy,Kavita Sharma,Commercial proposal for Kalinga Logistics & Warehousing Pvt Ltd covering IT hardware procurement and SLA services.
QT-0013,QT-2026-0013,CUST-014,2026-01-12,2026-02-11,INR,8659700.00,590766.00,1452408.12,9521342.12,Rejected,Not Required,Under Review,Kavita Sharma,Commercial proposal for Karnavati Tech Park Operations Pvt Ltd covering IT hardware procurement and SLA services.
QT-0014,QT-2026-0014,CUST-015,2026-01-15,2026-02-14,INR,341800.00,34180.00,55371.60,362991.60,Confirmed,Approved,Healthy,Kavita Sharma,Commercial proposal for Meridian Healthcare Systems Ltd covering IT hardware procurement and SLA services.
QT-0015,QT-2026-0015,CUST-016,2026-01-18,2026-02-17,INR,5268700.00,514847.00,855693.54,5609546.54,Expired,Not Required,At Risk,Kavita Sharma,Commercial proposal for Cauvery Cloud Technologies Pvt Ltd covering IT hardware procurement and SLA services.
QT-0016,QT-2026-0016,CUST-017,2026-01-21,2026-02-20,INR,2172490.00,109399.00,371356.38,2434447.38,Draft,Not Required,Under Review,Kavita Sharma,Commercial proposal for Silicon South Embedded Labs covering IT hardware procurement and SLA services.
QT-0017,QT-2026-0017,CUST-018,2026-01-24,2026-02-23,INR,1107950.00,132954.00,175499.28,1150495.28,Sent,Not Required,Under Review,Kavita Sharma,Commercial proposal for Telengana Cyber Grid Solutions covering IT hardware procurement and SLA services.
QT-0018,QT-2026-0018,CUST-019,2026-01-27,2026-02-26,INR,3560700.00,109890.00,621145.80,4071955.80,Under Negotiation,Not Required,Under Review,Kavita Sharma,Commercial proposal for Nizami FinServe Solutions Pvt Ltd covering IT hardware procurement and SLA services.
QT-0019,QT-2026-0019,CUST-020,2026-01-02,2026-02-01,INR,5607490.00,405312.00,936392.04,6138570.04,Pending Approval,Pending Approval,Under Review,Kavita Sharma,Commercial proposal for Godavari AgriTech Solutions Pvt Ltd covering IT hardware procurement and SLA services.
QT-0020,QT-2026-0020,CUST-021,2026-02-05,2026-03-07,INR,5887650.00,275312.50,1010220.75,6622558.25,Approved,Approved,Healthy,Kavita Sharma,Commercial proposal for Indraprastha IT Consulting LLP covering IT hardware procurement and SLA services.
QT-0021,QT-2026-0021,CUST-022,2026-02-08,2026-03-10,INR,1549400.00,144003.00,252971.46,1658368.46,Rejected,Not Required,Under Review,Kavita Sharma,Commercial proposal for Delhi Capital Hospital Network covering IT hardware procurement and SLA services.
QT-0022,QT-2026-0022,CUST-023,2026-02-11,2026-03-13,INR,1911750.00,191175.00,309703.50,2030278.50,Confirmed,Approved,Healthy,Kavita Sharma,Commercial proposal for Noida Precision Robotics Pvt Ltd covering IT hardware procurement and SLA services.
QT-0023,QT-2026-0023,CUST-024,2026-02-14,2026-03-16,INR,5888500.00,473050.00,974781.00,6390231.00,Expired,Not Required,At Risk,Kavita Sharma,Commercial proposal for Haryana Agro Logistics Corp covering IT hardware procurement and SLA services.
QT-0024,QT-2026-0024,CUST-025,2026-02-17,2026-03-19,INR,8661098.00,746284.76,1424666.38,9339479.62,Draft,Not Required,Under Review,Kavita Sharma,Commercial proposal for Coromandel Maritime Solutions Ltd covering IT hardware procurement and SLA services.
QT-0025,QT-2026-0025,CUST-026,2026-02-20,2026-03-22,INR,8461950.00,751796.25,1387827.67,9097981.42,Sent,Not Required,Under Review,Kavita Sharma,Commercial proposal for Chola Financial Advisory Services covering IT hardware procurement and SLA services.
QT-0026,QT-2026-0026,CUST-027,2026-02-23,2026-03-25,INR,2880000.00,283300.00,467406.00,3064106.00,Under Negotiation,Not Required,Under Review,Kavita Sharma,Commercial proposal for Royal Orchid Hospitality Group covering IT hardware procurement and SLA services.
QT-0027,QT-2026-0027,CUST-028,2026-02-26,2026-03-28,INR,2572900.00,161308.00,434086.56,2845678.56,Pending Approval,Pending Approval,Under Review,Kavita Sharma,Commercial proposal for Mewar Heavy Engineering Ltd covering IT hardware procurement and SLA services.
QT-0028,QT-2026-0028,CUST-029,2026-02-01,2026-03-03,INR,484300.00,24125.00,82831.50,543006.50,Approved,Approved,Healthy,Kavita Sharma,Commercial proposal for Kolkata Port Warehousing Services covering IT hardware procurement and SLA services.
QT-0029,QT-2026-0029,CUST-030,2026-02-04,2026-03-06,INR,3028500.00,302850.00,490617.00,3216267.00,Rejected,Not Required,Under Review,Kavita Sharma,Commercial proposal for Eastern Power Distribution Equipment Ltd covering IT hardware procurement and SLA services.
