rule_id,product_id,service_id,recommended,required,priority
PSR-0001,PROD-0001,SRV-005,True,False,1
PSR-0002,PROD-0002,SRV-005,True,False,1
PSR-0003,PROD-0003,SRV-005,True,False,1
PSR-0004,PROD-0004,SRV-005,True,False,1
PSR-0005,PROD-0005,SRV-005,True,False,1
PSR-0006,PROD-0006,SRV-005,True,False,1
PSR-0007,PROD-0007,SRV-005,True,False,1
PSR-0008,PROD-0008,SRV-005,True,False,1
PSR-0009,PROD-0009,SRV-005,True,False,1
PSR-0010,PROD-0010,SRV-005,True,False,1
PSR-0011,PROD-0011,SRV-005,True,False,1
PSR-0012,PROD-0012,SRV-005,True,False,1
PSR-0013,PROD-0013,SRV-005,True,False,1
PSR-0014,PROD-0014,SRV-005,True,False,1
PSR-0015,PROD-0015,SRV-005,True,False,1
PSR-0016,PROD-0016,SRV-005,True,False,1
PSR-0017,PROD-0017,SRV-005,True,False,1
PSR-0018,PROD-0018,SRV-005,True,False,1
PSR-0019,PROD-0019,SRV-005,True,False,1
PSR-0020,PROD-0020,SRV-005,True,False,1
PSR-0021,PROD-0021,SRV-005,True,False,1
PSR-0022,PROD-0027,SRV-001,True,False,1
PSR-0023,PROD-0027,SRV-002,True,False,2
PSR-0024,PROD-0028,SRV-001,True,False,1
PSR-0025,PROD-0028,SRV-002,True,False,2
PSR-0026,PROD-0029,SRV-001,True,False,1
PSR-0027,PROD-0029,SRV-002,True,False,2
PSR-0028,PROD-0030,SRV-001,True,False,1
PSR-0029,PROD-0030,SRV-002,True,False,2
PSR-0030,PROD-0031,SRV-001,True,False,1
PSR-0031,PROD-0031,SRV-002,True,False,2
PSR-0032,PROD-0032,SRV-001,True,False,1
PSR-0033,PROD-0032,SRV-002,True,False,2
PSR-0034,PROD-0049,SRV-003,True,False,1
PSR-0035,PROD-0050,SRV-003,True,False,1
PSR-0036,PROD-0051,SRV-003,True,False,1
PSR-0037,PROD-0052,SRV-003,True,False,1
PSR-0038,PROD-0053,SRV-003,True,False,1
PSR-0039,PROD-0054,SRV-003,True,False,1
PSR-0040,PROD-0054,SRV-004,True,True,1
PSR-0041,PROD-0055,SRV-003,True,False,1
PSR-0042,PROD-0055,SRV-004,True,True,1
PSR-0043,PROD-0056,SRV-003,True,False,1
PSR-0044,PROD-0056,SRV-007,True,False,2
PSR-0045,PROD-0057,SRV-003,True,False,1
PSR-0046,PROD-0058,SRV-006,True,False,1
PSR-0047,PROD-0058,SRV-011,True,False,2
PSR-0048,PROD-0059,SRV-006,True,False,1
PSR-0049,PROD-0059,SRV-011,True,False,2
PSR-0050,PROD-0060,SRV-006,True,False,1
PSR-0051,PROD-0060,SRV-011,True,False,2
PSR-0052,PROD-0061,SRV-006,True,False,1
PSR-0053,PROD-0061,SRV-011,True,False,2
PSR-0054,PROD-0062,SRV-006,True,False,1
PSR-0055,PROD-0062,SRV-011,True,False,2
PSR-0056,PROD-0101,SRV-005,True,False,1
PSR-0057,PROD-0102,SRV-005,True,False,1
PSR-0058,PROD-0103,SRV-005,True,False,1
PSR-0059,PROD-0104,SRV-005,True,False,1
PSR-0060,PROD-0105,SRV-005,True,False,1
PSR-0061,PROD-0106,SRV-005,True,False,1
PSR-0062,PROD-0107,SRV-005,True,False,1
PSR-0063,PROD-0108,SRV-005,True,False,1
PSR-0064,PROD-0109,SRV-005,True,False,1
PSR-0065,PROD-0110,SRV-005,True,False,1
PSR-0066,PROD-0111,SRV-005,True,False,1
PSR-0067,PROD-0112,SRV-005,True,False,1
PSR-0068,PROD-0113,SRV-005,True,False,1
PSR-0069,PROD-0114,SRV-005,True,False,1
PSR-0070,PROD-0115,SRV-005,True,False,1
PSR-0071,PROD-0120,SRV-001,True,False,1
PSR-0072,PROD-0120,SRV-002,True,False,2
PSR-0073,PROD-0121,SRV-001,True,False,1
PSR-0074,PROD-0121,SRV-002,True,False,2
PSR-0075,PROD-0122,SRV-001,True,False,1
PSR-0076,PROD-0122,SRV-002,True,False,2
PSR-0077,PROD-0123,SRV-001,True,False,1
PSR-0078,PROD-0123,SRV-002,True,False,2
PSR-0079,PROD-0124,SRV-001,True,False,1
PSR-0080,PROD-0124,SRV-002,True,False,2
PSR-0081,PROD-0133,SRV-003,True,False,1
PSR-0082,PROD-0134,SRV-003,True,False,1
PSR-0083,PROD-0135,SRV-003,True,False,1
PSR-0084,PROD-0136,SRV-003,True,False,1
PSR-0085,PROD-0137,SRV-003,True,False,1
PSR-0086,PROD-0137,SRV-007,True,False,2
PSR-0087,PROD-0138,SRV-003,True,False,1
PSR-0088,PROD-0138,SRV-004,True,True,1
PSR-0089,PROD-0139,SRV-006,True,False,1
PSR-0090,PROD-0139,SRV-011,True,False,2
PSR-0091,PROD-0140,SRV-006,True,False,1
PSR-0092,PROD-0140,SRV-011,True,False,2
PSR-0093,PROD-0141,SRV-006,True,False,1
PSR-0094,PROD-0141,SRV-011,True,False,2
PSR-0095,PROD-0142,SRV-006,True,False,1
PSR-0096,PROD-0142,SRV-011,True,False,2
PSR-0097,PROD-0178,SRV-006,True,False,1
PSR-0098,PROD-0178,SRV-011,True,False,2
PSR-0099,PROD-0183,SRV-006,True,False,1
PSR-0100,PROD-0183,SRV-011,True,False,2
PSR-0101,PROD-0188,SRV-006,True,False,1
PSR-0102,PROD-0188,SRV-011,True,False,2
PSR-0103,PROD-0193,SRV-006,True,False,1
PSR-0104,PROD-0193,SRV-011,True,False,2
PSR-0105,PROD-0198,SRV-006,True,False,1
PSR-0106,PROD-0198,SRV-011,True,False,2
PSR-0107,PROD-0203,SRV-006,True,False,1
PSR-0108,PROD-0203,SRV-011,True,False,2
PSR-0109,PROD-0208,SRV-006,True,False,1
PSR-0110,PROD-0208,SRV-011,True,False,2
PSR-0111,PROD-0213,SRV-006,True,False,1
PSR-0112,PROD-0213,SRV-011,True,False,2
PSR-0113,PROD-0218,SRV-006,True,False,1
PSR-0114,PROD-0218,SRV-011,True,False,2
PSR-0115,PROD-0223,SRV-006,True,False,1
PSR-0116,PROD-0223,SRV-011,True,False,2
PSR-0117,PROD-0228,SRV-006,True,False,1
PSR-0118,PROD-0228,SRV-011,True,False,2
PSR-0119,PROD-0233,SRV-006,True,False,1
PSR-0120,PROD-0233,SRV-011,True,False,2
PSR-0121,PROD-0238,SRV-006,True,False,1
PSR-0122,PROD-0238,SRV-011,True,False,2
PSR-0123,PROD-0243,SRV-006,True,False,1
PSR-0124,PROD-0243,SRV-011,True,False,2
PSR-0125,PROD-0248,SRV-006,True,False,1
PSR-0126,PROD-0248,SRV-011,True,False,2
PSR-0127,PROD-0253,SRV-006,True,False,1
PSR-0128,PROD-0253,SRV-011,True,False,2
PSR-0129,PROD-0258,SRV-006,True,False,1
PSR-0130,PROD-0258,SRV-011,True,False,2
PSR-0131,PROD-0263,SRV-006,True,False,1
PSR-0132,PROD-0263,SRV-011,True,False,2
