line_id,quotation_id,line_number,item_type,product_variant_id,service_id,subscription_plan_id,description,quantity,unit_price,discount_percent,discount_amount,tax_rate,tax_amount,line_total,billing_type,fulfillment_warehouse_id,fulfillment_status
QL-00001,QT-MUM-0001,1,PRODUCT,VAR-0001,,,Core i5-1335U / 16GB / 512GB SSD / Win 11 Pro,30,82000.00,22.00,541200.00,18.0,345384.00,2264184.00,ONE_TIME,WH-001,ALLOCATED
QL-00002,QT-MUM-0001,2,PRODUCT,VAR-0249,,,Dell UltraSharp U2724D 27-inch QHD 120Hz IPS Black / Factory Calibrated / Tilt-Swivel-Pivot,30,37200.00,14.00,156240.00,18.0,172756.80,1132516.80,ONE_TIME,WH-001,ALLOCATED
QL-00003,QT-MUM-0001,3,PRODUCT,VAR-0352,,,Dell WD19S 180W High-Speed USB-C Business Docking Station / Commercial Retail Pack,30,17400.00,12.00,62640.00,18.0,82684.80,542044.80,ONE_TIME,WH-001,ALLOCATED
QL-00004,QT-MUM-0001,4,SERVICE,,SRV-005,,Enterprise Laptop Zero-Touch Imaging & Domain Join,30,1400.00,10.00,4200.00,18.0,6804.00,44604.00,ONE_TIME,,PENDING
QL-00005,QT-MUM-0002,1,PRODUCT,VAR-0006,,,Core Ultra 7 / 16GB / 512GB SSD / Win 11 Pro,25,138000.00,8.00,276000.00,18.0,571320.00,3745320.00,ONE_TIME,WH-001,ALLOCATED
QL-00006,QT-MUM-0002,2,PRODUCT,VAR-0353,,,Dell WD22TB4 Thunderbolt 4 Modular Dual 4K 180W Dock / Commercial Retail Pack (Recommended Upsell),25,27000.00,10.00,67500.00,18.0,109350.00,716850.00,ONE_TIME,WH-001,ALLOCATED
QL-00007,QT-MUM-0002,3,PRODUCT,VAR-0249,,,Dell UltraSharp U2724D 27-inch QHD 120Hz IPS Black / Factory Calibrated / Tilt-Swivel-Pivot (Recommended Dual Screen),25,37200.00,10.00,93000.00,18.0,150660.00,987660.00,ONE_TIME,WH-001,ALLOCATED
QL-00008,QT-MUM-0002,4,PRODUCT,VAR-0363,,,Jabra Evolve2 65 MS Wireless Noise-Cancelling Headset / Commercial Retail Pack (Attached Audio),25,18600.00,10.00,46500.00,18.0,75330.00,493830.00,ONE_TIME,WH-001,ALLOCATED
QL-00009,QT-MUM-0002,5,SUBSCRIPTION,,,SUB-001,Comprehensive 24x7 4-Hour SLA Enterprise Hardware AMC (Annual),25,52000.00,5.00,65000.00,18.0,222300.00,1457300.00,RECURRING,,PENDING
QL-00010,QT-MUM-0003,1,PRODUCT,VAR-0011,,,Core i5-1335U / 16GB / 512GB SSD / Win 11 Pro (Primary: Mumbai DC MUM-DC-01),50,86000.00,11.00,473000.00,18.0,688860.00,4515860.00,ONE_TIME,WH-001,ALLOCATED
QL-00011,QT-MUM-0003,2,PRODUCT,VAR-0011,,,Core i5-1335U / 16GB / 512GB SSD / Win 11 Pro (Split Fulfillment: Bangalore Hub BLR-DC-01),30,86000.00,11.00,283800.00,18.0,413316.00,2709516.00,ONE_TIME,WH-003,PARTIAL_SPLIT
QL-00012,QT-MUM-0003,3,SERVICE,,SRV-005,,Enterprise Laptop Zero-Touch Imaging & Domain Join,80,1400.00,10.00,11200.00,18.0,18144.00,118944.00,ONE_TIME,,PENDING
QL-00013,QT-MUM-0004,1,PRODUCT,VAR-0134,,,Dell PowerEdge R760 2U Enterprise Workhorse Flagship / 128GB ECC / 2x 1.92TB SAS SSD / Redundant 1100W PSU (Immediate Stock Allocation),12,504000.00,10.00,604800.00,18.0,979776.00,6422976.00,ONE_TIME,WH-001,ALLOCATED
QL-00014,QT-MUM-0004,2,PRODUCT,VAR-0134,,,Dell PowerEdge R760 2U Enterprise Workhorse Flagship / 128GB ECC / 2x 1.92TB SAS SSD / Redundant 1100W PSU (OEM Factory Backorder - 3 Weeks Lead Time),8,504000.00,10.00,403200.00,18.0,653184.00,4281984.00,ONE_TIME,WH-001,BACKORDERED
QL-00015,QT-MUM-0004,3,SERVICE,,SRV-001,,Enterprise Server & High-Density Rack Installation,20,8500.00,5.00,8500.00,18.0,29070.00,190570.00,ONE_TIME,,PENDING
QL-00016,QT-MUM-0005,1,PRODUCT,VAR-0001,,,Core i5-1335U / 16GB / 512GB SSD / Win 11 Pro,50,82000.00,9.00,369000.00,18.0,671580.00,4402580.00,ONE_TIME,WH-001,ALLOCATED
QL-00017,QT-MUM-0005,2,SERVICE,,SRV-005,,Enterprise Laptop Zero-Touch Imaging & Domain Join,50,1400.00,10.00,7000.00,18.0,11340.00,74340.00,ONE_TIME,,PENDING
QL-00018,QT-MUM-0005,3,SUBSCRIPTION,,,SUB-007,Cloud Endpoint Mobility Management (MDM) Enterprise Seat (Annual),50,2600.00,0.00,0.00,18.0,23400.00,153400.00,RECURRING,,PENDING
QL-00019,QT-MUM-0006,1,PRODUCT,VAR-0028,,,MacBook Pro 14 M3 Pro Developer Laptops,14,199900.00,12.00,335832.00,18.0,443298.24,2906066.24,ONE_TIME,WH-001,ALLOCATED
QL-00020,QT-MUM-0006,2,SERVICE,,SRV-013,,Apple macOS Corporate Fleet Provisioning & Jamf Enrollment,14,1600.00,10.00,2240.00,18.0,3628.80,23788.80,ONE_TIME,,PENDING
QL-00021,QT-MUM-0007,1,PRODUCT,VAR-0298,,,iPhone 16 Pro 256GB / Black Titanium (Mumbai DC MUM-DC-01 Allocation),12,129900.00,6.00,93528.00,18.0,263748.96,1729020.96,ONE_TIME,WH-001,ALLOCATED
QL-00022,QT-MUM-0007,2,PRODUCT,VAR-0298,,,iPhone 16 Pro 256GB / Black Titanium (Navi Mumbai NAVI-MUM-DC-01 Split),8,129900.00,6.00,62352.00,18.0,175832.64,1152680.64,ONE_TIME,WH-002,PARTIAL_SPLIT
QL-00023,QT-MUM-0007,3,SUBSCRIPTION,,,SUB-008,Executive VIP Concierge Mobility Protection (Annual),20,5400.00,0.00,0.00,18.0,19440.00,127440.00,RECURRING,,PENDING
QL-00024,QT-MUM-0008,1,PRODUCT,VAR-0134,,,Dell PowerEdge R760 2U Enterprise Workhorse Flagship / 128GB ECC / 2x 1.92TB SAS SSD / Redundant 1100W PSU (Mumbai Fulfillment),4,504000.00,10.00,201600.00,18.0,326592.00,2140992.00,ONE_TIME,WH-001,ALLOCATED
QL-00025,QT-MUM-0008,2,PRODUCT,VAR-0134,,,Dell PowerEdge R760 2U Enterprise Workhorse Flagship / 128GB ECC / 2x 1.92TB SAS SSD / Redundant 1100W PSU (Bangalore Hub Fulfillment),3,504000.00,10.00,151200.00,18.0,244944.00,1605744.00,ONE_TIME,WH-003,PARTIAL_SPLIT
QL-00026,QT-MUM-0008,3,PRODUCT,VAR-0134,,,Dell PowerEdge R760 2U Enterprise Workhorse Flagship / 128GB ECC / 2x 1.92TB SAS SSD / Redundant 1100W PSU (Delhi Hub Fulfillment),3,504000.00,10.00,151200.00,18.0,244944.00,1605744.00,ONE_TIME,WH-004,PARTIAL_SPLIT
QL-00027,QT-MUM-0008,4,SERVICE,,SRV-001,,Enterprise Server & High-Density Rack Installation,10,8500.00,5.00,4250.00,18.0,14535.00,95285.00,ONE_TIME,,PENDING
QL-00028,QT-MUM-0009,1,PRODUCT,VAR-0026,,,M3 / 24GB Unified / 512GB SSD / Silver,15,142900.00,5.00,107175.00,18.0,366538.50,2402863.50,ONE_TIME,WH-001,ALLOCATED
QL-00029,QT-MUM-0010,1,PRODUCT,VAR-0189,,,Cisco Catalyst 9300 48-Port UPOE StackWise 480 Switch / 19-inch Rackmount / Redundant Power Ready,12,384000.00,26.50,1221120.00,18.0,609638.40,3996518.40,ONE_TIME,WH-001,ALLOCATED
QL-00030,QT-MUM-0010,2,SERVICE,,SRV-003,,L2/L3 Core & Access Network Switch Configuration,2,13500.00,10.00,2700.00,18.0,4374.00,28674.00,ONE_TIME,,PENDING
QL-00031,QT-MUM-0011,1,PRODUCT,VAR-0391,,,Dell Latitude 7340 13.3-inch Executive Lightweight / 32GB DDR5 / 1TB NVMe / Win 11 Pro,5,137860.00,10.00,68930.00,18.0,111666.60,732036.60,ONE_TIME,WH-001,ALLOCATED
