allocation_id,quotation_id,quotation_line_id,variant_id,warehouse_id,allocated_quantity,fulfillment_status,allocated_at
WALLOC-00001,QT-MUM-0001,QL-00001,VAR-0001,WH-001,30,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00002,QT-MUM-0001,QL-00002,VAR-0249,WH-001,30,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00003,QT-MUM-0001,QL-00003,VAR-0352,WH-001,30,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00004,QT-MUM-0002,QL-00005,VAR-0006,WH-001,25,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00005,QT-MUM-0002,QL-00006,VAR-0353,WH-001,25,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00006,QT-MUM-0002,QL-00007,VAR-0249,WH-001,25,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00007,QT-MUM-0002,QL-00008,VAR-0363,WH-001,25,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00008,QT-MUM-0003,QL-00010,VAR-0011,WH-001,50,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00009,QT-MUM-0003,QL-00011,VAR-0011,WH-003,30,PARTIAL_SPLIT,2026-02-28T14:00:00Z
WALLOC-00010,QT-MUM-0004,QL-00013,VAR-0134,WH-001,12,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00011,QT-MUM-0004,QL-00014,VAR-0134,WH-001,8,BACKORDERED,2026-02-28T14:00:00Z
WALLOC-00012,QT-MUM-0005,QL-00016,VAR-0001,WH-001,50,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00013,QT-MUM-0006,QL-00019,VAR-0028,WH-001,14,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00014,QT-MUM-0007,QL-00021,VAR-0298,WH-001,12,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00015,QT-MUM-0007,QL-00022,VAR-0298,WH-002,8,PARTIAL_SPLIT,2026-02-28T14:00:00Z
WALLOC-00016,QT-MUM-0008,QL-00024,VAR-0134,WH-001,4,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00017,QT-MUM-0008,QL-00025,VAR-0134,WH-003,3,PARTIAL_SPLIT,2026-02-28T14:00:00Z
WALLOC-00018,QT-MUM-0008,QL-00026,VAR-0134,WH-004,3,PARTIAL_SPLIT,2026-02-28T14:00:00Z
WALLOC-00019,QT-MUM-0009,QL-00028,VAR-0026,WH-001,15,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00020,QT-MUM-0010,QL-00029,VAR-0189,WH-001,12,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00021,QT-MUM-0011,QL-00031,VAR-0391,WH-001,5,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00022,QT-MUM-0011,QL-00032,VAR-0405,WH-001,5,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00023,QT-MUM-0011,QL-00033,VAR-0032,WH-001,40,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00024,QT-MUM-0011,QL-00034,VAR-0486,WH-001,60,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00025,QT-MUM-0012,QL-00035,VAR-0650,WH-001,2,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00026,QT-MUM-0012,QL-00036,VAR-0148,WH-001,60,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00027,QT-MUM-0012,QL-00037,VAR-0306,WH-001,5,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00028,QT-MUM-0012,QL-00038,VAR-0383,WH-001,2,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00029,QT-MUM-0013,QL-00041,VAR-0561,WH-001,5,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00030,QT-MUM-0013,QL-00042,VAR-0088,WH-001,40,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00031,QT-MUM-0013,QL-00043,VAR-0313,WH-001,5,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00032,QT-MUM-0013,QL-00044,VAR-0216,WH-001,5,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00033,QT-MUM-0013,QL-00045,VAR-0353,WH-001,25,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00034,QT-MUM-0014,QL-00046,VAR-0118,WH-001,60,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00035,QT-MUM-0014,QL-00047,VAR-0186,WH-001,60,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00036,QT-MUM-0014,QL-00048,VAR-0581,WH-001,20,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00037,QT-MUM-0015,QL-00049,VAR-0075,WH-001,5,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00038,QT-MUM-0015,QL-00050,VAR-0298,WH-001,25,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00039,QT-MUM-0015,QL-00051,VAR-0069,WH-001,10,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00040,QT-MUM-0015,QL-00052,VAR-0257,WH-001,5,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00041,QT-MUM-0015,QL-00053,VAR-0101,WH-001,40,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00042,QT-MUM-0016,QL-00055,VAR-0072,WH-001,10,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00043,QT-MUM-0016,QL-00056,VAR-0199,WH-001,40,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00044,QT-MUM-0016,QL-00057,VAR-0326,WH-001,40,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00045,QT-MUM-0016,QL-00058,VAR-0498,WH-001,5,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00046,QT-MUM-0016,QL-00059,VAR-0462,WH-001,25,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00047,QT-MUM-0017,QL-00061,VAR-0173,WH-001,60,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00048,QT-MUM-0017,QL-00062,VAR-0005,WH-001,40,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00049,QT-MUM-0017,QL-00063,VAR-0321,WH-001,40,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00050,QT-MUM-0017,QL-00064,VAR-0253,WH-001,10,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00051,QT-MUM-0018,QL-00065,VAR-0340,WH-001,20,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00052,QT-MUM-0018,QL-00066,VAR-0492,WH-001,60,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00053,QT-MUM-0018,QL-00067,VAR-0474,WH-001,20,ALLOCATED,2026-02-28T14:00:00Z
WALLOC-00054,QT-MUM-0019,QL-00069,VAR-0622,WH-001,5,ALLOCATED,2026-02-28T14:00:00Z
