price_list_id,price_list_name,customer_tier,currency,product_variant_id,unit_price,minimum_quantity,effective_from,effective_to,status
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0001,74500.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0002,90500.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0003,105000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0004,127000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0005,52000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0006,62000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0007,134000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0008,258000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0009,78000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0010,95000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0011,86000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0012,154000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0013,186000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0014,142000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0015,54500.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0016,81000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0017,99000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0018,67000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0019,57500.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0020,118000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0021,159000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0022,199900.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0023,237900.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0024,349900.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0025,99900.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0026,115900.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0027,58000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0028,73000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0029,54000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0030,63000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0031,82000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0032,55000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0033,53000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0034,70000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0035,89000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0036,56500.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0037,53000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0038,77000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0039,64000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0040,129900.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0041,171900.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0042,209900.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0043,142000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0044,194000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0045,275000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0046,595000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0047,198000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0048,132000.00,1,2026-01-01,2026-12-31,ACTIVE
