recommendation_id,source_product_id,recommended_product_id,recommendation_type,confidence_score,co_purchase_rate,margin_delta,priority,promotion_active,minimum_margin_percent,reason,status
REC-0001,PROD-0001,PROD-0346,CROSS_SELL,0.94,0.85,8.5,1,True,20.0,Essential docking station enabling multi-monitor financial desk productivity,ACTIVE
REC-0002,PROD-0001,PROD-0248,ATTACHMENT,0.89,0.76,6.5,2,True,20.0,Recommended high-resolution display for corporate spreadsheet analysis,ACTIVE
REC-0003,PROD-0001,PROD-0353,ATTACHMENT,0.86,0.71,9.5,3,True,20.0,Noise-cancelling wireless headset for executive Zoom/Teams conferences,ACTIVE
REC-0004,PROD-0001,PROD-0359,ATTACHMENT,0.92,0.84,14.0,4,True,20.0,Protective corporate ballistic nylon backpack for executive travel,ACTIVE
REC-0005,PROD-0002,PROD-0347,CROSS_SELL,0.94,0.85,8.5,1,True,20.0,Essential docking station enabling multi-monitor financial desk productivity,ACTIVE
REC-0006,PROD-0002,PROD-0263,ATTACHMENT,0.89,0.76,6.5,2,True,20.0,Recommended high-resolution display for corporate spreadsheet analysis,ACTIVE
REC-0007,PROD-0002,PROD-0354,ATTACHMENT,0.86,0.71,9.5,3,True,20.0,Noise-cancelling wireless headset for executive Zoom/Teams conferences,ACTIVE
REC-0008,PROD-0002,PROD-0360,ATTACHMENT,0.92,0.84,14.0,4,True,20.0,Protective corporate ballistic nylon backpack for executive travel,ACTIVE
REC-0009,PROD-0003,PROD-0346,CROSS_SELL,0.94,0.85,8.5,1,True,20.0,Essential docking station enabling multi-monitor financial desk productivity,ACTIVE
REC-0010,PROD-0003,PROD-0239,ATTACHMENT,0.89,0.76,6.5,2,True,20.0,Recommended high-resolution display for corporate spreadsheet analysis,ACTIVE
REC-0011,PROD-0003,PROD-0354,ATTACHMENT,0.86,0.71,9.5,3,True,20.0,Noise-cancelling wireless headset for executive Zoom/Teams conferences,ACTIVE
REC-0012,PROD-0003,PROD-0358,ATTACHMENT,0.92,0.84,14.0,4,True,20.0,Protective corporate ballistic nylon backpack for executive travel,ACTIVE
REC-0013,PROD-0004,PROD-0343,CROSS_SELL,0.94,0.85,8.5,1,True,20.0,Essential docking station enabling multi-monitor financial desk productivity,ACTIVE
REC-0014,PROD-0004,PROD-0241,ATTACHMENT,0.89,0.76,6.5,2,True,20.0,Recommended high-resolution display for corporate spreadsheet analysis,ACTIVE
REC-0015,PROD-0004,PROD-0354,ATTACHMENT,0.86,0.71,9.5,3,True,20.0,Noise-cancelling wireless headset for executive Zoom/Teams conferences,ACTIVE
REC-0016,PROD-0004,PROD-0358,ATTACHMENT,0.92,0.84,14.0,4,True,20.0,Protective corporate ballistic nylon backpack for executive travel,ACTIVE
REC-0017,PROD-0005,PROD-0345,CROSS_SELL,0.94,0.85,8.5,1,True,20.0,Essential docking station enabling multi-monitor financial desk productivity,ACTIVE
