product_id,product_code,product_name,brand,category_id,subcategory_id,product_type,description,manufacturer_part_number,unit,base_cost,base_price,tax_rate,warranty_months,status,is_serialized,is_recurring,created_at,updated_at
PROD-0001,LAP-DEL-LAT5440,Dell Latitude 5440 14-inch Business Laptop,Dell Technologies,CAT-COMP,CAT-LAP,HARDWARE,"Mainstream enterprise business laptop built with recycled materials, Intel 13th Gen, Wi-Fi 6E",DEL-LAT-5440-BASE,EACH,62000.00,74500.00,18.0,36,ACTIVE,true,false,2026-01-10T08:00:00Z,2026-03-01T10:00:00Z
PROD-0002,LAP-DEL-LAT7440,Dell Latitude 7440 Ultralight 14-inch Executive Laptop,Dell Technologies,CAT-COMP,CAT-LAP,HARDWARE,Executive magnesium chassis ultralight notebook with 16:10 display and enterprise security,DEL-LAT-7440-BASE,EACH,88000.00,105000.00,18.0,36,ACTIVE,true,false,2026-01-10T08:00:00Z,2026-03-01T10:00:00Z
PROD-0003,LAP-DEL-LAT3540,Dell Latitude 3540 15.6-inch Commercial Notebook,Dell Technologies,CAT-COMP,CAT-LAP,HARDWARE,Cost-effective productivity laptop with numeric keypad for accounts and operations,DEL-LAT-3540-BASE,EACH,44000.00,52000.00,18.0,12,ACTIVE,true,false,2026-01-10T08:00:00Z,2026-03-01T10:00:00Z
PROD-0004,LAP-DEL-PR3581,Dell Precision 3581 15.6-inch Mobile Workstation,Dell Technologies,CAT-COMP,CAT-LAP,HARDWARE,Entry-level mobile workstation with NVIDIA RTX professional graphics and H-series processor,DEL-PREC-3581-BASE,EACH,112000.00,134000.00,18.0,36,ACTIVE,true,false,2026-01-10T08:00:00Z,2026-03-01T10:00:00Z
PROD-0005,LAP-DEL-PR5680,Dell Precision 5680 16-inch Premium Mobile Workstation,Dell Technologies,CAT-COMP,CAT-LAP,HARDWARE,Ultra-premium 16-inch creator workstation with 4K OLED touch and NVIDIA RTX 3500 Ada,DEL-PREC-5680-BASE,EACH,215000.00,258000.00,18.0,36,ACTIVE,true,false,2026-01-10T08:00:00Z,2026-03-01T10:00:00Z
PROD-0006,LAP-LEN-TPT14G4,Lenovo ThinkPad T14 Gen 4 14-inch Enterprise Laptop,Lenovo Group Ltd,CAT-COMP,CAT-LAP,HARDWARE,The enterprise standard workhorse laptop with legendary reliability and MIL-SPEC testing,21HD000VIN,EACH,65000.00,78000.00,18.0,36,ACTIVE,true,false,2026-01-10T08:00:00Z,2026-03-01T10:00:00Z
PROD-0007,LAP-LEN-TPT16G2,Lenovo ThinkPad T16 Gen 2 16-inch Enterprise Laptop,Lenovo Group Ltd,CAT-COMP,CAT-LAP,HARDWARE,Large-format enterprise business laptop with dedicated numpad and high-capacity battery,21HH0025IN,EACH,72000.00,86000.00,18.0,36,ACTIVE,true,false,2026-01-10T08:00:00Z,2026-03-01T10:00:00Z
PROD-0008,LAP-LEN-X1CG11,Lenovo ThinkPad X1 Carbon Gen 11 Flagship Ultrabook,Lenovo Group Ltd,CAT-COMP,CAT-LAP,HARDWARE,Carbon-fiber reinforced flagship business laptop weighing just 1.12kg with Dolby Voice,21HM001MIN,EACH,128000.00,154000.00,18.0,36,ACTIVE,true,false,2026-01-10T08:00:00Z,2026-03-01T10:00:00Z
PROD-0009,LAP-LEN-P16VG1,Lenovo ThinkPad P16v Gen 1 16-inch Workstation,Lenovo Group Ltd,CAT-COMP,CAT-LAP,HARDWARE,Cost-effective performance mobile workstation engineered for CAD and data analytics,21FC001AIN,EACH,118000.00,142000.00,18.0,36,ACTIVE,true,false,2026-01-10T08:00:00Z,2026-03-01T10:00:00Z
PROD-0010,LAP-LEN-E14G5,Lenovo ThinkPad E14 Gen 5 14-inch Commercial Laptop,Lenovo Group Ltd,CAT-COMP,CAT-LAP,HARDWARE,Essential business laptop designed for SMBs and cost-conscious commercial fleets,21JK003VIN,EACH,46000.00,54500.00,18.0,12,ACTIVE,true,false,2026-01-10T08:00:00Z,2026-03-01T10:00:00Z
PROD-0011,LAP-HP-EB840G10,HP EliteBook 840 G10 14-inch Enterprise Notebook,HP Inc.,CAT-COMP,CAT-LAP,HARDWARE,Corporate standard security-focused notebook with HP Wolf Security and 5MP IR camera,8A3X5PA,EACH,67000.00,81000.00,18.0,36,ACTIVE,true,false,2026-01-10T08:00:00Z,2026-03-01T10:00:00Z
PROD-0012,LAP-HP-EB650G10,HP EliteBook 650 G10 15.6-inch Commercial Notebook,HP Inc.,CAT-COMP,CAT-LAP,HARDWARE,Full-featured 15.6-inch business laptop with robust ports and numeric keyboard,8A4K2PA,EACH,56000.00,67000.00,18.0,36,ACTIVE,true,false,2026-01-10T08:00:00Z,2026-03-01T10:00:00Z
PROD-0013,LAP-HP-PB440G10,HP ProBook 440 G10 14-inch Business Laptop,HP Inc.,CAT-COMP,CAT-LAP,HARDWARE,Reliable mainstream commercial laptop with aluminum chassis and enterprise durability,8A2Y9PA,EACH,48000.00,57500.00,18.0,12,ACTIVE,true,false,2026-01-10T08:00:00Z,2026-03-01T10:00:00Z
PROD-0014,LAP-HP-ZBF14G10,HP ZBook Firefly 14 G10 Mobile Workstation,HP Inc.,CAT-COMP,CAT-LAP,HARDWARE,"Ultralight mobile workstation for CAD, technical sketching and data science",8B1D4PA,EACH,98000.00,118000.00,18.0,36,ACTIVE,true,false,2026-01-10T08:00:00Z,2026-03-01T10:00:00Z
PROD-0015,LAP-HP-ZBP15G10,HP ZBook Power 15.6 G10 Mobile Workstation,HP Inc.,CAT-COMP,CAT-LAP,HARDWARE,High-power 15.6-inch workstation certified for professional 3D and rendering software,8B2F8PA,EACH,132000.00,159000.00,18.0,36,ACTIVE,true,false,2026-01-10T08:00:00Z,2026-03-01T10:00:00Z
PROD-0016,LAP-APP-MBP14M3P,Apple MacBook Pro 14-inch M3 Pro Enterprise Edition,Apple Inc.,CAT-COMP,CAT-LAP,HARDWARE,Apple Silicon enterprise flagship with Liquid Retina XDR display and exceptional battery life,MRX33HN/A,EACH,168000.00,199900.00,18.0,12,ACTIVE,true,false,2026-01-10T08:00:00Z,2026-03-01T10:00:00Z
PROD-0017,LAP-APP-MBP16M3M,Apple MacBook Pro 16-inch M3 Max Enterprise Edition,Apple Inc.,CAT-COMP,CAT-LAP,HARDWARE,"Ultimate performance Apple workstation for software compilation, video production and AI",MUW63HN/A,EACH,285000.00,349900.00,18.0,12,ACTIVE,true,false,2026-01-10T08:00:00Z,2026-03-01T10:00:00Z
PROD-0018,LAP-APP-MBA13M2,Apple MacBook Air 13-inch M2 Corporate Fleet Edition,Apple Inc.,CAT-COMP,CAT-LAP,HARDWARE,Ultra-thin fanless corporate laptop with all-day battery life and MagSafe 3 charging,MLY33HN/A,EACH,84000.00,99900.00,18.0,12,ACTIVE,true,false,2026-01-10T08:00:00Z,2026-03-01T10:00:00Z
PROD-0019,DSK-DEL-OPT7010SFF,Dell OptiPlex 7010 Small Form Factor Desktop,Dell Technologies,CAT-COMP,CAT-DSK,HARDWARE,Compact commercial desktop designed for corporate environments with Intel vPro,DEL-OPT-7010-SFF,EACH,48000.00,58000.00,18.0,36,ACTIVE,true,false,2026-01-10T08:00:00Z,2026-03-01T10:00:00Z
PROD-0020,DSK-DEL-OPT7010MCR,Dell OptiPlex 7010 Micro Form Factor Desktop,Dell Technologies,CAT-COMP,CAT-DSK,HARDWARE,Ultra-compact 1-liter commercial PC mountable behind monitors or under desks,DEL-OPT-7010-MCR,EACH,45000.00,54000.00,18.0,36,ACTIVE,true,false,2026-01-10T08:00:00Z,2026-03-01T10:00:00Z
PROD-0021,DSK-DEL-OPT7010TWR,Dell OptiPlex 7010 Tower Business Desktop,Dell Technologies,CAT-COMP,CAT-DSK,HARDWARE,Expandable commercial tower desktop with PCI expansion slots and multi-drive bays,DEL-OPT-7010-TWR,EACH,52000.00,63000.00,18.0,36,ACTIVE,true,false,2026-01-10T08:00:00Z,2026-03-01T10:00:00Z
PROD-0022,DSK-DEL-OPT7410AIO,Dell OptiPlex 7410 23.8-inch Commercial All-in-One,Dell Technologies,CAT-COMP,CAT-DSK,HARDWARE,Integrated all-in-one desktop featuring pop-up 5MP webcam and height-adjustable stand,DEL-OPT-7410-AIO,EACH,68000.00,82000.00,18.0,36,ACTIVE,true,false,2026-01-10T08:00:00Z,2026-03-01T10:00:00Z
PROD-0023,DSK-HP-PRO400TWR,HP Pro Tower 400 G9 Commercial Desktop,HP Inc.,CAT-COMP,CAT-DSK,HARDWARE,Expandable tower PC engineered for corporate daily business applications,6A7L8PA,EACH,46000.00,55000.00,18.0,36,ACTIVE,true,false,2026-01-10T08:00:00Z,2026-03-01T10:00:00Z
