product_id,product_code,product_name,brand,category_id,subcategory_id,product_type,description,manufacturer_part_number,unit,base_cost,base_price,tax_rate,warranty_months,status,is_serialized,is_recurring,created_at,updated_at
PROD-0001,LAP-DEL-5440,Dell Latitude 5440 14-inch Business Laptop,Dell Technologies,CAT-COMP,CAT-LAP,PHYSICAL,"Intel Core i5-1335U, 14.0 FHD, Carbon Neutral Chassis",LAT5440-BASE,UNIT,68000.00,82000.00,18.0,36,ACTIVE,True,False,2026-01-15T09:00:00Z,2026-02-28T18:00:00Z
PROD-0002,LAP-DEL-5540,Dell Latitude 5540 15.6-inch Numeric Business Laptop,Dell Technologies,CAT-COMP,CAT-LAP,PHYSICAL,"Intel Core i7-1355U, 15.6 FHD, Dedicated Numeric Keypad",LAT5540-BASE,UNIT,74000.00,89000.00,18.0,36,ACTIVE,True,False,2026-01-15T09:00:00Z,2026-02-28T18:00:00Z
PROD-0003,LAP-DEL-7440,Dell Latitude 7440 Ultralight Magnesium Laptop,Dell Technologies,CAT-COMP,CAT-LAP,PHYSICAL,"Intel Core i7-1365U vPro, 14.0 QHD+ 16:10, 1.05kg Featherweight",LAT7440-BASE,UNIT,98000.00,118000.00,18.0,36,ACTIVE,True,False,2026-01-15T09:00:00Z,2026-02-28T18:00:00Z
PROD-0004,LAP-DEL-7450,Dell Latitude 7450 AI-Ready Core Ultra Laptop,Dell Technologies,CAT-COMP,CAT-LAP,PHYSICAL,"Intel Core Ultra 7 165U with NPU, 14.0 FHD+, On-Device AI",LAT7450-BASE,UNIT,115000.00,138000.00,18.0,36,ACTIVE,True,False,2026-01-15T09:00:00Z,2026-02-28T18:00:00Z
PROD-0005,LAP-DEL-9440,Dell Latitude 9440 2-in-1 Executive CNC Aluminum,Dell Technologies,CAT-COMP,CAT-LAP,PHYSICAL,"Intel Core i7-1370P vPro, Zero-Lattice Keyboard, Haptic Touchpad",LAT9440-BASE,UNIT,155000.00,185000.00,18.0,36,ACTIVE,True,False,2026-01-15T09:00:00Z,2026-02-28T18:00:00Z
PROD-0006,LAP-DEL-XPS14,Dell XPS 14 9440 High-Performance Executive,Dell Technologies,CAT-COMP,CAT-LAP,PHYSICAL,"Intel Core Ultra 7 155H, RTX 4050 6GB, 3.2K OLED InfinityEdge",XPS14-9440,UNIT,175000.00,210000.00,18.0,36,ACTIVE,True,False,2026-01-15T09:00:00Z,2026-02-28T18:00:00Z
PROD-0007,LAP-DEL-XPS16,Dell XPS 16 9640 Power Executive Flagship,Dell Technologies,CAT-COMP,CAT-LAP,PHYSICAL,"Intel Core Ultra 9 185H, RTX 4070 8GB, 4K+ OLED Touch",XPS16-9640,UNIT,225000.00,270000.00,18.0,36,ACTIVE,True,False,2026-01-15T09:00:00Z,2026-02-28T18:00:00Z
PROD-0008,LAP-LEN-T14G4,Lenovo ThinkPad T14 Gen 4 Enterprise Workhorse,Lenovo Enterprise,CAT-COMP,CAT-LAP,PHYSICAL,"Intel Core i5-1335U, 14.0 WUXGA 16:10, Spill-Resistant Keyboard",21HD001EIG,UNIT,72000.00,86000.00,18.0,36,ACTIVE,True,False,2026-01-15T09:00:00Z,2026-02-28T18:00:00Z
PROD-0009,LAP-LEN-T14S,Lenovo ThinkPad T14s Gen 4 Ultralight Enterprise,Lenovo Enterprise,CAT-COMP,CAT-LAP,PHYSICAL,"Intel Core i7-1365U vPro, 1.25kg Carbon Fiber Top, 57Wh Battery",21F6003RIG,UNIT,92000.00,110000.00,18.0,36,ACTIVE,True,False,2026-01-15T09:00:00Z,2026-02-28T18:00:00Z
PROD-0010,LAP-LEN-X1C11,Lenovo ThinkPad X1 Carbon Gen 11 Flagship,Lenovo Enterprise,CAT-COMP,CAT-LAP,PHYSICAL,"Intel Core i7-1365U vPro, 2.8K OLED, Sub-1kg Carbon Weave",21HM004RIG,UNIT,145000.00,175000.00,18.0,36,ACTIVE,True,False,2026-01-15T09:00:00Z,2026-02-28T18:00:00Z
PROD-0011,LAP-LEN-X1C12,Lenovo ThinkPad X1 Carbon Gen 12 Core Ultra,Lenovo Enterprise,CAT-COMP,CAT-LAP,PHYSICAL,"Intel Core Ultra 7 165H with NPU, Communications Bar, 120Hz OLED",21KC0027IG,UNIT,168000.00,202000.00,18.0,36,ACTIVE,True,False,2026-01-15T09:00:00Z,2026-02-28T18:00:00Z
PROD-0012,LAP-LEN-X1Y8,Lenovo ThinkPad X1 Yoga Gen 8 2-in-1 Executive,Lenovo Enterprise,CAT-COMP,CAT-LAP,PHYSICAL,"Intel Core i7-1370P vPro, 360-degree Hinge, Integrated Garaged Pen",21HQ0031IG,UNIT,152000.00,182000.00,18.0,36,ACTIVE,True,False,2026-01-15T09:00:00Z,2026-02-28T18:00:00Z
PROD-0013,LAP-LEN-P14S,Lenovo ThinkPad P14s Gen 4 Mobile Workstation,Lenovo Enterprise,CAT-COMP,CAT-LAP,PHYSICAL,"AMD Ryzen 7 Pro 7840U, 14.0 OLED, ISV Certified Financial CAD",21K5001UIG,UNIT,105000.00,126000.00,18.0,36,ACTIVE,True,False,2026-01-15T09:00:00Z,2026-02-28T18:00:00Z
PROD-0014,LAP-LEN-P1G6,Lenovo ThinkPad P1 Gen 6 Powerhouse Workstation,Lenovo Enterprise,CAT-COMP,CAT-LAP,PHYSICAL,"Intel Core i9-13900H, RTX 4080 12GB, 16.0 165Hz WQXGA Liquid Metal",21FV002FIG,UNIT,240000.00,288000.00,18.0,36,ACTIVE,True,False,2026-01-15T09:00:00Z,2026-02-28T18:00:00Z
PROD-0015,LAP-HP-EB840G10,HP EliteBook 840 G10 Enterprise Laptop,HP Inc.,CAT-COMP,CAT-LAP,PHYSICAL,"Intel Core i5-1335U, 14.0 WUXGA, HP Sure Start Gen7 Hardware Security",8A4X6PA,UNIT,71000.00,85000.00,18.0,36,ACTIVE,True,False,2026-01-15T09:00:00Z,2026-02-28T18:00:00Z
PROD-0016,LAP-HP-EB840G11,HP EliteBook 840 G11 AI Core Ultra Laptop,HP Inc.,CAT-COMP,CAT-LAP,PHYSICAL,"Intel Core Ultra 7 155H, 14.0 2.5K 120Hz, Poly Studio 5MP AI Camera",9E8Y2PA,UNIT,118000.00,142000.00,18.0,36,ACTIVE,True,False,2026-01-15T09:00:00Z,2026-02-28T18:00:00Z
PROD-0017,LAP-HP-EB1040G10,HP EliteBook 1040 G10 Executive Magnesium,HP Inc.,CAT-COMP,CAT-LAP,PHYSICAL,"Intel Core i7-1365U vPro, 14.0 WUXGA Sure View Privacy, 1.18kg",7N0C4PA,UNIT,125000.00,150000.00,18.0,36,ACTIVE,True,False,2026-01-15T09:00:00Z,2026-02-28T18:00:00Z
PROD-0018,LAP-HP-DFLYG4,HP Dragonfly G4 Executive Ultra-Premium,HP Inc.,CAT-COMP,CAT-LAP,PHYSICAL,"Intel Core i7-1365U vPro, 13.5 3:2 OLED 1000-nit, 0.99kg Weight",8B1F8PA,UNIT,160000.00,192000.00,18.0,36,ACTIVE,True,False,2026-01-15T09:00:00Z,2026-02-28T18:00:00Z
PROD-0019,LAP-HP-ZBOOK16G10,HP ZBook Power G10 Mobile Studio Workstation,HP Inc.,CAT-COMP,CAT-LAP,PHYSICAL,"Intel Core i7-13800H vPro, RTX 2000 Ada 8GB, ISV Financial Modeling",8D8W9PA,UNIT,165000.00,198000.00,18.0,36,ACTIVE,True,False,2026-01-15T09:00:00Z,2026-02-28T18:00:00Z
PROD-0020,LAP-APL-MBA13-M3,Apple MacBook Air 13-inch M3 Chip,Apple Inc.,CAT-COMP,CAT-LAP,PHYSICAL,"Apple M3 8-Core CPU, 10-Core GPU, 13.6 Liquid Retina, Fanless Silence",MRXV3HN/A,UNIT,105000.00,124900.00,18.0,36,ACTIVE,True,False,2026-01-15T09:00:00Z,2026-02-28T18:00:00Z
PROD-0021,LAP-APL-MBA15-M3,Apple MacBook Air 15-inch M3 Large Display,Apple Inc.,CAT-COMP,CAT-LAP,PHYSICAL,"Apple M3 8-Core CPU, 10-Core GPU, 15.3 Liquid Retina, Six-Speaker Sound",MXD13HN/A,UNIT,125000.00,144900.00,18.0,36,ACTIVE,True,False,2026-01-15T09:00:00Z,2026-02-28T18:00:00Z
PROD-0022,LAP-APL-MBP14-M3P,Apple MacBook Pro 14-inch M3 Pro Developer Flagship,Apple Inc.,CAT-COMP,CAT-LAP,PHYSICAL,"Apple M3 Pro 11-Core CPU, 14-Core GPU, Liquid Retina XDR 120Hz",MRX33HN/A,UNIT,168000.00,199900.00,18.0,36,ACTIVE,True,False,2026-01-15T09:00:00Z,2026-02-28T18:00:00Z
PROD-0023,LAP-APL-MBP16-M3M,Apple MacBook Pro 16-inch M3 Max Quantitative Model,Apple Inc.,CAT-COMP,CAT-LAP,PHYSICAL,"Apple M3 Max 14-Core CPU, 30-Core GPU, Liquid Retina XDR, Up to 128GB",MUW63HN/A,UNIT,295000.00,349900.00,18.0,36,ACTIVE,True,False,2026-01-15T09:00:00Z,2026-02-28T18:00:00Z
PROD-0024,LAP-ASUS-B9403,ASUS ExpertBook B9 OLED Executive Ultralight,ASUS Commercial,CAT-COMP,CAT-LAP,PHYSICAL,"Intel Core i7-1355U vPro, 14.0 2.8K OLED, 990g Ultralight Magnesium",B9403CVA-KM0145X,UNIT,132000.00,158000.00,18.0,36,ACTIVE,True,False,2026-01-15T09:00:00Z,2026-02-28T18:00:00Z
PROD-0025,LAP-ACER-TMP6,Acer TravelMate P6 14 Business Executive,Acer Enterprise,CAT-COMP,CAT-LAP,PHYSICAL,"Intel Core i7-1355U, 14.0 OLED 16:10, 1kg Durable Chassis, MIL-STD 810H",TMP614-53-74TL,UNIT,95000.00,114000.00,18.0,36,ACTIVE,True,False,2026-01-15T09:00:00Z,2026-02-28T18:00:00Z
PROD-0026,LAP-DEL-5340,Dell Latitude 5340 13.3-inch Ultra-Portable,Dell Technologies,CAT-COMP,CAT-LAP,PHYSICAL,"Dell Latitude 5340 13.3-inch Ultra-Portable, Enterprise fleet security and docking support",LAP-DEL-5340-BASE,UNIT,65000.00,78000.00,18.0,36,ACTIVE,True,False,2026-01-15T09:00:00Z,2026-02-28T18:00:00Z
PROD-0027,LAP-DEL-5450,Dell Latitude 5450 Core Ultra 5 Mainstream,Dell Technologies,CAT-COMP,CAT-LAP,PHYSICAL,"Dell Latitude 5450 Core Ultra 5 Mainstream, Enterprise fleet security and docking support",LAP-DEL-5450-BASE,UNIT,76000.00,91000.00,18.0,36,ACTIVE,True,False,2026-01-15T09:00:00Z,2026-02-28T18:00:00Z
PROD-0028,LAP-DEL-7340,Dell Latitude 7340 13.3-inch Executive Lightweight,Dell Technologies,CAT-COMP,CAT-LAP,PHYSICAL,"Dell Latitude 7340 13.3-inch Executive Lightweight, Enterprise fleet security and docking support",LAP-DEL-7340-BASE,UNIT,94000.00,113000.00,18.0,36,ACTIVE,True,False,2026-01-15T09:00:00Z,2026-02-28T18:00:00Z
PROD-0029,LAP-DEL-7650,Dell Latitude 7650 16-inch Executive Spreadsheets,Dell Technologies,CAT-COMP,CAT-LAP,PHYSICAL,"Dell Latitude 7650 16-inch Executive Spreadsheets, Enterprise fleet security and docking support",LAP-DEL-7650-BASE,UNIT,108000.00,130000.00,18.0,36,ACTIVE,True,False,2026-01-15T09:00:00Z,2026-02-28T18:00:00Z
PROD-0030,LAP-LEN-E14G5,Lenovo ThinkPad E14 Gen 5 SMB Corporate,Lenovo Enterprise,CAT-COMP,CAT-LAP,PHYSICAL,"Lenovo ThinkPad E14 Gen 5 SMB Corporate, Enterprise fleet security and docking support",LAP-LEN-E14G5-BASE,UNIT,52000.00,62000.00,18.0,36,ACTIVE,True,False,2026-01-15T09:00:00Z,2026-02-28T18:00:00Z
