negotiation_id,quotation_id,customer_id,quotation_line_id,original_discount_percent,requested_discount_percent,customer_message,status,submitted_at,resolved_at
NEG-0001,QT-MUM-0001,CUST-001,QL-00001,22.0,26.0,Client procurement requested revision to 26.0% discount citing parallel quotation from competitive Mumbai distributor.,RESOLVED,2026-02-18T14:30:00Z,2026-02-22T11:00:00Z
NEG-0002,QT-MUM-0001,CUST-001,QL-00002,14.0,22.5,Client procurement requested revision to 22.5% discount citing parallel quotation from competitive Mumbai distributor.,PENDING_APPROVAL,2026-02-18T14:30:00Z,
NEG-0003,QT-MUM-0006,CUST-006,QL-00019,12.0,23.0,Client procurement requested revision to 23.0% discount citing parallel quotation from competitive Mumbai distributor.,PENDING_APPROVAL,2026-02-18T14:30:00Z,
NEG-0004,QT-MUM-0010,CUST-018,QL-00029,26.5,30.5,Client procurement requested revision to 30.5% discount citing parallel quotation from competitive Mumbai distributor.,RESOLVED,2026-02-18T14:30:00Z,2026-02-22T11:00:00Z
NEG-0005,QT-MUM-0073,CUST-073,QL-00325,7.5,13.5,Client procurement requested revision to 13.5% discount citing parallel quotation from competitive Mumbai distributor.,RESOLVED,2026-02-18T14:30:00Z,2026-02-22T11:00:00Z
NEG-0006,QT-MUM-0073,CUST-073,QL-00326,5.0,9.0,Client procurement requested revision to 9.0% discount citing parallel quotation from competitive Mumbai distributor.,RESOLVED,2026-02-18T14:30:00Z,2026-02-22T11:00:00Z
NEG-0007,QT-MUM-0074,CUST-074,QL-00329,3.0,14.0,Client procurement requested revision to 14.0% discount citing parallel quotation from competitive Mumbai distributor.,PENDING_APPROVAL,2026-02-18T14:30:00Z,
NEG-0008,QT-MUM-0074,CUST-074,QL-00330,0.0,4.0,Client procurement requested revision to 4.0% discount citing parallel quotation from competitive Mumbai distributor.,PENDING_APPROVAL,2026-02-18T14:30:00Z,
NEG-0009,QT-MUM-0075,CUST-075,QL-00334,0.0,6.0,Client procurement requested revision to 6.0% discount citing parallel quotation from competitive Mumbai distributor.,PENDING_APPROVAL,2026-02-18T14:30:00Z,
NEG-0010,QT-MUM-0075,CUST-075,QL-00335,0.0,6.0,Client procurement requested revision to 6.0% discount citing parallel quotation from competitive Mumbai distributor.,PENDING_APPROVAL,2026-02-18T14:30:00Z,
NEG-0011,QT-MUM-0076,CUST-076,QL-00340,7.5,18.5,Client procurement requested revision to 18.5% discount citing parallel quotation from competitive Mumbai distributor.,RESOLVED,2026-02-18T14:30:00Z,2026-02-22T11:00:00Z
NEG-0012,QT-MUM-0076,CUST-076,QL-00341,5.0,9.0,Client procurement requested revision to 9.0% discount citing parallel quotation from competitive Mumbai distributor.,PENDING_APPROVAL,2026-02-18T14:30:00Z,
NEG-0013,QT-MUM-0077,CUST-077,QL-00345,5.0,13.5,Client procurement requested revision to 13.5% discount citing parallel quotation from competitive Mumbai distributor.,RESOLVED,2026-02-18T14:30:00Z,2026-02-22T11:00:00Z
NEG-0014,QT-MUM-0077,CUST-077,QL-00346,7.5,13.5,Client procurement requested revision to 13.5% discount citing parallel quotation from competitive Mumbai distributor.,PENDING_APPROVAL,2026-02-18T14:30:00Z,
NEG-0015,QT-MUM-0078,CUST-078,QL-00349,12.0,16.0,Client procurement requested revision to 16.0% discount citing parallel quotation from competitive Mumbai distributor.,RESOLVED,2026-02-18T14:30:00Z,2026-02-22T11:00:00Z
NEG-0016,QT-MUM-0078,CUST-078,QL-00350,7.5,11.5,Client procurement requested revision to 11.5% discount citing parallel quotation from competitive Mumbai distributor.,RESOLVED,2026-02-18T14:30:00Z,2026-02-22T11:00:00Z
NEG-0017,QT-MUM-0079,CUST-079,QL-00353,12.0,20.5,Client procurement requested revision to 20.5% discount citing parallel quotation from competitive Mumbai distributor.,PENDING_APPROVAL,2026-02-18T14:30:00Z,
NEG-0018,QT-MUM-0079,CUST-079,QL-00354,7.5,18.5,Client procurement requested revision to 18.5% discount citing parallel quotation from competitive Mumbai distributor.,RESOLVED,2026-02-18T14:30:00Z,2026-02-22T11:00:00Z
NEG-0019,QT-MUM-0080,CUST-080,QL-00356,10.0,16.0,Client procurement requested revision to 16.0% discount citing parallel quotation from competitive Mumbai distributor.,RESOLVED,2026-02-18T14:30:00Z,2026-02-22T11:00:00Z
NEG-0020,QT-MUM-0080,CUST-080,QL-00357,0.0,11.0,Client procurement requested revision to 11.0% discount citing parallel quotation from competitive Mumbai distributor.,RESOLVED,2026-02-18T14:30:00Z,2026-02-22T11:00:00Z
NEG-0021,QT-MUM-0081,CUST-081,QL-00361,7.5,18.5,Client procurement requested revision to 18.5% discount citing parallel quotation from competitive Mumbai distributor.,PENDING_APPROVAL,2026-02-18T14:30:00Z,
NEG-0022,QT-MUM-0081,CUST-081,QL-00362,0.0,6.0,Client procurement requested revision to 6.0% discount citing parallel quotation from competitive Mumbai distributor.,RESOLVED,2026-02-18T14:30:00Z,2026-02-22T11:00:00Z
NEG-0023,QT-MUM-0082,CUST-082,QL-00366,10.0,16.0,Client procurement requested revision to 16.0% discount citing parallel quotation from competitive Mumbai distributor.,PENDING_APPROVAL,2026-02-18T14:30:00Z,
NEG-0024,QT-MUM-0082,CUST-082,QL-00367,5.0,13.5,Client procurement requested revision to 13.5% discount citing parallel quotation from competitive Mumbai distributor.,RESOLVED,2026-02-18T14:30:00Z,2026-02-22T11:00:00Z
NEG-0025,QT-MUM-0083,CUST-083,QL-00369,10.0,18.5,Client procurement requested revision to 18.5% discount citing parallel quotation from competitive Mumbai distributor.,RESOLVED,2026-02-18T14:30:00Z,2026-02-22T11:00:00Z
NEG-0026,QT-MUM-0083,CUST-083,QL-00370,12.0,16.0,Client procurement requested revision to 16.0% discount citing parallel quotation from competitive Mumbai distributor.,PENDING_APPROVAL,2026-02-18T14:30:00Z,
NEG-0027,QT-MUM-0084,CUST-084,QL-00372,3.0,14.0,Client procurement requested revision to 14.0% discount citing parallel quotation from competitive Mumbai distributor.,PENDING_APPROVAL,2026-02-18T14:30:00Z,
NEG-0028,QT-MUM-0084,CUST-084,QL-00373,10.0,18.5,Client procurement requested revision to 18.5% discount citing parallel quotation from competitive Mumbai distributor.,PENDING_APPROVAL,2026-02-18T14:30:00Z,
NEG-0029,QT-MUM-0085,CUST-085,QL-00378,0.0,8.5,Client procurement requested revision to 8.5% discount citing parallel quotation from competitive Mumbai distributor.,RESOLVED,2026-02-18T14:30:00Z,2026-02-22T11:00:00Z
