quotation_id,quotation_number,customer_id,quotation_date,valid_until,currency,subtotal,discount_total,tax_total,grand_total,status,approval_status,deal_health,created_by,notes
QT-0001,QT-2026-0001,CUST-001,2026-02-28,2026-03-30,INR,26503000.00,5378360.00,3802435.20,24927075.20,Pending Approval,Pending Sales Manager & Finance Approval,Critical,Kavita Sharma,Demo Scenario 1: Bangalore Mega Tech Refresh for VertexGrid Technologies. 24.0% requested discount on laptops breaches 15.0% threshold. Status: HIGH RISK. Requires Sales Manager and Finance VP signoff.
QT-0002,QT-2026-0002,CUST-002,2026-02-26,2026-03-28,INR,4419900.00,355990.00,731503.80,4795413.80,Approved,Approved,Healthy,Kavita Sharma,Demo Scenario 2: Bangalore Smartphone Procurement. 50x Galaxy S24 with GaN fast chargers and Enterprise Cloud Mobility Management (MDM) recurring subscription attached.
QT-0003,QT-2026-0003,CUST-003,2026-02-22,2026-03-24,INR,5706000.00,678420.00,904964.40,5932544.40,Confirmed,Approved,Watch,Kavita Sharma,"Demo Scenario 3: Server Fulfillment & Backorder. Order for 12x PowerEdge R760. 7 allocated immediately from Bangalore DC, 3 allocated from incoming transit, and 2 routed to factory backorder."
QT-0004,QT-2026-0004,CUST-004,2026-02-25,2026-03-27,INR,12030000.00,1321500.00,1927530.00,12636030.00,Approved,Approved,Healthy,Kavita Sharma,Demo Scenario 4: Multi-Warehouse Split. 150 laptops procured: 100 units fulfilled from Bangalore primary distribution center (BLR-DC-01) and 50 units fulfilled from Mumbai logistics hub (MUM-DC-01).
QT-0005,QT-2026-0005,CUST-005,2026-02-18,2026-03-10,INR,7038500.00,1333535.00,1026893.70,6731858.70,Under Negotiation,Pending Commercial Approval,Watch,Kavita Sharma,Demo Scenario 5: Customer Negotiation in progress. Customer submitted counter-offer requesting 19.0% discount on Apple hardware (ceiling is 12.0%). Requires Commercial VP approval.
QT-0006,QT-2026-0006,CUST-012,2026-01-10,2026-02-09,INR,2612500.00,156750.00,442035.00,2897785.00,Sent,Not Required,At Risk,Kavita Sharma,Demo Scenario 6: Deal Health At Risk. Quotation delivered 48 days ago with zero client engagement since transmission.
QT-0007,QT-2026-0007,CUST-015,2026-02-27,2026-03-29,INR,2637000.00,723675.00,344398.50,2257723.50,Pending Approval,Flagged - Discount Anomaly,Critical,Kavita Sharma,Demo Scenario 7: Discount Anomaly detected. 27.5% requested discount on Cisco Enterprise Networking exceeds historical peer median (6.5%) by 21.0%.
QT-0008,QT-2026-0008,CUST-008,2026-01-25,2026-02-24,INR,10207000.00,743880.00,1703361.60,11166481.60,Approved,Approved,Healthy,Kavita Sharma,Bangalore commercial proposal for Zenith Bio-Informatics Labs Pvt Ltd covering enterprise IT hardware procurement and SLA services.
QT-0009,QT-2026-0009,CUST-009,2026-01-28,2026-02-27,INR,11936500.00,583985.00,2043452.70,13395967.70,Confirmed,Approved,Healthy,Kavita Sharma,Bangalore commercial proposal for OrionStack Software Solutions LLP covering enterprise IT hardware procurement and SLA services.
QT-0010,QT-2026-0010,CUST-010,2026-01-03,2026-02-02,INR,1425000.00,11250.00,254475.00,1668225.00,Approved,Approved,Healthy,Kavita Sharma,Bangalore commercial proposal for Kavveri Logistics Intelligence Corp covering enterprise IT hardware procurement and SLA services.
