brand_id,brand_name,brand_code,country,support_level,status
BRD-001,Dell Technologies,DELL,USA,ENTERPRISE_PLATINUM,ACTIVE
BRD-002,Hewlett Packard Enterprise,HPE,USA,ENTERPRISE_PLATINUM,ACTIVE
BRD-003,HP Inc.,HP,USA,ENTERPRISE_PLATINUM,ACTIVE
BRD-004,Lenovo Group Ltd,LENOVO,Hong Kong,ENTERPRISE_PLATINUM,ACTIVE
BRD-005,Apple Inc.,APPLE,USA,ENTERPRISE_GOLD,ACTIVE
BRD-006,Cisco Systems,CISCO,USA,ENTERPRISE_PLATINUM,ACTIVE
BRD-007,Aruba Networks (HPE),ARUBA,USA,ENTERPRISE_GOLD,ACTIVE
BRD-008,Ubiquiti Networks,UBIQUITI,USA,COMMERCIAL_GOLD,ACTIVE
BRD-009,Fortinet Inc.,FORTINET,USA,ENTERPRISE_PLATINUM,ACTIVE
BRD-010,TP-Link Technologies,TPLINK,China,COMMERCIAL_SILVER,ACTIVE
BRD-011,Synology Inc.,SYNOLOGY,Taiwan,COMMERCIAL_GOLD,ACTIVE
BRD-012,QNAP Systems,QNAP,Taiwan,COMMERCIAL_GOLD,ACTIVE
BRD-013,Samsung Electronics,SAMSUNG,South Korea,ENTERPRISE_PLATINUM,ACTIVE
BRD-014,Western Digital,WD,USA,COMMERCIAL_GOLD,ACTIVE
BRD-015,Kingston Technology,KINGSTON,USA,COMMERCIAL_SILVER,ACTIVE
BRD-016,LG Electronics,LG,South Korea,COMMERCIAL_GOLD,ACTIVE
BRD-017,Schneider Electric (APC),APC,France,ENTERPRISE_PLATINUM,ACTIVE
BRD-018,Eaton Corporation,EATON,USA,ENTERPRISE_GOLD,ACTIVE
BRD-019,Vertiv Holdings,VERTIV,USA,ENTERPRISE_PLATINUM,ACTIVE
BRD-020,Canon Inc.,CANON,Japan,COMMERCIAL_GOLD,ACTIVE
BRD-021,Epson Corporation,EPSON,Japan,COMMERCIAL_GOLD,ACTIVE
BRD-022,Brother Industries,BROTHER,Japan,COMMERCIAL_SILVER,ACTIVE
BRD-023,Google LLC,GOOGLE,USA,COMMERCIAL_GOLD,ACTIVE
BRD-024,OnePlus Technology,ONEPLUS,China,COMMERCIAL_SILVER,ACTIVE
BRD-025,ASUS Commercial,ASUS,Taiwan,COMMERCIAL_SILVER,ACTIVE
BRD-026,Acer Commercial,ACER,Taiwan,COMMERCIAL_SILVER,ACTIVE
BRD-027,Logitech International,LOGITECH,Switzerland,ENTERPRISE_GOLD,ACTIVE
BRD-028,Jabra (GN Audio),JABRA,Denmark,ENTERPRISE_GOLD,ACTIVE
BRD-029,Poly (HP Poly),POLY,USA,ENTERPRISE_GOLD,ACTIVE
BRD-030,Netgear Enterprise,NETGEAR,USA,COMMERCIAL_SILVER,ACTIVE
