recommendation_id,source_product_id,recommended_product_id,recommendation_type,confidence_score,co_purchase_rate,margin_delta,priority,promotion_active,minimum_margin_percent,reason,status
REC-0001,PROD-0001,PROD-0149,CROSS_SELL,0.88,0.74,8.5,1,True,20.0,Frequently purchased together with corporate laptops to enable multi-display desktop workstations,ACTIVE
REC-0002,PROD-0001,PROD-0079,ATTACHMENT,0.82,0.65,6.2,2,True,18.0,Recommended dual-display pairing for corporate productivity enhancement,ACTIVE
REC-0003,PROD-0001,PROD-0160,CROSS_SELL,0.91,0.82,12.0,3,True,25.0,Essential protective transport gear for distributed enterprise workforce,ACTIVE
REC-0004,PROD-0002,PROD-0149,CROSS_SELL,0.88,0.74,8.5,1,True,20.0,Frequently purchased together with corporate laptops to enable multi-display desktop workstations,ACTIVE
REC-0005,PROD-0002,PROD-0080,ATTACHMENT,0.82,0.65,6.2,2,True,18.0,Recommended dual-display pairing for corporate productivity enhancement,ACTIVE
REC-0006,PROD-0002,PROD-0160,CROSS_SELL,0.91,0.82,12.0,3,True,25.0,Essential protective transport gear for distributed enterprise workforce,ACTIVE
REC-0007,PROD-0003,PROD-0148,CROSS_SELL,0.88,0.74,8.5,1,True,20.0,Frequently purchased together with corporate laptops to enable multi-display desktop workstations,ACTIVE
REC-0008,PROD-0003,PROD-0086,ATTACHMENT,0.82,0.65,6.2,2,True,18.0,Recommended dual-display pairing for corporate productivity enhancement,ACTIVE
REC-0009,PROD-0003,PROD-0159,CROSS_SELL,0.91,0.82,12.0,3,True,25.0,Essential protective transport gear for distributed enterprise workforce,ACTIVE
REC-0010,PROD-0004,PROD-0145,CROSS_SELL,0.88,0.74,8.5,1,True,20.0,Frequently purchased together with corporate laptops to enable multi-display desktop workstations,ACTIVE
REC-0011,PROD-0004,PROD-0084,ATTACHMENT,0.82,0.65,6.2,2,True,18.0,Recommended dual-display pairing for corporate productivity enhancement,ACTIVE
REC-0012,PROD-0004,PROD-0160,CROSS_SELL,0.91,0.82,12.0,3,True,25.0,Essential protective transport gear for distributed enterprise workforce,ACTIVE
REC-0013,PROD-0005,PROD-0145,CROSS_SELL,0.88,0.74,8.5,1,True,20.0,Frequently purchased together with corporate laptops to enable multi-display desktop workstations,ACTIVE
REC-0014,PROD-0005,PROD-0089,ATTACHMENT,0.82,0.65,6.2,2,True,18.0,Recommended dual-display pairing for corporate productivity enhancement,ACTIVE
REC-0015,PROD-0005,PROD-0159,CROSS_SELL,0.91,0.82,12.0,3,True,25.0,Essential protective transport gear for distributed enterprise workforce,ACTIVE
REC-0016,PROD-0006,PROD-0149,CROSS_SELL,0.88,0.74,8.5,1,True,20.0,Frequently purchased together with corporate laptops to enable multi-display desktop workstations,ACTIVE
REC-0017,PROD-0006,PROD-0088,ATTACHMENT,0.82,0.65,6.2,2,True,18.0,Recommended dual-display pairing for corporate productivity enhancement,ACTIVE
REC-0018,PROD-0006,PROD-0160,CROSS_SELL,0.91,0.82,12.0,3,True,25.0,Essential protective transport gear for distributed enterprise workforce,ACTIVE
REC-0019,PROD-0007,PROD-0148,CROSS_SELL,0.88,0.74,8.5,1,True,20.0,Frequently purchased together with corporate laptops to enable multi-display desktop workstations,ACTIVE
REC-0020,PROD-0007,PROD-0088,ATTACHMENT,0.82,0.65,6.2,2,True,18.0,Recommended dual-display pairing for corporate productivity enhancement,ACTIVE
REC-0021,PROD-0007,PROD-0159,CROSS_SELL,0.91,0.82,12.0,3,True,25.0,Essential protective transport gear for distributed enterprise workforce,ACTIVE
REC-0022,PROD-0008,PROD-0148,CROSS_SELL,0.88,0.74,8.5,1,True,20.0,Frequently purchased together with corporate laptops to enable multi-display desktop workstations,ACTIVE
REC-0023,PROD-0008,PROD-0091,ATTACHMENT,0.82,0.65,6.2,2,True,18.0,Recommended dual-display pairing for corporate productivity enhancement,ACTIVE
REC-0024,PROD-0008,PROD-0159,CROSS_SELL,0.91,0.82,12.0,3,True,25.0,Essential protective transport gear for distributed enterprise workforce,ACTIVE
REC-0025,PROD-0009,PROD-0147,CROSS_SELL,0.88,0.74,8.5,1,True,20.0,Frequently purchased together with corporate laptops to enable multi-display desktop workstations,ACTIVE
