invoice_id,invoice_number,quotation_id,customer_id,invoice_date,due_date,currency,subtotal,discount_total,tax_total,grand_total,billing_type,status
INV-BILL-0001,INV-MUM-2026-0001,QT-MUM-0002,CUST-002,2026-02-27,2026-03-29,INR,6820000.00,548000.00,1128960.00,7400960.00,HYBRID,ISSUED
INV-BILL-0002,INV-MUM-2026-0002,QT-MUM-0003,CUST-003,2026-02-25,2026-03-27,INR,6992000.00,768000.00,1120320.00,7344320.00,ONE_TIME,ISSUED
INV-BILL-0003,INV-MUM-2026-0003,QT-MUM-0004,CUST-004,2026-02-24,2026-03-26,INR,10250000.00,1016500.00,1662030.00,10895530.00,ONE_TIME,ISSUED
INV-BILL-0004,INV-MUM-2026-0004,QT-MUM-0005,CUST-005,2026-02-22,2026-03-24,INR,4300000.00,376000.00,706320.00,4630320.00,HYBRID,PAID
INV-BILL-0005,INV-MUM-2026-0005,QT-MUM-0007,CUST-007,2026-02-26,2026-03-28,INR,2706000.00,155880.00,459021.60,3009141.60,HYBRID,ISSUED
INV-BILL-0006,INV-MUM-2026-0006,QT-MUM-0008,CUST-008,2026-02-19,2026-03-21,INR,5125000.00,508250.00,831015.00,5447765.00,ONE_TIME,PAID
INV-BILL-0007,INV-MUM-2026-0007,QT-MUM-0011,CUST-011,2026-01-06,2026-02-05,INR,28007800.00,2597945.00,4573773.90,29983628.90,ONE_TIME,PAID
INV-BILL-0008,INV-MUM-2026-0008,QT-MUM-0012,CUST-012,2026-01-09,2026-02-08,INR,25808745.00,2461700.00,4202468.10,27549513.10,HYBRID,PAID
INV-BILL-0009,INV-MUM-2026-0009,QT-MUM-0013,CUST-013,2026-01-12,2026-02-11,INR,2693795.00,208049.85,447434.13,2933179.28,ONE_TIME,PAID
INV-BILL-0010,INV-MUM-2026-0010,QT-MUM-0014,CUST-014,2026-01-15,2026-02-14,INR,28100000.00,1939200.00,4708944.00,30869744.00,ONE_TIME,ISSUED
INV-BILL-0011,INV-MUM-2026-0011,QT-MUM-0015,CUST-015,2026-01-18,2026-02-17,INR,17846700.00,746862.50,3077970.75,20177808.25,ONE_TIME,PAID
INV-BILL-0012,INV-MUM-2026-0012,QT-MUM-0016,CUST-016,2026-01-21,2026-02-20,INR,37130760.00,2189546.00,6289418.52,41230632.52,HYBRID,ISSUED
INV-BILL-0013,INV-MUM-2026-0013,QT-MUM-0017,CUST-017,2026-01-24,2026-02-23,INR,30412000.00,1547700.00,5195574.00,34059874.00,ONE_TIME,PAID
INV-BILL-0014,INV-MUM-2026-0014,QT-MUM-0018,CUST-018,2026-01-27,2026-02-26,INR,106153200.00,5434200.00,18129420.00,118848420.00,ONE_TIME,ISSUED
INV-BILL-0015,INV-MUM-2026-0015,QT-MUM-0019,CUST-019,2026-01-02,2026-02-01,INR,19864100.00,1824957.00,3247045.74,21286188.74,ONE_TIME,PAID
INV-BILL-0016,INV-MUM-2026-0016,QT-MUM-0020,CUST-020,2026-01-05,2026-02-04,INR,26367200.00,2006034.00,4385009.88,28746175.88,HYBRID,PAID
INV-BILL-0017,INV-MUM-2026-0017,QT-MUM-0021,CUST-021,2026-01-08,2026-02-07,INR,10671600.00,478010.00,1834846.20,12028436.20,ONE_TIME,PAID
