negotiation_id,quotation_id,customer_id,quotation_line_id,original_discount_percent,requested_discount_percent,customer_message,status,submitted_at,resolved_at
NEG-0001,QT-0001,CUST-001,QL-00001,24.0,31.5,Client requested commercial discount adjustment to 31.5% due to competitive OEM quote from alternate vendor.,RESOLVED,2026-02-18T14:30:00Z,2026-02-21T11:00:00Z
NEG-0002,QT-0001,CUST-001,QL-00002,18.0,30.0,Client requested commercial discount adjustment to 30.0% due to competitive OEM quote from alternate vendor.,RESOLVED,2026-02-18T14:30:00Z,2026-02-21T11:00:00Z
NEG-0003,QT-0005,CUST-005,QL-00019,19.0,31.0,Client requested commercial discount adjustment to 31.0% due to competitive OEM quote from alternate vendor.,PENDING_APPROVAL,2026-02-18T14:30:00Z,
NEG-0004,QT-0007,CUST-015,QL-00022,27.5,32.5,Client requested commercial discount adjustment to 32.5% due to competitive OEM quote from alternate vendor.,PENDING_APPROVAL,2026-02-18T14:30:00Z,
NEG-0005,QT-0059,CUST-059,QL-00216,3.0,13.0,Client requested commercial discount adjustment to 13.0% due to competitive OEM quote from alternate vendor.,PENDING_APPROVAL,2026-02-18T14:30:00Z,
NEG-0006,QT-0059,CUST-059,QL-00217,10.0,17.5,Client requested commercial discount adjustment to 17.5% due to competitive OEM quote from alternate vendor.,RESOLVED,2026-02-18T14:30:00Z,2026-02-21T11:00:00Z
NEG-0007,QT-0060,CUST-060,QL-00219,10.0,15.0,Client requested commercial discount adjustment to 15.0% due to competitive OEM quote from alternate vendor.,PENDING_APPROVAL,2026-02-18T14:30:00Z,
NEG-0008,QT-0060,CUST-060,QL-00220,12.0,24.0,Client requested commercial discount adjustment to 24.0% due to competitive OEM quote from alternate vendor.,PENDING_APPROVAL,2026-02-18T14:30:00Z,
NEG-0009,QT-0061,CUST-061,QL-00224,3.0,8.0,Client requested commercial discount adjustment to 8.0% due to competitive OEM quote from alternate vendor.,RESOLVED,2026-02-18T14:30:00Z,2026-02-21T11:00:00Z
NEG-0010,QT-0061,CUST-061,QL-00225,12.0,17.0,Client requested commercial discount adjustment to 17.0% due to competitive OEM quote from alternate vendor.,RESOLVED,2026-02-18T14:30:00Z,2026-02-21T11:00:00Z
NEG-0011,QT-0062,CUST-062,QL-00228,7.5,12.5,Client requested commercial discount adjustment to 12.5% due to competitive OEM quote from alternate vendor.,RESOLVED,2026-02-18T14:30:00Z,2026-02-21T11:00:00Z
NEG-0012,QT-0062,CUST-062,QL-00229,10.0,22.0,Client requested commercial discount adjustment to 22.0% due to competitive OEM quote from alternate vendor.,RESOLVED,2026-02-18T14:30:00Z,2026-02-21T11:00:00Z
NEG-0013,QT-0063,CUST-063,QL-00230,0.0,10.0,Client requested commercial discount adjustment to 10.0% due to competitive OEM quote from alternate vendor.,PENDING_APPROVAL,2026-02-18T14:30:00Z,
NEG-0014,QT-0063,CUST-063,QL-00231,3.0,8.0,Client requested commercial discount adjustment to 8.0% due to competitive OEM quote from alternate vendor.,PENDING_APPROVAL,2026-02-18T14:30:00Z,
NEG-0015,QT-0064,CUST-064,QL-00235,7.5,17.5,Client requested commercial discount adjustment to 17.5% due to competitive OEM quote from alternate vendor.,PENDING_APPROVAL,2026-02-18T14:30:00Z,
NEG-0016,QT-0064,CUST-064,QL-00236,5.0,17.0,Client requested commercial discount adjustment to 17.0% due to competitive OEM quote from alternate vendor.,RESOLVED,2026-02-18T14:30:00Z,2026-02-21T11:00:00Z
NEG-0017,QT-0065,CUST-065,QL-00240,0.0,10.0,Client requested commercial discount adjustment to 10.0% due to competitive OEM quote from alternate vendor.,RESOLVED,2026-02-18T14:30:00Z,2026-02-21T11:00:00Z
NEG-0018,QT-0065,CUST-065,QL-00241,10.0,22.0,Client requested commercial discount adjustment to 22.0% due to competitive OEM quote from alternate vendor.,RESOLVED,2026-02-18T14:30:00Z,2026-02-21T11:00:00Z
