service_id,service_code,service_name,service_category,description,cost,selling_price,tax_rate,minimum_margin_percent,recurring,billing_frequency,status
SRV-001,SRV-INS-RACK,Enterprise Server & Rack Installation,HARDWARE_DEPLOYMENT,"Mounting server in 19-inch rack, dual PDU cabling, cable dressing, and power-on verification",4500.0,7500.0,18.0,35.0,False,ONE_TIME,ACTIVE
SRV-002,SRV-DEP-HYPER,Hypervisor & OS Provisioning,INFRASTRUCTURE_CONFIGURATION,"Installation and hardening of VMware ESXi, Proxmox, or Windows Server 2022 with base clustering",8000.0,14500.0,18.0,40.0,False,ONE_TIME,ACTIVE
SRV-003,SRV-NET-VLAN,L2/L3 Network & VLAN Setup,NETWORK_ENGINEERING,"VLAN segmentation, trunking, spanning-tree protocol, inter-VLAN routing and ACL configuration",7000.0,12000.0,18.0,38.0,False,ONE_TIME,ACTIVE
SRV-004,SRV-FW-SEC,Next-Gen Firewall Policy & VPN Setup,CYBERSECURITY,"Deployment of Fortinet/Cisco firewall, IPsec site-to-site VPN, SSL-VPN and UTM threat filtering",11000.0,19500.0,18.0,42.0,False,ONE_TIME,ACTIVE
SRV-005,SRV-LAP-DEP,Enterprise Laptop Zero-Touch Imaging,ENDPOINT_DEPLOYMENT,"Pre-provisioning with corporate Gold Master image, domain join, BitLocker encryption and asset tagging",650.0,1200.0,18.0,45.0,False,ONE_TIME,ACTIVE
SRV-006,SRV-MIG-DATA,Enterprise Storage & Data Migration,STORAGE_SERVICES,Block-level or file-level replication and cutover to new NAS/SAN array with minimal downtime,18000.0,32000.0,18.0,40.0,False,ONE_TIME,ACTIVE
SRV-007,SRV-WIFI-SURV,Wi-Fi Site Survey & Heatmap Tuning,WIRELESS_SERVICES,"Physical RF spectrum analysis, AP placement verification, channel bonding and signal optimization",12000.0,22000.0,18.0,42.0,False,ONE_TIME,ACTIVE
SRV-008,SRV-TRN-ADMIN,Enterprise Admin Systems Training,TRAINING_ENABLEMENT,"Half-day specialized administrator training on hardware monitoring, iDRAC/iLO and troubleshooting",6000.0,11000.0,18.0,45.0,False,ONE_TIME,ACTIVE
SRV-009,SRV-PM-SEMI,Semi-Annual Preventive Maintenance,MAINTENANCE,"Bi-annual on-site inspection, chassis de-dusting, fan testing, thermal paste check and firmware review",5000.0,9000.0,18.0,40.0,True,SEMI_ANNUALLY,ACTIVE
SRV-010,SRV-ONS-ENG,Dedicated L2 Field Support Engineer,MANAGED_STAFFING,"Certified on-site technical engineer for full 8-hour dispatch (hardware swap, troubleshooting)",3500.0,6500.0,18.0,45.0,False,ONE_TIME,ACTIVE
SRV-011,SRV-SAN-LUN,Storage SAN/NAS LUN Provisioning,STORAGE_SERVICES,"RAID array layout, iSCSI/NFS target mapping, MPIO setup and snapshot schedule configuration",9500.0,16800.0,18.0,40.0,False,ONE_TIME,ACTIVE
SRV-012,SRV-AUD-FIRM,Firmware & Security Compliance Audit,AUDIT_SERVICES,"Full hardware audit, BIOS/IPMI vulnerability scanning and automated remediation roadmap",15000.0,26000.0,18.0,42.0,False,ONE_TIME,ACTIVE
