inventory_id,warehouse_id,variant_id,available_quantity,reserved_quantity,allocated_quantity,backorder_quantity,reorder_level,reorder_quantity,safety_stock,incoming_quantity,average_daily_demand,inventory_status,last_restocked_at,next_expected_restock
INV-00001,WH-001,VAR-0001,85,30,30,0,25,60,15,40,5.0,IN_STOCK,2026-02-15T10:00:00Z,2026-03-25T10:00:00Z
INV-00002,WH-001,VAR-0002,101,8,8,0,25,60,15,20,8.2,IN_STOCK,2026-02-15T10:00:00Z,2026-03-25T10:00:00Z
INV-00003,WH-001,VAR-0003,51,12,12,0,25,60,15,20,8.2,IN_STOCK,2026-02-15T10:00:00Z,2026-03-25T10:00:00Z
INV-00004,WH-001,VAR-0004,106,22,22,0,25,60,15,20,7.1,IN_STOCK,2026-02-15T10:00:00Z,2026-03-25T10:00:00Z
INV-00005,WH-001,VAR-0005,24,5,5,0,25,60,15,20,4.5,IN_STOCK,2026-02-15T10:00:00Z,2026-03-25T10:00:00Z
INV-00006,WH-001,VAR-0006,84,24,24,0,25,60,15,20,6.9,IN_STOCK,2026-02-15T10:00:00Z,2026-03-25T10:00:00Z
INV-00007,WH-001,VAR-0007,111,25,25,0,25,60,15,40,4.5,IN_STOCK,2026-02-15T10:00:00Z,2026-03-25T10:00:00Z
INV-00008,WH-001,VAR-0008,95,13,13,0,25,60,15,20,8.3,IN_STOCK,2026-02-15T10:00:00Z,2026-03-25T10:00:00Z
INV-00009,WH-001,VAR-0009,40,18,18,0,25,60,15,40,4.9,IN_STOCK,2026-02-15T10:00:00Z,2026-03-25T10:00:00Z
INV-00010,WH-001,VAR-0010,47,15,15,0,25,60,15,20,3.6,IN_STOCK,2026-02-15T10:00:00Z,2026-03-25T10:00:00Z
INV-00011,WH-001,VAR-0011,50,50,50,0,30,80,20,40,6.0,IN_STOCK,2026-02-15T10:00:00Z,2026-03-25T10:00:00Z
INV-00012,WH-001,VAR-0012,32,16,16,0,25,60,15,40,7.2,IN_STOCK,2026-02-15T10:00:00Z,2026-03-25T10:00:00Z
INV-00013,WH-001,VAR-0013,123,6,6,0,25,60,15,40,6.8,IN_STOCK,2026-02-15T10:00:00Z,2026-03-25T10:00:00Z
INV-00014,WH-001,VAR-0014,138,17,17,0,25,60,15,20,6.9,IN_STOCK,2026-02-15T10:00:00Z,2026-03-25T10:00:00Z
INV-00015,WH-001,VAR-0015,126,25,25,0,25,60,15,40,7.0,IN_STOCK,2026-02-15T10:00:00Z,2026-03-25T10:00:00Z
INV-00016,WH-001,VAR-0016,110,7,7,0,25,60,15,20,7.6,IN_STOCK,2026-02-15T10:00:00Z,2026-03-25T10:00:00Z
INV-00017,WH-001,VAR-0017,118,14,14,0,25,60,15,20,9.0,IN_STOCK,2026-02-15T10:00:00Z,2026-03-25T10:00:00Z
INV-00018,WH-001,VAR-0018,130,8,8,0,25,60,15,40,4.9,IN_STOCK,2026-02-15T10:00:00Z,2026-03-25T10:00:00Z
INV-00019,WH-001,VAR-0019,101,16,16,0,25,60,15,20,5.6,IN_STOCK,2026-02-15T10:00:00Z,2026-03-25T10:00:00Z
INV-00020,WH-001,VAR-0020,46,13,13,0,25,60,15,20,7.3,IN_STOCK,2026-02-15T10:00:00Z,2026-03-25T10:00:00Z
INV-00021,WH-001,VAR-0021,41,22,22,0,25,60,15,20,4.1,IN_STOCK,2026-02-15T10:00:00Z,2026-03-25T10:00:00Z
INV-00022,WH-001,VAR-0022,68,13,13,0,25,60,15,20,7.8,IN_STOCK,2026-02-15T10:00:00Z,2026-03-25T10:00:00Z
INV-00023,WH-001,VAR-0023,127,6,6,0,25,60,15,20,8.8,IN_STOCK,2026-02-15T10:00:00Z,2026-03-25T10:00:00Z
INV-00024,WH-001,VAR-0024,123,15,15,0,25,60,15,40,4.9,IN_STOCK,2026-02-15T10:00:00Z,2026-03-25T10:00:00Z
INV-00025,WH-001,VAR-0025,47,23,23,0,25,60,15,40,4.5,IN_STOCK,2026-02-15T10:00:00Z,2026-03-25T10:00:00Z
INV-00026,WH-001,VAR-0026,83,17,17,0,25,60,15,40,4.0,IN_STOCK,2026-02-15T10:00:00Z,2026-03-25T10:00:00Z
INV-00027,WH-001,VAR-0027,37,12,12,0,25,60,15,40,8.2,IN_STOCK,2026-02-15T10:00:00Z,2026-03-25T10:00:00Z
