invoice_line_id,invoice_id,item_type,product_variant_id,service_id,subscription_plan_id,description,quantity,unit_price,discount_percent,discount_amount,tax_rate,tax_amount,line_total,billing_type
INVL-00001,INV-BILL-0001,PRODUCT,VAR-0006,,,Core Ultra 7 / 16GB / 512GB SSD / Win 11 Pro,25,138000.00,8.00,276000.00,18.0,571320.00,3745320.00,ONE_TIME
INVL-00002,INV-BILL-0001,PRODUCT,VAR-0353,,,Dell WD22TB4 Thunderbolt 4 Modular Dual 4K 180W Dock / Commercial Retail Pack (Recommended Upsell),25,27000.00,10.00,67500.00,18.0,109350.00,716850.00,ONE_TIME
INVL-00003,INV-BILL-0001,PRODUCT,VAR-0249,,,Dell UltraSharp U2724D 27-inch QHD 120Hz IPS Black / Factory Calibrated / Tilt-Swivel-Pivot (Recommended Dual Screen),25,37200.00,10.00,93000.00,18.0,150660.00,987660.00,ONE_TIME
INVL-00004,INV-BILL-0001,PRODUCT,VAR-0363,,,Jabra Evolve2 65 MS Wireless Noise-Cancelling Headset / Commercial Retail Pack (Attached Audio),25,18600.00,10.00,46500.00,18.0,75330.00,493830.00,ONE_TIME
INVL-00005,INV-BILL-0001,SUBSCRIPTION,,,SUB-001,Comprehensive 24x7 4-Hour SLA Enterprise Hardware AMC (Annual),25,52000.00,5.00,65000.00,18.0,222300.00,1457300.00,RECURRING
INVL-00006,INV-BILL-0002,PRODUCT,VAR-0011,,,Core i5-1335U / 16GB / 512GB SSD / Win 11 Pro (Primary: Mumbai DC MUM-DC-01),50,86000.00,11.00,473000.00,18.0,688860.00,4515860.00,ONE_TIME
INVL-00007,INV-BILL-0002,PRODUCT,VAR-0011,,,Core i5-1335U / 16GB / 512GB SSD / Win 11 Pro (Split Fulfillment: Bangalore Hub BLR-DC-01),30,86000.00,11.00,283800.00,18.0,413316.00,2709516.00,ONE_TIME
INVL-00008,INV-BILL-0002,SERVICE,,SRV-005,,Enterprise Laptop Zero-Touch Imaging & Domain Join,80,1400.00,10.00,11200.00,18.0,18144.00,118944.00,ONE_TIME
INVL-00009,INV-BILL-0003,PRODUCT,VAR-0134,,,Dell PowerEdge R760 2U Enterprise Workhorse Flagship / 128GB ECC / 2x 1.92TB SAS SSD / Redundant 1100W PSU (Immediate Stock Allocation),12,504000.00,10.00,604800.00,18.0,979776.00,6422976.00,ONE_TIME
INVL-00010,INV-BILL-0003,PRODUCT,VAR-0134,,,Dell PowerEdge R760 2U Enterprise Workhorse Flagship / 128GB ECC / 2x 1.92TB SAS SSD / Redundant 1100W PSU (OEM Factory Backorder - 3 Weeks Lead Time),8,504000.00,10.00,403200.00,18.0,653184.00,4281984.00,ONE_TIME
