inventory_id,warehouse_id,variant_id,available_quantity,reserved_quantity,allocated_quantity,backorder_quantity,reorder_level,reorder_quantity,safety_stock,incoming_quantity,average_daily_demand,inventory_status,last_restocked_at,next_expected_restock
INV-00001,WH-001,VAR-0001,145,100,100,0,40,120,25,80,12.0,IN_STOCK,2026-02-15T09:30:00Z,2026-03-20T14:00:00Z
INV-00002,WH-001,VAR-0002,106,8,8,0,30,60,15,20,8.2,IN_STOCK,2026-02-15T09:30:00Z,2026-03-20T14:00:00Z
INV-00003,WH-001,VAR-0003,56,12,12,0,30,60,15,20,8.2,IN_STOCK,2026-02-15T09:30:00Z,2026-03-20T14:00:00Z
INV-00004,WH-001,VAR-0004,111,22,22,0,30,60,15,20,7.1,IN_STOCK,2026-02-15T09:30:00Z,2026-03-20T14:00:00Z
INV-00005,WH-001,VAR-0005,29,5,5,0,30,60,15,20,4.5,IN_STOCK,2026-02-15T09:30:00Z,2026-03-20T14:00:00Z
INV-00006,WH-001,VAR-0006,89,24,24,0,30,60,15,20,6.9,IN_STOCK,2026-02-15T09:30:00Z,2026-03-20T14:00:00Z
INV-00007,WH-001,VAR-0007,116,25,25,0,30,60,15,60,6.8,IN_STOCK,2026-02-15T09:30:00Z,2026-03-20T14:00:00Z
INV-00008,WH-001,VAR-0008,53,19,19,0,30,60,15,60,4.9,IN_STOCK,2026-02-15T09:30:00Z,2026-03-20T14:00:00Z
INV-00009,WH-001,VAR-0009,60,60,60,0,30,80,20,50,8.5,IN_STOCK,2026-02-15T09:30:00Z,2026-03-20T14:00:00Z
INV-00010,WH-001,VAR-0010,136,5,5,0,30,60,15,20,7.9,IN_STOCK,2026-02-15T09:30:00Z,2026-03-20T14:00:00Z
INV-00011,WH-001,VAR-0011,68,13,13,0,30,60,15,20,4.5,IN_STOCK,2026-02-15T09:30:00Z,2026-03-20T14:00:00Z
INV-00012,WH-001,VAR-0012,122,15,15,0,30,60,15,20,3.6,IN_STOCK,2026-02-15T09:30:00Z,2026-03-20T14:00:00Z
INV-00013,WH-001,VAR-0013,37,16,16,0,30,60,15,40,7.2,IN_STOCK,2026-02-15T09:30:00Z,2026-03-20T14:00:00Z
INV-00014,WH-001,VAR-0014,128,6,6,0,30,60,15,60,6.2,IN_STOCK,2026-02-15T09:30:00Z,2026-03-20T14:00:00Z
INV-00015,WH-001,VAR-0015,40,17,17,0,30,60,15,20,6.9,IN_STOCK,2026-02-15T09:30:00Z,2026-03-20T14:00:00Z
INV-00016,WH-001,VAR-0016,131,25,25,0,30,60,15,60,9.2,IN_STOCK,2026-02-15T09:30:00Z,2026-03-20T14:00:00Z
INV-00017,WH-001,VAR-0017,0,23,23,0,30,60,15,20,7.9,OUT_OF_STOCK,2026-02-15T09:30:00Z,2026-03-20T14:00:00Z
INV-00018,WH-001,VAR-0018,30,12,12,0,30,60,15,40,9.9,IN_STOCK,2026-02-15T09:30:00Z,2026-03-20T14:00:00Z
INV-00019,WH-001,VAR-0019,134,12,12,0,30,60,15,20,5.7,IN_STOCK,2026-02-15T09:30:00Z,2026-03-20T14:00:00Z
INV-00020,WH-001,VAR-0020,83,25,25,0,30,60,15,40,4.1,IN_STOCK,2026-02-15T09:30:00Z,2026-03-20T14:00:00Z
INV-00021,WH-001,VAR-0021,70,11,11,0,30,60,15,60,4.9,IN_STOCK,2026-02-15T09:30:00Z,2026-03-20T14:00:00Z
INV-00022,WH-001,VAR-0022,112,25,25,0,30,60,15,20,7.3,IN_STOCK,2026-02-15T09:30:00Z,2026-03-20T14:00:00Z
INV-00023,WH-001,VAR-0023,46,22,22,0,30,60,15,60,4.7,REPLENISHMENT_REQUIRED,2026-02-15T09:30:00Z,2026-03-20T14:00:00Z
