price_list_id,price_list_name,customer_tier,currency,product_variant_id,unit_price,minimum_quantity,effective_from,effective_to,status
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0001,74500.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0002,90500.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0003,105000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0004,129000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0005,52000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0006,63000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0007,186000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0008,218000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0009,79000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0010,97000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0011,154000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0012,190000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0013,222000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0014,290000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0015,86500.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0016,104500.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0017,57500.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0018,68000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0019,146000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0020,184000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0021,199900.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0022,237900.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0023,349900.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0024,391900.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0025,114900.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0026,131900.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0027,142000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0028,168000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0029,77000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0030,94000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0031,51000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0032,67000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0033,55500.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0034,70500.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0035,82000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0036,102000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0037,52500.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0038,68500.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0039,54000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0040,69500.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0041,209900.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0042,247900.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0043,138000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0044,213000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0045,288000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0046,418000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0047,624000.00,1,2026-01-01,2026-12-31,ACTIVE
PL-STD,Standard Commercial Price List,Standard,INR,VAR-0048,1004000.00,1,2026-01-01,2026-12-31,ACTIVE
