discount_rule_id,customer_tier,category_id,maximum_discount_percent,minimum_margin_percent,approval_level,risk_level,active
DR-001,Standard,CAT-LAP,8.0,16.0,L0_AUTO,LOW,True
DR-002,Standard,CAT-DSK,8.0,16.0,L0_AUTO,LOW,True
DR-003,Standard,CAT-WKS,7.0,17.0,L0_AUTO,LOW,True
DR-004,Standard,CAT-SRV,6.0,18.0,L0_AUTO,LOW,True
DR-005,Standard,CAT-STO,6.0,18.0,L0_AUTO,LOW,True
DR-006,Standard,CAT-NET,7.0,17.0,L0_AUTO,LOW,True
DR-007,Standard,CAT-SEC,6.0,18.0,L0_AUTO,LOW,True
DR-008,SMB,CAT-LAP,12.0,13.0,L1_SALES_MANAGER,LOW,True
DR-009,SMB,CAT-DSK,12.0,13.0,L1_SALES_MANAGER,LOW,True
DR-010,SMB,CAT-WKS,10.0,14.0,L1_SALES_MANAGER,MEDIUM,True
DR-011,SMB,CAT-SRV,9.0,15.0,L1_SALES_MANAGER,MEDIUM,True
DR-012,SMB,CAT-STO,9.0,15.0,L1_SALES_MANAGER,MEDIUM,True
DR-013,SMB,CAT-NET,10.0,14.0,L1_SALES_MANAGER,LOW,True
DR-014,SMB,CAT-SEC,9.0,15.0,L1_SALES_MANAGER,MEDIUM,True
DR-015,Enterprise,CAT-LAP,16.0,10.0,L2_FINANCE_DIRECTOR,MEDIUM,True
DR-016,Enterprise,CAT-DSK,16.0,10.0,L2_FINANCE_DIRECTOR,MEDIUM,True
DR-017,Enterprise,CAT-WKS,14.0,11.0,L2_FINANCE_DIRECTOR,HIGH,True
DR-018,Enterprise,CAT-SRV,13.0,12.0,L2_FINANCE_DIRECTOR,HIGH,True
DR-019,Enterprise,CAT-STO,13.0,12.0,L2_FINANCE_DIRECTOR,HIGH,True
DR-020,Enterprise,CAT-NET,14.0,11.0,L2_FINANCE_DIRECTOR,MEDIUM,True
DR-021,Enterprise,CAT-SEC,13.0,12.0,L2_FINANCE_DIRECTOR,HIGH,True
DR-022,Strategic,CAT-LAP,22.0,8.0,L3_COMMERCIAL_VP,CRITICAL,True
DR-023,Strategic,CAT-DSK,22.0,8.0,L3_COMMERCIAL_VP,CRITICAL,True
DR-024,Strategic,CAT-WKS,19.0,9.0,L3_COMMERCIAL_VP,CRITICAL,True
DR-025,Strategic,CAT-SRV,17.0,10.0,L3_COMMERCIAL_VP,CRITICAL,True
DR-026,Strategic,CAT-STO,17.0,10.0,L3_COMMERCIAL_VP,CRITICAL,True
DR-027,Strategic,CAT-NET,19.0,9.0,L3_COMMERCIAL_VP,CRITICAL,True
DR-028,Strategic,CAT-SEC,17.0,10.0,L3_COMMERCIAL_VP,CRITICAL,True
