customer_id,customer_code,company_name,industry,customer_tier,city,state,country,billing_address,shipping_address,credit_limit,payment_terms_days,account_manager,status
CUST-001,AIS-IND-01,Arvind Industrial Systems Pvt Ltd,Manufacturing,Enterprise,Ahmedabad,Gujarat,India,"Plot 42, Naroda GIDC Phase II, Ahmedabad 382330","Plot 42, Naroda GIDC Phase II, Ahmedabad 382330",50000000.0,60,Kavita Sharma,ACTIVE
CUST-002,GPE-ENG-02,Gujarat Precision Engineering Pvt Ltd,Manufacturing,Enterprise,Vadodara,Gujarat,India,"Survey 118, Makarpura Industrial Estate, Vadodara 390010","Survey 118, Makarpura Industrial Estate, Vadodara 390010",35000000.0,45,Manish Mehta,ACTIVE
CUST-003,SLS-LOG-03,Sabarmati Logistics & Supply Chain Ltd,Logistics,Enterprise,Ahmedabad,Gujarat,India,"Logistics Park, Aslali Bypass, Ahmedabad 382427","Logistics Park, Aslali Bypass, Ahmedabad 382427",40000000.0,45,Kavita Sharma,ACTIVE
CUST-004,WGT-INF-04,Western Grid Technologies Pvt Ltd,IT Services,Strategic,Gandhinagar,Gujarat,India,"Block 9, Infocity Superstructure, Gandhinagar 382007","Block 9, Infocity Superstructure, Gandhinagar 382007",80000000.0,60,Rahul Verma,ACTIVE
CUST-005,THS-PHR-05,Torrential Health Sciences Pvt Ltd,Pharma,Strategic,Ahmedabad,Gujarat,India,"Pharma SEZ, Changodar Highway, Ahmedabad 382213","Pharma SEZ, Changodar Highway, Ahmedabad 382213",100000000.0,90,Rahul Verma,ACTIVE
CUST-006,ZBA-BIO-06,Zydus Bio-Analytics Systems,Pharma,Enterprise,Ahmedabad,Gujarat,India,"Sarkhej-Bavla Road, Moraiya, Ahmedabad 382210","Sarkhej-Bavla Road, Moraiya, Ahmedabad 382210",60000000.0,60,Kavita Sharma,ACTIVE
CUST-007,NIP-PET-07,Narmada Infrastructure & Petrochem Ltd,Manufacturing,Enterprise,Bharuch,Gujarat,India,"Dahej SEZ Part 1, Vagra Taluka, Bharuch 392130","Dahej SEZ Part 1, Vagra Taluka, Bharuch 392130",45000000.0,45,Manish Mehta,ACTIVE
CUST-008,MGD-SRV-08,Maru Gujarat Digital Services Pvt Ltd,IT Services,SMB,Surat,Gujarat,India,"Ring Road Diamond Point, Surat 395002","Ring Road Diamond Point, Surat 395002",15000000.0,30,Pooja Desai,ACTIVE
CUST-009,AGB-BPO-09,Apex Global BPO Solutions Pvt Ltd,IT Services,Enterprise,Mumbai,Maharashtra,India,"Mindspace IT Park, Malad West, Mumbai 400064","Mindspace IT Park, Malad West, Mumbai 400064",75000000.0,60,Sunil Joshi,ACTIVE
CUST-010,BFA-FIN-10,Bharat Financial Analytics Ltd,BFSI,Strategic,Mumbai,Maharashtra,India,"Bandra Kurla Complex, G-Block, Mumbai 400051","Bandra Kurla Complex, G-Block, Mumbai 400051",120000000.0,60,Sunil Joshi,ACTIVE
