category_id,category_name,parent_category_id,description,status
CAT-COMP,Computing,,Enterprise commercial computing hardware and personal systems,ACTIVE
CAT-INFRA,Infrastructure,,"Data center, server, enterprise networking and power systems",ACTIVE
CAT-MOB,Mobility,,"Enterprise cellular devices, tablets and workforce mobile endpoints",ACTIVE
CAT-PERIPH,Peripherals & Collaboration,,"Displays, unified communication and workplace accessories",ACTIVE
CAT-LAP,Business Laptops,CAT-COMP,"Enterprise-grade commercial ultrabooks, laptops and mobile workstations",ACTIVE
CAT-DSK,Business Desktops,CAT-COMP,"Enterprise towers, small-form-factor and micro commercial desktops",ACTIVE
CAT-WKS,Workstations,CAT-COMP,"High-performance workstations for CAD, 3D, engineering, data science and AI",ACTIVE
CAT-SRV,Servers,CAT-INFRA,"Rack, tower, virtualization, high-density compute and storage servers",ACTIVE
CAT-NET,Networking,CAT-INFRA,"Enterprise core/access switches, firewalls, routers and wireless controllers",ACTIVE
CAT-STO,Storage,CAT-INFRA,"Network attached storage (NAS), SAN arrays, enterprise SSDs and HDDs",ACTIVE
CAT-UPS,UPS & Power,CAT-INFRA,Line-interactive and online double-conversion enterprise UPS systems and PDUs,ACTIVE
CAT-SMP,Smartphones,CAT-MOB,Enterprise smartphones with Knox/MDM and 5G connectivity,ACTIVE
CAT-TAB,Tablets,CAT-MOB,"Enterprise, rugged field and executive commercial tablets",ACTIVE
CAT-MON,Monitors,CAT-PERIPH,"Commercial FHD, QHD, 4K and USB-C productivity displays",ACTIVE
CAT-PRN,Printers,CAT-PERIPH,Enterprise monochrome and color network laser multifunction printers,ACTIVE
CAT-ACC,Accessories,CAT-PERIPH,"Docking stations, input devices, security locks, adapters and bags",ACTIVE
CAT-COL,Collaboration Equipment,CAT-PERIPH,"Video conferencing bars, conference room cameras and speakerphones",ACTIVE
CAT-SEC,Enterprise Cabling & Optics,CAT-PERIPH,"SFP+ 10G/25G optics, DAC cables, server rail kits and patch panels",ACTIVE
