discount_rule_id,customer_tier,category_id,maximum_discount_percent,minimum_margin_percent,approval_level,risk_level,active
DR-001,Strategic,CAT-COMP,22.0,8.0,L3_VP_COMMERCIAL,MEDIUM,True
DR-002,Strategic,CAT-INFRA,18.0,10.0,L3_VP_COMMERCIAL,MEDIUM,True
DR-003,Strategic,CAT-MOB,12.0,6.0,L2_SALES_DIRECTOR,LOW,True
DR-004,Strategic,CAT-PERIPH,20.0,12.0,L2_SALES_DIRECTOR,LOW,True
DR-005,Strategic,CAT-LAP,22.0,8.0,L3_VP_COMMERCIAL,MEDIUM,True
DR-006,Strategic,CAT-SRV,18.0,10.0,L3_VP_COMMERCIAL,HIGH,True
DR-007,Strategic,CAT-NET,18.0,11.0,L2_SALES_DIRECTOR,LOW,True
DR-008,Strategic,CAT-ACC,25.0,15.0,L1_SALES_LEAD,LOW,True
DR-009,Enterprise,CAT-COMP,15.0,11.0,L2_SALES_DIRECTOR,MEDIUM,True
DR-010,Enterprise,CAT-INFRA,14.0,12.0,L2_SALES_DIRECTOR,MEDIUM,True
DR-011,Enterprise,CAT-MOB,8.0,7.0,L2_SALES_DIRECTOR,MEDIUM,True
DR-012,Enterprise,CAT-PERIPH,12.0,15.0,L1_SALES_LEAD,LOW,True
DR-013,Enterprise,CAT-LAP,15.0,11.0,L2_SALES_DIRECTOR,MEDIUM,True
DR-014,Enterprise,CAT-SRV,14.0,12.0,L2_SALES_DIRECTOR,HIGH,True
DR-015,Enterprise,CAT-NET,12.0,13.0,L2_SALES_DIRECTOR,LOW,True
DR-016,Enterprise,CAT-ACC,15.0,18.0,L1_SALES_LEAD,LOW,True
DR-017,SMB,CAT-COMP,8.0,14.0,L1_SALES_LEAD,LOW,True
DR-018,SMB,CAT-INFRA,7.0,15.0,L2_SALES_DIRECTOR,MEDIUM,True
DR-019,SMB,CAT-MOB,5.0,8.0,L1_SALES_LEAD,LOW,True
DR-020,SMB,CAT-PERIPH,8.0,18.0,L1_SALES_LEAD,LOW,True
DR-021,SMB,CAT-LAP,8.0,14.0,L1_SALES_LEAD,LOW,True
DR-022,SMB,CAT-SRV,7.0,15.0,L2_SALES_DIRECTOR,HIGH,True
DR-023,SMB,CAT-NET,8.0,16.0,L1_SALES_LEAD,LOW,True
DR-024,SMB,CAT-ACC,10.0,20.0,L1_SALES_LEAD,LOW,True
DR-025,Standard,CAT-COMP,3.0,16.0,L1_SALES_LEAD,LOW,True
DR-026,Standard,CAT-INFRA,3.0,17.0,L1_SALES_LEAD,LOW,True
DR-027,Standard,CAT-MOB,2.0,10.0,L1_SALES_LEAD,LOW,True
DR-028,Standard,CAT-PERIPH,4.0,20.0,L1_SALES_LEAD,LOW,True
