rule_id,product_id,service_id,recommended,required,priority
PSR-0001,PROD-0001,SRV-005,True,False,1
PSR-0002,PROD-0002,SRV-005,True,False,1
PSR-0003,PROD-0003,SRV-005,True,False,1
PSR-0004,PROD-0004,SRV-005,True,False,1
PSR-0005,PROD-0005,SRV-005,True,False,1
PSR-0006,PROD-0006,SRV-005,True,False,1
PSR-0007,PROD-0007,SRV-005,True,False,1
PSR-0008,PROD-0008,SRV-005,True,False,1
PSR-0009,PROD-0009,SRV-005,True,False,1
PSR-0010,PROD-0010,SRV-005,True,False,1
PSR-0011,PROD-0011,SRV-005,True,False,1
PSR-0012,PROD-0012,SRV-005,True,False,1
PSR-0013,PROD-0013,SRV-005,True,False,1
PSR-0014,PROD-0014,SRV-005,True,False,1
PSR-0015,PROD-0015,SRV-005,True,False,1
PSR-0016,PROD-0016,SRV-005,True,False,1
PSR-0017,PROD-0017,SRV-005,True,False,1
PSR-0018,PROD-0018,SRV-005,True,False,1
PSR-0019,PROD-0019,SRV-005,True,False,1
PSR-0020,PROD-0020,SRV-005,True,False,1
PSR-0021,PROD-0021,SRV-005,True,False,1
PSR-0022,PROD-0022,SRV-005,True,False,1
PSR-0023,PROD-0023,SRV-005,True,False,1
PSR-0024,PROD-0024,SRV-005,True,False,1
PSR-0025,PROD-0025,SRV-005,True,False,1
PSR-0026,PROD-0026,SRV-005,True,False,1
PSR-0027,PROD-0027,SRV-005,True,False,1
PSR-0028,PROD-0028,SRV-005,True,False,1
PSR-0029,PROD-0029,SRV-005,True,False,1
PSR-0030,PROD-0030,SRV-005,True,False,1
PSR-0031,PROD-0031,SRV-005,True,False,1
PSR-0032,PROD-0032,SRV-005,True,False,1
PSR-0033,PROD-0033,SRV-005,True,False,1
PSR-0034,PROD-0034,SRV-005,True,False,1
PSR-0035,PROD-0035,SRV-005,True,False,1
PSR-0036,PROD-0036,SRV-005,True,False,1
PSR-0037,PROD-0037,SRV-005,True,False,1
PSR-0038,PROD-0038,SRV-005,True,False,1
PSR-0039,PROD-0039,SRV-005,True,False,1
PSR-0040,PROD-0040,SRV-005,True,False,1
PSR-0041,PROD-0041,SRV-005,True,False,1
PSR-0042,PROD-0042,SRV-005,True,False,1
PSR-0043,PROD-0043,SRV-005,True,False,1
PSR-0044,PROD-0044,SRV-005,True,False,1
PSR-0045,PROD-0045,SRV-005,True,False,1
PSR-0046,PROD-0046,SRV-005,True,False,1
PSR-0047,PROD-0047,SRV-005,True,False,1
PSR-0048,PROD-0048,SRV-005,True,False,1
PSR-0049,PROD-0049,SRV-005,True,False,1
PSR-0050,PROD-0050,SRV-005,True,False,1
PSR-0051,PROD-0051,SRV-005,True,False,1
PSR-0052,PROD-0052,SRV-005,True,False,1
PSR-0053,PROD-0053,SRV-005,True,False,1
PSR-0054,PROD-0054,SRV-005,True,False,1
PSR-0055,PROD-0055,SRV-005,True,False,1
PSR-0056,PROD-0056,SRV-005,True,False,1
PSR-0057,PROD-0057,SRV-005,True,False,1
PSR-0058,PROD-0058,SRV-005,True,False,1
PSR-0059,PROD-0059,SRV-005,True,False,1
PSR-0060,PROD-0060,SRV-005,True,False,1
PSR-0061,PROD-0061,SRV-005,True,False,1
PSR-0062,PROD-0062,SRV-005,True,False,1
PSR-0063,PROD-0063,SRV-005,True,False,1
PSR-0064,PROD-0064,SRV-005,True,False,1
PSR-0065,PROD-0065,SRV-005,True,False,1
PSR-0066,PROD-0066,SRV-005,True,False,1
PSR-0067,PROD-0067,SRV-005,True,False,1
PSR-0068,PROD-0068,SRV-005,True,False,1
PSR-0069,PROD-0069,SRV-005,True,False,1
PSR-0070,PROD-0070,SRV-005,True,False,1
PSR-0071,PROD-0071,SRV-005,True,False,1
PSR-0072,PROD-0072,SRV-005,True,False,1
PSR-0073,PROD-0073,SRV-005,True,False,1
PSR-0074,PROD-0074,SRV-005,True,False,1
PSR-0075,PROD-0075,SRV-005,True,False,1
PSR-0076,PROD-0076,SRV-005,True,False,1
PSR-0077,PROD-0077,SRV-005,True,False,1
PSR-0078,PROD-0078,SRV-005,True,False,1
PSR-0079,PROD-0079,SRV-005,True,False,1
PSR-0080,PROD-0080,SRV-005,True,False,1
PSR-0081,PROD-0081,SRV-005,True,False,1
PSR-0082,PROD-0082,SRV-005,True,False,1
PSR-0083,PROD-0083,SRV-005,True,False,1
PSR-0084,PROD-0084,SRV-005,True,False,1
PSR-0085,PROD-0085,SRV-005,True,False,1
PSR-0086,PROD-0086,SRV-005,True,False,1
PSR-0087,PROD-0087,SRV-005,True,False,1
PSR-0088,PROD-0088,SRV-005,True,False,1
PSR-0089,PROD-0089,SRV-005,True,False,1
PSR-0090,PROD-0090,SRV-005,True,False,1
PSR-0091,PROD-0091,SRV-006,True,False,1
PSR-0092,PROD-0092,SRV-006,True,False,1
PSR-0093,PROD-0093,SRV-006,True,False,1
PSR-0094,PROD-0094,SRV-006,True,False,1
PSR-0095,PROD-0095,SRV-006,True,False,1
PSR-0096,PROD-0096,SRV-006,True,False,1
PSR-0097,PROD-0097,SRV-006,True,False,1
PSR-0098,PROD-0098,SRV-006,True,False,1
PSR-0099,PROD-0099,SRV-006,True,False,1
PSR-0100,PROD-0100,SRV-006,True,False,1
PSR-0101,PROD-0101,SRV-006,True,False,1
PSR-0102,PROD-0102,SRV-006,True,False,1
PSR-0103,PROD-0103,SRV-006,True,False,1
PSR-0104,PROD-0104,SRV-006,True,False,1
PSR-0105,PROD-0105,SRV-006,True,False,1
PSR-0106,PROD-0106,SRV-006,True,False,1
PSR-0107,PROD-0107,SRV-006,True,False,1
PSR-0108,PROD-0108,SRV-006,True,False,1
PSR-0109,PROD-0109,SRV-006,True,False,1
PSR-0110,PROD-0110,SRV-006,True,False,1
PSR-0111,PROD-0111,SRV-006,True,False,1
PSR-0112,PROD-0112,SRV-006,True,False,1
PSR-0113,PROD-0113,SRV-006,True,False,1
PSR-0114,PROD-0114,SRV-006,True,False,1
PSR-0115,PROD-0115,SRV-006,True,False,1
PSR-0116,PROD-0116,SRV-006,True,False,1
PSR-0117,PROD-0117,SRV-006,True,False,1
PSR-0118,PROD-0118,SRV-006,True,False,1
PSR-0119,PROD-0119,SRV-006,True,False,1
PSR-0120,PROD-0120,SRV-006,True,False,1
PSR-0121,PROD-0121,SRV-001,True,False,1
PSR-0122,PROD-0121,SRV-015,True,False,2
PSR-0123,PROD-0122,SRV-001,True,False,1
PSR-0124,PROD-0122,SRV-015,True,False,2
PSR-0125,PROD-0123,SRV-001,True,False,1
PSR-0126,PROD-0123,SRV-015,True,False,2
PSR-0127,PROD-0124,SRV-001,True,False,1
PSR-0128,PROD-0124,SRV-015,True,False,2
PSR-0129,PROD-0125,SRV-001,True,False,1
PSR-0130,PROD-0125,SRV-015,True,False,2
PSR-0131,PROD-0126,SRV-001,True,False,1
PSR-0132,PROD-0126,SRV-015,True,False,2
PSR-0133,PROD-0127,SRV-001,True,False,1
PSR-0134,PROD-0127,SRV-015,True,False,2
PSR-0135,PROD-0128,SRV-001,True,False,1
PSR-0136,PROD-0128,SRV-015,True,False,2
PSR-0137,PROD-0129,SRV-001,True,False,1
PSR-0138,PROD-0129,SRV-015,True,False,2
PSR-0139,PROD-0130,SRV-001,True,False,1
PSR-0140,PROD-0130,SRV-015,True,False,2
PSR-0141,PROD-0131,SRV-001,True,False,1
PSR-0142,PROD-0131,SRV-015,True,False,2
PSR-0143,PROD-0132,SRV-001,True,False,1
PSR-0144,PROD-0132,SRV-015,True,False,2
PSR-0145,PROD-0133,SRV-001,True,False,1
PSR-0146,PROD-0133,SRV-015,True,False,2
PSR-0147,PROD-0134,SRV-001,True,False,1
PSR-0148,PROD-0134,SRV-015,True,False,2
PSR-0149,PROD-0135,SRV-001,True,False,1
PSR-0150,PROD-0135,SRV-015,True,False,2
PSR-0151,PROD-0136,SRV-001,True,False,1
PSR-0152,PROD-0136,SRV-015,True,False,2
PSR-0153,PROD-0137,SRV-001,True,False,1
PSR-0154,PROD-0137,SRV-015,True,False,2
PSR-0155,PROD-0138,SRV-001,True,False,1
PSR-0156,PROD-0138,SRV-015,True,False,2
PSR-0157,PROD-0139,SRV-001,True,False,1
PSR-0158,PROD-0139,SRV-015,True,False,2
PSR-0159,PROD-0140,SRV-001,True,False,1
PSR-0160,PROD-0140,SRV-015,True,False,2
PSR-0161,PROD-0141,SRV-001,True,False,1
PSR-0162,PROD-0141,SRV-015,True,False,2
PSR-0163,PROD-0142,SRV-001,True,False,1
PSR-0164,PROD-0142,SRV-015,True,False,2
PSR-0165,PROD-0143,SRV-001,True,False,1
PSR-0166,PROD-0143,SRV-015,True,False,2
PSR-0167,PROD-0144,SRV-001,True,False,1
PSR-0168,PROD-0144,SRV-015,True,False,2
PSR-0169,PROD-0145,SRV-001,True,False,1
PSR-0170,PROD-0145,SRV-015,True,False,2
PSR-0171,PROD-0146,SRV-001,True,False,1
PSR-0172,PROD-0146,SRV-015,True,False,2
PSR-0173,PROD-0147,SRV-001,True,False,1
PSR-0174,PROD-0147,SRV-015,True,False,2
PSR-0175,PROD-0148,SRV-001,True,False,1
PSR-0176,PROD-0148,SRV-015,True,False,2
PSR-0177,PROD-0149,SRV-001,True,False,1
PSR-0178,PROD-0149,SRV-015,True,False,2
PSR-0179,PROD-0150,SRV-001,True,False,1
PSR-0180,PROD-0150,SRV-015,True,False,2
PSR-0181,PROD-0151,SRV-001,True,False,1
PSR-0182,PROD-0151,SRV-015,True,False,2
PSR-0183,PROD-0152,SRV-001,True,False,1
PSR-0184,PROD-0152,SRV-015,True,False,2
PSR-0185,PROD-0153,SRV-002,True,False,1
PSR-0186,PROD-0153,SRV-011,True,False,2
PSR-0187,PROD-0154,SRV-002,True,False,1
PSR-0188,PROD-0154,SRV-011,True,False,2
PSR-0189,PROD-0155,SRV-002,True,False,1
PSR-0190,PROD-0155,SRV-011,True,False,2
PSR-0191,PROD-0156,SRV-002,True,False,1
PSR-0192,PROD-0156,SRV-011,True,False,2
PSR-0193,PROD-0157,SRV-002,True,False,1
PSR-0194,PROD-0157,SRV-011,True,False,2
PSR-0195,PROD-0158,SRV-002,True,False,1
PSR-0196,PROD-0158,SRV-011,True,False,2
PSR-0197,PROD-0159,SRV-002,True,False,1
PSR-0198,PROD-0159,SRV-011,True,False,2
PSR-0199,PROD-0160,SRV-002,True,False,1
PSR-0200,PROD-0160,SRV-011,True,False,2
PSR-0201,PROD-0161,SRV-002,True,False,1
PSR-0202,PROD-0161,SRV-011,True,False,2
PSR-0203,PROD-0162,SRV-002,True,False,1
PSR-0204,PROD-0162,SRV-011,True,False,2
PSR-0205,PROD-0163,SRV-002,True,False,1
PSR-0206,PROD-0163,SRV-011,True,False,2
PSR-0207,PROD-0164,SRV-002,True,False,1
PSR-0208,PROD-0164,SRV-011,True,False,2
PSR-0209,PROD-0165,SRV-002,True,False,1
PSR-0210,PROD-0165,SRV-011,True,False,2
PSR-0211,PROD-0166,SRV-002,True,False,1
PSR-0212,PROD-0166,SRV-011,True,False,2
PSR-0213,PROD-0167,SRV-002,True,False,1
PSR-0214,PROD-0167,SRV-011,True,False,2
PSR-0215,PROD-0168,SRV-002,True,False,1
PSR-0216,PROD-0168,SRV-011,True,False,2
PSR-0217,PROD-0169,SRV-002,True,False,1
PSR-0218,PROD-0169,SRV-011,True,False,2
PSR-0219,PROD-0170,SRV-002,True,False,1
PSR-0220,PROD-0170,SRV-011,True,False,2
PSR-0221,PROD-0171,SRV-002,True,False,1
PSR-0222,PROD-0171,SRV-011,True,False,2
PSR-0223,PROD-0172,SRV-002,True,False,1
PSR-0224,PROD-0172,SRV-011,True,False,2
PSR-0225,PROD-0173,SRV-002,True,False,1
PSR-0226,PROD-0173,SRV-011,True,False,2
PSR-0227,PROD-0174,SRV-002,True,False,1
PSR-0228,PROD-0174,SRV-011,True,False,2
PSR-0229,PROD-0175,SRV-002,True,False,1
PSR-0230,PROD-0175,SRV-011,True,False,2
PSR-0231,PROD-0176,SRV-002,True,False,1
PSR-0232,PROD-0176,SRV-011,True,False,2
PSR-0233,PROD-0177,SRV-002,True,False,1
PSR-0234,PROD-0177,SRV-011,True,False,2
PSR-0235,PROD-0178,SRV-003,True,False,1
PSR-0236,PROD-0179,SRV-003,True,False,1
PSR-0237,PROD-0180,SRV-003,True,False,1
PSR-0238,PROD-0181,SRV-003,True,False,1
PSR-0239,PROD-0182,SRV-003,True,False,1
PSR-0240,PROD-0183,SRV-003,True,False,1
PSR-0241,PROD-0184,SRV-003,True,False,1
PSR-0242,PROD-0185,SRV-003,True,False,1
PSR-0243,PROD-0186,SRV-003,True,False,1
PSR-0244,PROD-0187,SRV-003,True,False,1
PSR-0245,PROD-0188,SRV-003,True,False,1
PSR-0246,PROD-0189,SRV-003,True,False,1
PSR-0247,PROD-0190,SRV-003,True,False,1
PSR-0248,PROD-0191,SRV-003,True,False,1
PSR-0249,PROD-0192,SRV-003,True,False,1
PSR-0250,PROD-0192,SRV-014,True,False,2
PSR-0251,PROD-0193,SRV-003,True,False,1
PSR-0252,PROD-0193,SRV-014,True,False,2
PSR-0253,PROD-0194,SRV-003,True,False,1
PSR-0254,PROD-0194,SRV-014,True,False,2
PSR-0255,PROD-0195,SRV-003,True,False,1
PSR-0256,PROD-0196,SRV-003,True,False,1
PSR-0257,PROD-0197,SRV-003,True,False,1
PSR-0258,PROD-0198,SRV-003,True,False,1
PSR-0259,PROD-0198,SRV-014,True,False,2
PSR-0260,PROD-0199,SRV-003,True,False,1
PSR-0261,PROD-0199,SRV-014,True,False,2
PSR-0262,PROD-0200,SRV-003,True,False,1
PSR-0263,PROD-0201,SRV-003,True,False,1
PSR-0264,PROD-0202,SRV-003,True,False,1
PSR-0265,PROD-0203,SRV-003,True,False,1
PSR-0266,PROD-0204,SRV-003,True,False,1
PSR-0267,PROD-0205,SRV-003,True,False,1
PSR-0268,PROD-0206,SRV-003,True,False,1
PSR-0269,PROD-0207,SRV-003,True,False,1
PSR-0270,PROD-0208,SRV-003,True,False,1
PSR-0271,PROD-0209,SRV-003,True,False,1
PSR-0272,PROD-0210,SRV-003,True,False,1
PSR-0273,PROD-0211,SRV-003,True,False,1
PSR-0274,PROD-0212,SRV-003,True,False,1
PSR-0275,PROD-0212,SRV-014,True,False,2
PSR-0276,PROD-0213,SRV-004,True,True,1
PSR-0277,PROD-0213,SRV-018,True,False,2
PSR-0278,PROD-0214,SRV-004,True,True,1
PSR-0279,PROD-0214,SRV-018,True,False,2
PSR-0280,PROD-0215,SRV-004,True,True,1
PSR-0281,PROD-0215,SRV-018,True,False,2
PSR-0282,PROD-0216,SRV-004,True,True,1
PSR-0283,PROD-0216,SRV-018,True,False,2
PSR-0284,PROD-0217,SRV-004,True,True,1
PSR-0285,PROD-0217,SRV-018,True,False,2
PSR-0286,PROD-0218,SRV-004,True,True,1
PSR-0287,PROD-0218,SRV-018,True,False,2
PSR-0288,PROD-0219,SRV-004,True,True,1
PSR-0289,PROD-0219,SRV-018,True,False,2
PSR-0290,PROD-0220,SRV-004,True,True,1
PSR-0291,PROD-0220,SRV-018,True,False,2
PSR-0292,PROD-0221,SRV-004,True,True,1
PSR-0293,PROD-0221,SRV-018,True,False,2
PSR-0294,PROD-0222,SRV-004,True,True,1
PSR-0295,PROD-0222,SRV-018,True,False,2
PSR-0296,PROD-0223,SRV-004,True,True,1
PSR-0297,PROD-0223,SRV-018,True,False,2
PSR-0298,PROD-0224,SRV-004,True,True,1
PSR-0299,PROD-0224,SRV-018,True,False,2
PSR-0300,PROD-0225,SRV-004,True,True,1
PSR-0301,PROD-0225,SRV-018,True,False,2
PSR-0302,PROD-0226,SRV-004,True,True,1
PSR-0303,PROD-0226,SRV-018,True,False,2
PSR-0304,PROD-0227,SRV-004,True,True,1
PSR-0305,PROD-0227,SRV-018,True,False,2
PSR-0306,PROD-0228,SRV-004,True,True,1
PSR-0307,PROD-0228,SRV-018,True,False,2
PSR-0308,PROD-0229,SRV-004,True,True,1
PSR-0309,PROD-0229,SRV-018,True,False,2
PSR-0310,PROD-0230,SRV-004,True,True,1
PSR-0311,PROD-0230,SRV-018,True,False,2
PSR-0312,PROD-0231,SRV-004,True,True,1
PSR-0313,PROD-0231,SRV-018,True,False,2
PSR-0314,PROD-0232,SRV-004,True,True,1
PSR-0315,PROD-0232,SRV-018,True,False,2
PSR-0316,PROD-0233,SRV-004,True,True,1
PSR-0317,PROD-0233,SRV-018,True,False,2
PSR-0318,PROD-0234,SRV-004,True,True,1
PSR-0319,PROD-0234,SRV-018,True,False,2
PSR-0320,PROD-0235,SRV-004,True,True,1
PSR-0321,PROD-0235,SRV-018,True,False,2
PSR-0322,PROD-0236,SRV-004,True,True,1
PSR-0323,PROD-0236,SRV-018,True,False,2
PSR-0324,PROD-0237,SRV-004,True,True,1
PSR-0325,PROD-0237,SRV-018,True,False,2
PSR-0326,PROD-0270,SRV-008,True,False,1
PSR-0327,PROD-0271,SRV-008,True,False,1
PSR-0328,PROD-0272,SRV-008,True,False,1
PSR-0329,PROD-0273,SRV-008,True,False,1
PSR-0330,PROD-0274,SRV-008,True,False,1
PSR-0331,PROD-0275,SRV-008,True,False,1
PSR-0332,PROD-0276,SRV-008,True,False,1
PSR-0333,PROD-0277,SRV-008,True,False,1
PSR-0334,PROD-0278,SRV-008,True,False,1
PSR-0335,PROD-0279,SRV-008,True,False,1
PSR-0336,PROD-0280,SRV-008,True,False,1
PSR-0337,PROD-0281,SRV-008,True,False,1
PSR-0338,PROD-0282,SRV-008,True,False,1
PSR-0339,PROD-0283,SRV-008,True,False,1
PSR-0340,PROD-0284,SRV-008,True,False,1
PSR-0341,PROD-0285,SRV-008,True,False,1
PSR-0342,PROD-0286,SRV-008,True,False,1
PSR-0343,PROD-0287,SRV-008,True,False,1
PSR-0344,PROD-0288,SRV-008,True,False,1
PSR-0345,PROD-0289,SRV-008,True,False,1
PSR-0346,PROD-0290,SRV-024,True,False,1
PSR-0347,PROD-0291,SRV-024,True,False,1
PSR-0348,PROD-0292,SRV-024,True,False,1
PSR-0349,PROD-0293,SRV-024,True,False,1
PSR-0350,PROD-0294,SRV-024,True,False,1
PSR-0351,PROD-0295,SRV-024,True,False,1
PSR-0352,PROD-0296,SRV-024,True,False,1
PSR-0353,PROD-0297,SRV-024,True,False,1
PSR-0354,PROD-0298,SRV-024,True,False,1
PSR-0355,PROD-0299,SRV-024,True,False,1
PSR-0356,PROD-0300,SRV-024,True,False,1
PSR-0357,PROD-0301,SRV-024,True,False,1
PSR-0358,PROD-0302,SRV-024,True,False,1
PSR-0359,PROD-0303,SRV-024,True,False,1
