customer_id,customer_code,company_name,industry,customer_tier,city,state,country,billing_address,shipping_address,credit_limit,payment_terms_days,account_manager,status
CUST-001,VGT-BLR-01,VertexGrid Technologies Pvt Ltd,IT Services,Strategic,Bangalore,Karnataka,India,"Campus 4B, Ecospace Business Park, Outer Ring Road, Bellandur, Bangalore 560103","Campus 4B, Ecospace Business Park, Outer Ring Road, Bellandur, Bangalore 560103",150000000.0,60,Rohan Sengupta,ACTIVE
CUST-002,BCS-CLD-02,Bengaluru Cloud Systems Pvt Ltd,SaaS,Strategic,Bangalore,Karnataka,India,"Block 7, Bagmane Tech Park, CV Raman Nagar, Bangalore 560093","Block 7, Bagmane Tech Park, CV Raman Nagar, Bangalore 560093",120000000.0,60,Priya Sundaram,ACTIVE
CUST-003,BOF-FIN-03,BlueOrbit FinTech Solutions Ltd,FinTech,Strategic,Bangalore,Karnataka,India,"Prestige Tech Park IV, Marathahalli-Sarjapur Ring Road, Bangalore 560103","Prestige Tech Park IV, Marathahalli-Sarjapur Ring Road, Bangalore 560103",140000000.0,60,Rohan Sengupta,ACTIVE
CUST-004,QFT-TEC-04,QuantumForge Technologies India Pvt Ltd,Semiconductor,Strategic,Bangalore,Karnataka,India,"Plot 18, Electronic City Phase 1, Hosur Road, Bangalore 560100","Plot 18, Electronic City Phase 1, Hosur Road, Bangalore 560100",160000000.0,90,Arun Kulkarni,ACTIVE
CUST-005,SAS-SYS-05,SiliconArc Systems India Pvt Ltd,Electronics,Strategic,Bangalore,Karnataka,India,"EPIP Zone, Whitefield, Bangalore 560066","EPIP Zone, Whitefield, Bangalore 560066",110000000.0,60,Arun Kulkarni,ACTIVE
CUST-006,NBX-ANA-06,Nexabyte Analytics India Pvt Ltd,Software,Strategic,Bangalore,Karnataka,India,"Manyata Embassy Business Park, Outer Ring Road, Nagavara, Bangalore 560045","Manyata Embassy Business Park, Outer Ring Road, Nagavara, Bangalore 560045",130000000.0,60,Priya Sundaram,ACTIVE
CUST-007,CPD-SYS-07,CedarPeak Digital Systems India,IT Services,Strategic,Bangalore,Karnataka,India,"Cessna Business Park, Kadubeesanahalli, Bangalore 560103","Cessna Business Park, Kadubeesanahalli, Bangalore 560103",125000000.0,60,Rohan Sengupta,ACTIVE
CUST-008,ZNT-BIO-08,Zenith Bio-Informatics Labs Pvt Ltd,Biotechnology,Strategic,Bangalore,Karnataka,India,"Helix Biotech Park, Electronic City Phase 1, Bangalore 560100","Helix Biotech Park, Electronic City Phase 1, Bangalore 560100",95000000.0,60,Divya Nambiar,ACTIVE
CUST-009,OSS-SFT-09,OrionStack Software Solutions LLP,Software,Enterprise,Bangalore,Karnataka,India,"Embassy GolfLinks Business Park, Domlur, Bangalore 560071","Embassy GolfLinks Business Park, Domlur, Bangalore 560071",75000000.0,45,Divya Nambiar,ACTIVE
CUST-010,KRN-LOG-10,Kavveri Logistics Intelligence Corp,Logistics technology,Enterprise,Bangalore,Karnataka,India,"Nelamangala Logistics Hub, NH 48, Bangalore Rural 562123","Nelamangala Logistics Hub, NH 48, Bangalore Rural 562123",55000000.0,45,Karthik Iyer,ACTIVE
CUST-011,MYS-MED-11,Mysore MedTech Systems India,Healthcare technology,Enterprise,Bangalore,Karnataka,India,"Kalyani Tech Park, Brookefield, Bangalore 560037","Kalyani Tech Park, Brookefield, Bangalore 560037",65000000.0,45,Divya Nambiar,ACTIVE
CUST-012,PLR-ECM-12,Polaris Omnichannel Retail Tech,E-commerce,Enterprise,Bangalore,Karnataka,India,"Salarpuria Sattva Knowledge City, Bellandur, Bangalore 560103","Salarpuria Sattva Knowledge City, Bellandur, Bangalore 560103",85000000.0,45,Priya Sundaram,ACTIVE
CUST-013,DGT-BNK-13,Dravida Global Banking Solutions,Banking,Enterprise,Bangalore,Karnataka,India,"RMZ Infinity, Old Madras Road, Bennigana Halli, Bangalore 560016","RMZ Infinity, Old Madras Road, Bennigana Halli, Bangalore 560016",90000000.0,60,Rohan Sengupta,ACTIVE
CUST-014,AUR-ROB-14,AuraRobotics Industrial Systems,Manufacturing technology,Enterprise,Bangalore,Karnataka,India,"Peenya Industrial Area Phase 3, Bangalore 560058","Peenya Industrial Area Phase 3, Bangalore 560058",48000000.0,45,Karthik Iyer,ACTIVE
CUST-015,APX-CON-15,Apex Bangalore Consulting Partners,Consulting,Enterprise,Bangalore,Karnataka,India,"UB City, Vittal Mallya Road, Bangalore 560001","UB City, Vittal Mallya Road, Bangalore 560001",60000000.0,45,Rohan Sengupta,ACTIVE
CUST-016,STR-EDT-16,StrataLearn EdTech India Pvt Ltd,Education technology,Enterprise,Bangalore,Karnataka,India,"HSR Layout Sector 3, 27th Main Road, Bangalore 560102","HSR Layout Sector 3, 27th Main Road, Bangalore 560102",50000000.0,30,Priya Sundaram,ACTIVE
CUST-017,NVX-MED-17,Novax Streaming & Media Technologies,Media technology,Enterprise,Bangalore,Karnataka,India,"Indiranagar 100 Feet Road, HAL 2nd Stage, Bangalore 560038","Indiranagar 100 Feet Road, HAL 2nd Stage, Bangalore 560038",52000000.0,45,Divya Nambiar,ACTIVE
CUST-018,HEL-BIO-18,Helios Genomic Therapeutics India,Biotechnology,Enterprise,Bangalore,Karnataka,India,"Biocon Park, Bommasandra Industrial Area, Bangalore 560099","Biocon Park, Bommasandra Industrial Area, Bangalore 560099",70000000.0,60,Divya Nambiar,ACTIVE
CUST-019,CUB-SFT-19,Cubix Platform Engineering Labs,Software,Enterprise,Bangalore,Karnataka,India,"Global Technology Park, Bellandur, Bangalore 560103","Global Technology Park, Bellandur, Bangalore 560103",62000000.0,45,Priya Sundaram,ACTIVE
CUST-020,SYN-SEM-20,Synapse VLSI Design Services Pvt Ltd,Semiconductor,Enterprise,Bangalore,Karnataka,India,"Pritech Park SEZ, Bellandur, Bangalore 560103","Pritech Park SEZ, Bellandur, Bangalore 560103",80000000.0,60,Arun Kulkarni,ACTIVE
CUST-021,INT-TEL-21,Integra Cloud Telecom Solutions,IT Services,Enterprise,Bangalore,Karnataka,India,"Brigade Tech Gardens, Brookefield, Bangalore 560037","Brigade Tech Gardens, Brookefield, Bangalore 560037",58000000.0,45,Rohan Sengupta,ACTIVE
CUST-022,FLX-PAY-22,FlexiPay India Digital Payments,FinTech,Enterprise,Bangalore,Karnataka,India,"Koramangala 4th Block, 80 Feet Road, Bangalore 560034","Koramangala 4th Block, 80 Feet Road, Bangalore 560034",68000000.0,45,Rohan Sengupta,ACTIVE
CUST-023,AER-DEF-23,AeroDynamics Defence Electronics Ltd,Electronics,Enterprise,Bangalore,Karnataka,India,"Aerospace SEZ, Devanahalli, Bangalore Rural 562110","Aerospace SEZ, Devanahalli, Bangalore Rural 562110",95000000.0,60,Arun Kulkarni,ACTIVE
