invoice_line_id,invoice_id,item_type,product_variant_id,service_id,subscription_plan_id,description,quantity,unit_price,discount_percent,discount_amount,tax_rate,tax_amount,line_total,billing_type
INVL-00001,INV-BILL-0001,PRODUCT,VAR-0076,,,Samsung Galaxy S24 128GB Onyx Black,50,79999.00,8.00,319996.00,18.0,662391.72,4342345.72,ONE_TIME
INVL-00002,INV-BILL-0001,PRODUCT,VAR-0164,,,Anker 737 GaNPrime 120W (2x USB-C + 1x USB-A) Black,50,5999.00,12.00,35994.00,18.0,47512.08,311468.08,ONE_TIME
INVL-00003,INV-BILL-0001,SUBSCRIPTION,,,SUB-006,Cloud Endpoint Mobility Management (Per Seat) - Annual MDM,50,2400.00,0.00,0.00,18.0,21600.00,141600.00,RECURRING
INVL-00004,INV-BILL-0002,PRODUCT,VAR-0055,,,Dell PowerEdge R760 2x Xeon Gold 6426Y / 128GB ECC / 4x 1.92TB SSD / Dual 1400W (Bangalore DC Immediate Stock),7,468000.00,12.00,393120.00,18.0,518918.40,3401798.40,ONE_TIME
INVL-00005,INV-BILL-0002,PRODUCT,VAR-0055,,,Dell PowerEdge R760 2x Xeon Gold 6426Y / 128GB ECC / 4x 1.92TB SSD / Dual 1400W (Incoming Shipment Allocation - ETA 5 Days),3,468000.00,12.00,168480.00,18.0,222393.60,1457913.60,ONE_TIME
INVL-00006,INV-BILL-0002,PRODUCT,VAR-0055,,,Dell PowerEdge R760 2x Xeon Gold 6426Y / 128GB ECC / 4x 1.92TB SSD / Dual 1400W (Factory Backorder - Lead Time 3 Weeks),2,468000.00,12.00,112320.00,18.0,148262.40,971942.40,ONE_TIME
INVL-00007,INV-BILL-0002,SERVICE,,SRV-001,,Enterprise Server & Rack Installation,12,7500.00,5.00,4500.00,18.0,15390.00,100890.00,ONE_TIME
INVL-00008,INV-BILL-0003,PRODUCT,VAR-0009,,,Lenovo ThinkPad T14 Gen 4 i5 / 16GB / 512GB SSD / Thunder Black (Fulfillment: Bangalore Central BLR-DC-01),100,79000.00,11.00,869000.00,18.0,1265580.00,8296580.00,ONE_TIME
INVL-00009,INV-BILL-0003,PRODUCT,VAR-0009,,,Lenovo ThinkPad T14 Gen 4 i5 / 16GB / 512GB SSD / Thunder Black (Fulfillment: Mumbai Hub Split MUM-DC-01),50,79000.00,11.00,434500.00,18.0,632790.00,4148290.00,ONE_TIME
INVL-00010,INV-BILL-0003,SERVICE,,SRV-005,,Enterprise Laptop Zero-Touch Imaging,150,1200.00,10.00,18000.00,18.0,29160.00,191160.00,ONE_TIME
INVL-00011,INV-BILL-0004,PRODUCT,VAR-0135,,,Vertiv Liebert GXT5 3kVA with RDU101 Communications Card,30,108000.00,10.00,324000.00,18.0,524880.00,3440880.00,ONE_TIME
INVL-00012,INV-BILL-0004,PRODUCT,VAR-0217,,,HPE DL385 Gen11 2x AMD EPYC 9354 (64C/128T) / 256GB DDR5 / 8x 1.92TB NVMe,5,684000.00,0.00,0.00,18.0,615600.00,4035600.00,ONE_TIME
