customer_id,customer_code,company_name,industry,customer_tier,city,state,country,billing_address,shipping_address,credit_limit,payment_terms_days,account_manager,status
CUST-001,MUM-CORP-001,Meridian Capital Financial Services Ltd,BFSI - Investment Banking,Strategic,Mumbai,Maharashtra,India,"Tower 2, Floor 22, One International Centre, Senapati Bapat Marg, Lower Parel, Mumbai 400013","Tower 2, Floor 22, One International Centre, Senapati Bapat Marg, Lower Parel, Mumbai 400013",35000000.0,60,Aditya Birla,ACTIVE
CUST-002,MUM-CORP-002,WestBay Securities & Algorithmic Trading Ltd,BFSI - Stock Brokerage,Strategic,Mumbai,Maharashtra,India,"Plot C-66, G Block, Bandra-Kurla Complex, Bandra East, Mumbai 400051","Plot C-66, G Block, Bandra-Kurla Complex, Bandra East, Mumbai 400051",40000000.0,60,Rohan Mehra,ACTIVE
CUST-003,MUM-CORP-003,HarborPoint Life Insurance Corporation Ltd,BFSI - Insurance,Strategic,Mumbai,Maharashtra,India,"Maker Chambers VI, Nariman Point, Mumbai 400021","Maker Chambers VI, Nariman Point, Mumbai 400021",45000000.0,90,Pooja Desai,ACTIVE
CUST-004,MUM-CORP-004,Skyline Pharmaceuticals Global R&D Ltd,Pharmaceuticals,Strategic,Mumbai,Maharashtra,India,"Nirlon Knowledge Park, Western Express Highway, Goregaon East, Mumbai 400063","Nirlon Knowledge Park, Western Express Highway, Goregaon East, Mumbai 400063",38000000.0,60,Siddharth Nair,ACTIVE
CUST-005,MUM-CORP-005,BluePeak Media Broadcasting Network Pvt Ltd,Media & Entertainment,Strategic,Mumbai,Maharashtra,India,"Trade World, D-Wing, Kamala Mills Compound, Lower Parel, Mumbai 400013","Trade World, D-Wing, Kamala Mills Compound, Lower Parel, Mumbai 400013",30000000.0,45,Vikramaditya Singhania,ACTIVE
CUST-006,MUM-CORP-006,MetroCore Global Logistics & Supply Chain Ltd,Logistics & Maritime,Strategic,Mumbai,Maharashtra,India,"Navi Mumbai SEZ Gateway, Sector 11, CBD Belapur, Navi Mumbai 400614","Navi Mumbai SEZ Gateway, Sector 11, CBD Belapur, Navi Mumbai 400614",32000000.0,60,Sunil Deshmukh,ACTIVE
CUST-007,MUM-CORP-007,Crestline Management Consulting International,Professional Services,Strategic,Mumbai,Maharashtra,India,"Platina, Bandra-Kurla Complex, Bandra East, Mumbai 400051","Platina, Bandra-Kurla Complex, Bandra East, Mumbai 400051",28000000.0,45,Aditya Birla,ACTIVE
CUST-008,MUM-CORP-008,UrbanGrid Retail & E-Commerce Technologies Ltd,Retail & E-Commerce,Strategic,Mumbai,Maharashtra,India,"Lodha Excelus, Apollo Mills Compound, NM Joshi Marg, Mahalaxmi, Mumbai 400011","Lodha Excelus, Apollo Mills Compound, NM Joshi Marg, Mahalaxmi, Mumbai 400011",35000000.0,60,Rohan Mehra,ACTIVE
CUST-009,MUM-CORP-009,Coastal Healthcare & Hospital Networks Ltd,Healthcare & Life Sciences,Strategic,Mumbai,Maharashtra,India,"Dr. Annie Besant Road, Worli, Mumbai 400018","Dr. Annie Besant Road, Worli, Mumbai 400018",32000000.0,60,Pooja Desai,ACTIVE
CUST-010,MUM-CORP-010,ApexFin Derivative Clearing House Corporation,BFSI - Market Infrastructure,Strategic,Mumbai,Maharashtra,India,"Exchange Plaza, Bandra-Kurla Complex, Bandra East, Mumbai 400051","Exchange Plaza, Bandra-Kurla Complex, Bandra East, Mumbai 400051",50000000.0,90,Vikramaditya Singhania,ACTIVE
CUST-011,MUM-CORP-011,Vanguard TradeFin Solutions Ltd,BFSI - Trade Finance,Enterprise,Mumbai,Maharashtra,India,"Mafatlal Centre, 8th Floor, Vidhan Bhavan Marg, Nariman Point, Mumbai 400021","Mafatlal Centre, 8th Floor, Vidhan Bhavan Marg, Nariman Point, Mumbai 400021",15000000.0,45,Siddharth Nair,ACTIVE
CUST-012,MUM-CORP-012,Imperial Maritime Shipping & Tankers Ltd,Logistics & Maritime,Enterprise,Mumbai,Maharashtra,India,"Ballard Estate, Fort, Mumbai 400001","Ballard Estate, Fort, Mumbai 400001",18000000.0,60,Sunil Deshmukh,ACTIVE
CUST-013,MUM-CORP-013,Omicron Asset Management Advisory Ltd,BFSI - Wealth Management,Enterprise,Mumbai,Maharashtra,India,"Kaledonia, Sahar Road, Andheri East, Mumbai 400069","Kaledonia, Sahar Road, Andheri East, Mumbai 400069",12000000.0,45,Aditya Birla,ACTIVE
CUST-014,MUM-CORP-014,Novartis Discovery Labs Western India,Pharmaceuticals,Enterprise,Mumbai,Maharashtra,India,"Hiranandani Business Park, Powai, Mumbai 400076","Hiranandani Business Park, Powai, Mumbai 400076",22000000.0,60,Pooja Desai,ACTIVE
CUST-015,MUM-CORP-015,Citadel Reinsurance Underwriters Ltd,BFSI - Insurance,Enterprise,Mumbai,Maharashtra,India,"BKC One, Bandra-Kurla Complex, Mumbai 400051","BKC One, Bandra-Kurla Complex, Mumbai 400051",25000000.0,60,Rohan Mehra,ACTIVE
CUST-016,MUM-CORP-016,Trident Hospitality & Luxury Resorts Ltd,Hospitality,Enterprise,Mumbai,Maharashtra,India,"Nariman Point Waterfront, Mumbai 400021","Nariman Point Waterfront, Mumbai 400021",14000000.0,45,Vikramaditya Singhania,ACTIVE
CUST-017,MUM-CORP-017,Prism Interactive Advertising Network,Media & Advertising,Enterprise,Mumbai,Maharashtra,India,"Famous Cine Building, Dr. E Moses Road, Mahalaxmi, Mumbai 400011","Famous Cine Building, Dr. E Moses Road, Mahalaxmi, Mumbai 400011",11000000.0,45,Siddharth Nair,ACTIVE
CUST-018,MUM-CORP-018,Equinox Quantitative Trading Technologies,BFSI - FinTech,Enterprise,Mumbai,Maharashtra,India,"IL&FS Financial Centre, BKC, Bandra East, Mumbai 400051","IL&FS Financial Centre, BKC, Bandra East, Mumbai 400051",20000000.0,45,Aditya Birla,ACTIVE
CUST-019,MUM-CORP-019,Zenith Legal Advisors & Solictors LLP,Legal Services,Enterprise,Mumbai,Maharashtra,India,"Express Towers, 14th Floor, Nariman Point, Mumbai 400021","Express Towers, 14th Floor, Nariman Point, Mumbai 400021",9000000.0,30,Pooja Desai,ACTIVE
CUST-020,MUM-CORP-020,Aura Consumer Goods FMCG Holdings Ltd,Manufacturing - FMCG,Enterprise,Mumbai,Maharashtra,India,"Peninsula Business Park, Tower A, Lower Parel, Mumbai 400013","Peninsula Business Park, Tower A, Lower Parel, Mumbai 400013",19000000.0,60,Rohan Mehra,ACTIVE
CUST-021,MUM-CORP-021,Falcon Aviation & Charter Services Ltd,Aviation & Logistics,Enterprise,Mumbai,Maharashtra,India,"Chhatrapati Shivaji Maharaj International Airport T2 Terminal Road, Sahar, Mumbai 400099","Chhatrapati Shivaji Maharaj International Airport T2 Terminal Road, Sahar, Mumbai 400099",16000000.0,45,Sunil Deshmukh,ACTIVE
CUST-022,MUM-CORP-022,Reliance PetroChem Trading International,Energy & Chemicals,Enterprise,Mumbai,Maharashtra,India,"Maker Chambers IV, Nariman Point, Mumbai 400021","Maker Chambers IV, Nariman Point, Mumbai 400021",24000000.0,60,Vikramaditya Singhania,ACTIVE
CUST-023,MUM-CORP-023,Pinnacle Real Estate Developers Ltd,Real Estate & Infrastructure,Enterprise,Mumbai,Maharashtra,India,"Indiabulls Finance Centre, Tower 1, Elphinstone Road, Mumbai 400013","Indiabulls Finance Centre, Tower 1, Elphinstone Road, Mumbai 400013",17000000.0,45,Siddharth Nair,ACTIVE
CUST-024,MUM-CORP-024,Starlight Film Studios & Digital VFX Ltd,Media & Entertainment,Enterprise,Mumbai,Maharashtra,India,"Film City Complex, Goregaon East, Mumbai 400065","Film City Complex, Goregaon East, Mumbai 400065",13000000.0,45,Aditya Birla,ACTIVE
CUST-025,MUM-CORP-025,Lumina Diagnostics & Genomic Labs,Healthcare,Enterprise,Mumbai,Maharashtra,India,"MIDC Central Road, Andheri East, Mumbai 400093","MIDC Central Road, Andheri East, Mumbai 400093",14000000.0,45,Pooja Desai,ACTIVE
CUST-026,MUM-CORP-026,Goldcrest Bullion & Commodity Traders,BFSI - Commodities,Enterprise,Mumbai,Maharashtra,India,"Zaveri Bazaar Commercial Towers, Kalbadevi, Mumbai 400002","Zaveri Bazaar Commercial Towers, Kalbadevi, Mumbai 400002",16000000.0,30,Rohan Mehra,ACTIVE
CUST-027,MUM-CORP-027,Mahindra Auto Component Design Labs,Manufacturing - Automotive,Enterprise,Mumbai,Maharashtra,India,"Akurli Road, Kandivali East, Mumbai 400101","Akurli Road, Kandivali East, Mumbai 400101",18000000.0,60,Sunil Deshmukh,ACTIVE
CUST-028,MUM-CORP-028,Sterling Microfinance Bank Ltd,BFSI - Banking,Enterprise,Mumbai,Maharashtra,India,"Free Press House, Free Press Journal Marg, Nariman Point, Mumbai 400021","Free Press House, Free Press Journal Marg, Nariman Point, Mumbai 400021",21000000.0,60,Vikramaditya Singhania,ACTIVE
CUST-029,MUM-CORP-029,Quantum Pay Gateway Solutions Ltd,BFSI - FinTech,Enterprise,Mumbai,Maharashtra,India,"Supreme Business Park, B-Wing, Hiranandani Gardens, Powai, Mumbai 400076","Supreme Business Park, B-Wing, Hiranandani Gardens, Powai, Mumbai 400076",19000000.0,45,Aditya Birla,ACTIVE
CUST-030,MUM-CORP-030,Tata Consumer Brands Global HQ,Manufacturing - FMCG,Enterprise,Mumbai,Maharashtra,India,"Bombay House, 24 Homi Mody Street, Fort, Mumbai 400001","Bombay House, 24 Homi Mody Street, Fort, Mumbai 400001",26000000.0,60,Siddharth Nair,ACTIVE
CUST-031,MUM-CORP-031,Bombay Freight Forwarders Consortium,Logistics,Enterprise,Mumbai,Maharashtra,India,"JNPT Port Logistics Corridor, Dronagiri, Navi Mumbai 400707","JNPT Port Logistics Corridor, Dronagiri, Navi Mumbai 400707",12000000.0,45,Sunil Deshmukh,ACTIVE
CUST-032,MUM-CORP-032,Oberoi Luxury Residential Estates Ltd,Real Estate,Enterprise,Mumbai,Maharashtra,India,"Commerz II, International Business Park, Oberoi Garden City, Goregaon East, Mumbai 400063","Commerz II, International Business Park, Oberoi Garden City, Goregaon East, Mumbai 400063",15000000.0,45,Pooja Desai,ACTIVE
CUST-033,MUM-CORP-033,Aura Health Insurance TPA Services,BFSI - Insurance,Enterprise,Mumbai,Maharashtra,India,"Mindspace, Building No 3, Malad West, Mumbai 400064","Mindspace, Building No 3, Malad West, Mumbai 400064",13500000.0,45,Rohan Mehra,ACTIVE
CUST-034,MUM-CORP-034,SunGard Financial Technology Labs,Technology - FinTech,Enterprise,Mumbai,Maharashtra,India,"Nesco IT Park, Western Express Highway, Goregaon East, Mumbai 400063","Nesco IT Park, Western Express Highway, Goregaon East, Mumbai 400063",17500000.0,45,Vikramaditya Singhania,ACTIVE
CUST-035,MUM-CORP-035,Navi Mumbai Data Center Co-location Ltd,Data Center / Infrastructure,Enterprise,Mumbai,Maharashtra,India,"TTC Industrial Area, MIDC, Mahape, Navi Mumbai 400710","TTC Industrial Area, MIDC, Mahape, Navi Mumbai 400710",28000000.0,60,Sunil Deshmukh,ACTIVE
CUST-036,MUM-CORP-036,Castrol Industrial Lubricants India,Manufacturing,Enterprise,Mumbai,Maharashtra,India,"Techniplex I, Veer Savarkar Flyover, Goregaon West, Mumbai 400062","Techniplex I, Veer Savarkar Flyover, Goregaon West, Mumbai 400062",14000000.0,45,Siddharth Nair,ACTIVE
CUST-037,MUM-CORP-037,Global Wealth Family Office Advisors,BFSI - Wealth Management,Enterprise,Mumbai,Maharashtra,India,"Bandra Kurla Complex, G Block, BKC, Mumbai 400051","Bandra Kurla Complex, G Block, BKC, Mumbai 400051",16000000.0,45,Aditya Birla,ACTIVE
CUST-038,MUM-CORP-038,Cipla Respiratory Formulations Unit,Pharmaceuticals,Enterprise,Mumbai,Maharashtra,India,"Cipla House, Peninsula Business Park, Lower Parel, Mumbai 400013","Cipla House, Peninsula Business Park, Lower Parel, Mumbai 400013",20000000.0,60,Pooja Desai,ACTIVE
